AverageQ,QFunRegParamNorm,StdEsReturn,Iteration,MinEsReturn,AverageReturn,AverageAbsY,MaxReturn,MaxEsReturn,StdReturn,PolicyRegParamNorm,AverageY,MinReturn,AverageQLoss,AveragePolicySurr,AverageAbsQYDiff,Epoch,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAction
59.3724,111.027,10.5973048971,80,2.0,1000.0,59.3904357184,1000.0,62.0,0.0,59.5931,59.3699245368,1000.0,19.4905,-66.5842,1.84156820099,80,13.6712328767,59.4799,99.9956828753,0.321232
60.383,111.883,10.9313800151,81,3.0,1000.0,60.3997991995,1000.0,49.0,0.0,60.0555,60.3806458467,1000.0,20.7587,-67.638,1.86104726607,81,12.6923076923,60.4965,99.9956828753,0.355207
61.373,112.649,11.7386940831,82,3.0,1000.0,61.3915757701,1000.0,49.0,0.0,60.4498,61.3724267744,1000.0,21.0943,-68.6699,1.89223572517,82,14.2142857143,61.4833,99.9956828753,0.329548
62.4813,113.39,10.8739362187,83,3.0,1000.0,62.4982839041,1000.0,65.0,0.0,60.9638,62.4764489478,1000.0,21.0282,-69.8969,1.86298511734,83,13.4133333333,62.5932,99.9956828753,0.313531
63.4793,114.229,10.5435286825,84,3.0,1000.0,63.5018599821,1000.0,58.0,0.0,61.3543,63.4800939312,1000.0,21.3922,-70.9518,1.84751624834,84,13.4459459459,63.5878,99.9956828753,0.299315
64.4065,115.117,12.290151432,85,3.0,1000.0,64.4284777295,1000.0,77.0,0.0,61.8073,64.4045055216,1000.0,22.305,-72.0913,1.920532692,85,13.4533333333,64.5202,99.9956828753,0.403974
65.2653,115.869,15.419971148,86,3.0,1000.0,65.2847151537,1000.0,68.0,0.0,62.1107,65.2625568717,1000.0,23.1183,-73.0013,1.9592047399,86,17.7857142857,65.3961,99.9956828753,0.392877
66.325,116.802,12.410761708,87,3.0,1000.0,66.346742907,1000.0,68.0,0.0,62.35,66.3252822057,1000.0,23.1582,-74.1297,1.96747156062,87,13.9722222222,66.4531,99.9956828753,0.344391
67.4028,117.569,16.3363956863,88,3.0,1000.0,67.419548586,1000.0,67.0,0.0,62.6542,67.4028826937,1000.0,23.3027,-75.155,1.87504960461,88,17.1896551724,67.5344,99.9956828753,0.340869
68.2776,118.335,12.7809154818,89,3.0,1000.0,68.2914312184,1000.0,80.0,0.0,63.0063,68.2757383262,1000.0,24.1991,-76.2425,1.9714279107,89,13.2631578947,68.4074,99.9956828753,0.363431
