AverageReturn,AverageDiscountedReturn,StdEsReturn,AverageAbsQ,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff,AveragePolicySurr,StdReturn,Epoch,AverageQ,MaxReturn,Iteration,MaxEsReturn,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,AverageY,AverageAbsY,AverageAction
345.15376713,171.345156317,107.879217066,89.9314,35.198,317.423474373,2.01416621492,-92.8928,8.34499292782,65,89.8587,360.789148881,65,326.781483387,61.9303,9.78380379371,20.6172,220.146638252,89.8705427389,89.8842194784,0.634255
318.073627258,161.993966701,77.338262814,91.7159,35.4665,301.493707615,2.08410385123,-94.717,6.82240563369,66,91.646,337.223484298,66,359.539819613,62.4704,91.4703183821,23.7634,284.650377343,91.6523752696,91.6685663308,0.714124
352.051335872,172.560087516,76.1194752827,93.416,35.7145,311.302587199,2.08063939772,-96.4525,13.2115770481,67,93.3305,380.460812081,67,521.619533406,62.9237,270.379816809,23.5138,332.842945498,93.3375018996,93.352069078,0.673629
342.640825892,168.656730082,111.517701141,95.3799,35.9646,315.57895589,2.04561607884,-98.4153,16.8647732803,68,95.3035,373.181550319,68,442.967110574,63.4316,94.4459050252,20.6336,225.470752017,95.3156285094,95.3307067678,0.684009
362.158636882,173.531811945,99.5087936401,97.1781,36.2537,322.197010576,2.07585298793,-100.233,13.2836155676,69,97.0993,396.860119458,69,356.257849361,63.901,72.1773625042,21.5458,262.61881248,97.1076716302,97.1284447588,0.668097
351.521767152,171.514302332,73.0109748922,98.7662,36.4825,321.820637274,2.16794359689,-101.913,9.82828797317,70,98.6824,368.115094569,70,432.831452232,64.4837,150.502191741,23.2375,269.540950524,98.692903436,98.7076648346,0.644176
374.795596482,178.902517291,110.633134411,100.674,36.7513,360.971124643,2.17928186325,-103.824,6.50415650715,71,100.59,388.712381088,71,442.067623514,65.0155,28.5147518131,24.1027,267.386108543,100.59863916,100.615965204,0.667923
382.458131757,179.775626067,126.666288875,102.614,37.0969,359.133218772,2.28488647821,-105.777,9.57912568747,72,102.534,398.782878531,72,379.72538031,65.5571,20.8998541013,28.1303,247.101745779,102.546127982,102.5595499,0.7363
356.068796088,173.683140632,118.21964247,104.551,37.3949,329.654484363,2.24437769735,-107.738,7.82715711506,73,104.468,379.91245458,73,371.728023475,66.0551,40.0496689979,25.9285,248.697634379,104.480712067,104.501023615,0.68829
387.643436075,182.04459967,128.851053179,106.246,37.675,371.060383129,2.31975735263,-109.383,7.44941450242,74,106.163,403.992357126,74,388.645526011,66.511,10.9457266282,27.7096,261.432572882,106.169278177,106.187481541,0.732811
403.453306923,180.187151472,109.689922066,108.077,37.9623,337.144370485,2.38131095826,-111.229,80.7937608647,75,107.981,618.36749897,75,389.396155222,67.0448,79.1079435911,28.4778,259.990389291,107.997824686,108.017967761,0.736948
