AverageAction,AverageQLoss,MaxForwardProgress,MaxReturn,AverageReturn,StdReturn,AverageForwardProgress,MinReturn,StdEsReturn,AverageY,MaxEsReturn,QFunRegParamNorm,AverageDiscountedReturn,AverageAbsQ,AverageQ,MinForwardProgress,Epoch,StdForwardProgress,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageEsReturn,MinEsReturn,AveragePolicySurr
0.89015,0.0395701,1.9129371724,126.901162691,78.4721033258,25.3881263814,1.43714669065,32.9738648407,57.5165143544,2.97426617716,163.926189382,23.3499,39.1109086184,2.97837,2.97417,0.988404373474,69,0.25277396732,0.122970756691,2.97922635338,25.5112,105.983549385,38.5535795689,-3.03417
0.874537,0.0415807,2.72926842194,211.298076515,105.929992999,41.4312030891,1.70368191948,21.6708028466,27.2054975528,3.03124235388,107.368273264,23.4343,50.2384603946,3.03528,3.03154,0.848549303194,70,0.40631808645,0.123540881392,3.0359059184,25.6055,71.9517786096,32.9628481108,-3.09491
0.902107,0.0434139,2.0195618642,134.480008805,68.0432744284,31.1853344054,1.36437495936,21.9847222067,126.192304849,3.08039014972,262.767835687,23.5724,32.5000877866,3.0844,3.08071,0.887773702077,71,0.30751942526,0.125639362987,3.08497044698,25.6708,110.531199533,-70.7222069826,-3.14153
0.909334,0.0431842,3.98004008052,326.131640551,153.736721899,63.2725938929,2.2601658385,16.3457813907,43.0925832165,3.14322241101,127.023106645,23.7132,61.1177237051,3.14686,3.14358,0.879467145489,72,0.636108108927,0.126625687595,3.14722021654,25.6989,74.7799750399,23.5726545561,-3.20423
0.891313,0.0444722,2.06018247099,135.819061912,80.3853556019,26.6888081945,1.51074805741,27.5324444176,63.0212299453,3.20483296096,178.521347657,23.8051,34.5003482241,3.20821,3.20523,0.999484585553,73,0.264438291138,0.129277910395,3.2082820078,25.7481,72.7086466377,13.790970413,-3.26978
0.886822,0.0438431,2.61402471255,192.956266656,118.7948607,36.6207003692,1.90238412726,52.6004186695,40.8251824969,3.24908711713,171.007038186,23.9712,46.1547546458,3.25202,3.24943,1.24936931404,74,0.359215199502,0.129108857727,3.25205341698,25.775,113.437707834,64.5737106566,-3.31219
0.843325,0.0443348,3.21620309896,252.246510334,112.717322123,48.651987676,1.78053896097,13.1607827095,21.2469084732,3.31396902577,124.059817504,24.0794,42.1579925504,3.31674,3.31436,0.811610574788,75,0.492488313295,0.129816006701,3.31681345443,25.786,93.0395291438,64.3795054039,-3.37945
0.862953,0.046531,2.36644885272,166.175915437,89.6001031589,56.0738793085,1.57109032861,-56.3002414453,70.273976739,3.35970393958,240.874035051,24.2237,37.5053958864,3.36255,3.36,0.112290161285,76,0.561555237744,0.132602691924,3.36283075355,25.8581,130.328462872,45.7326080122,-3.42896
0.876272,0.0494437,2.34000337274,165.128719903,92.7401576139,35.9641838259,1.59139661977,-3.98700732027,45.2967636879,3.43149882739,116.754931439,24.3393,42.2504142258,3.43435,3.4319,0.649092996307,77,0.362290836581,0.136723448582,3.43461131169,25.8814,68.580640011,4.7936627525,-3.50452
0.898276,0.0490756,2.01362370461,134.637518703,69.3924128303,24.1207555637,1.36905616899,24.2414687787,39.662960667,3.49265801346,133.233145525,24.4926,42.6217860265,3.49451,3.49275,0.926858757126,78,0.238379592201,0.136204053365,3.49476406873,25.9445,84.9554445555,23.4831643301,-3.57107
0.904534,0.0502251,4.25825030291,354.616186928,146.25953205,77.7113454428,2.23675535153,26.2233443627,37.8538103513,3.54928159561,93.7517783982,24.584,46.6856728671,3.55073,3.54962,0.977209476469,79,0.7770503698,0.136613556986,3.55073741147,26.0766,49.2511406057,1.35865200634,-3.62843
