AverageAction,PolicyRegParamNorm,Epoch,MinReturn,AveragePolicySurr,AverageEsReturn,StdEsReturn,AverageQ,AverageAbsY,StdReturn,MaxReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageReturn,AverageQLoss,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageY,MaxEsReturn
0.82678,28.7652,55,53.4841831199,-2.19566,272.869443196,0.0,2.13145,2.13180536461,50.2966460158,218.094746662,2.13145,17.1237142124,55,151.455529872,0.0117056,0.0636405544789,25.7697,272.869443196,2.13172466392,272.869443196
0.800774,28.9902,56,212.797774034,-2.23632,170.451692413,0.0,2.16851,2.16903766145,88.0668736865,501.327396326,2.16851,33.6308825075,56,373.073801784,0.0112278,0.0637500033892,26.0214,170.451692413,2.16898198506,170.451692413
0.838893,29.2147,57,62.0802606494,-2.27523,237.006975091,0.0,2.20542,2.20576708768,53.2756033211,233.999935386,2.20542,36.3130432773,57,178.63898933,0.00970864,0.0611231334148,26.3207,237.006975091,2.20570880444,237.006975091
0.852437,29.3899,58,-350.789583791,-2.31653,302.680091315,0.0,2.24744,2.24797057767,145.732228993,167.694972403,2.24744,23.7990232071,58,66.6662632586,0.0129969,0.0649050948965,26.549,302.680091315,2.24788482493,302.680091315
0.854735,29.5884,59,369.103845246,-2.3557,309.164361394,0.0,2.28934,2.28976401028,59.5838220074,594.465214338,2.28934,49.6904112635,59,484.751713773,0.0118191,0.0646308008325,26.8494,309.164361394,2.28968695789,309.164361394
0.846983,29.761,60,150.00575048,-2.39015,387.319456519,0.0,2.3234,2.32392483551,71.8120324004,382.842093957,2.3234,32.4803205032,60,257.504093917,0.012636,0.065468237309,27.1301,387.319456519,2.3238531635,387.319456519
0.878273,29.9647,61,-401.899311848,-2.43161,342.504813567,0.0,2.36421,2.36468792367,268.413656296,354.976135547,2.36421,-8.80992738168,61,-32.7966810771,0.0135628,0.0668172942652,27.3868,342.504813567,2.36462376918,342.504813567
0.935933,30.1378,62,-760.714357434,-2.47482,323.60971362,0.0,2.4055,2.40601745047,395.378364821,376.784427032,2.4055,13.9479050138,62,-219.159930308,0.0123122,0.0652504618258,27.6696,323.60971362,2.40595047976,323.60971362
0.90247,30.4054,63,221.061595745,-2.52698,322.831303638,0.0,2.4562,2.45676445066,114.208113735,585.765892477,2.4562,27.5865604224,63,415.45612107,0.0125536,0.0671291922268,27.975,322.831303638,2.45667987915,322.831303638
0.88825,30.6188,64,15.7400307646,-2.58061,570.757044548,0.0,2.50871,2.5092490988,211.772633446,700.812346613,2.50871,11.8205642412,64,288.808295872,0.0143385,0.0701673182812,28.2791,570.757044548,2.50919156578,570.757044548
0.86488,30.8781,65,26.5045268083,-2.64108,339.952423776,0.0,2.56694,2.56746027747,117.475749758,438.532586752,2.56694,22.5808409435,65,263.300729388,0.0150311,0.0720487741973,28.5816,339.952423776,2.5674005815,339.952423776
0.905526,31.1148,66,691.140568817,-2.69133,321.256024731,0.0,2.61892,2.61954233148,133.492165725,1097.72791296,2.61892,78.1413951147,66,887.700401153,0.01551,0.0732466151446,28.8393,321.256024731,2.6194816952,321.256024731
0.86732,31.3082,67,399.114960141,-2.73828,304.406190482,0.0,2.66267,2.66311744759,162.091898953,884.894909021,2.66267,50.1064959377,67,672.997361587,0.0159933,0.0736167334087,29.1578,304.406190482,2.66304624191,304.406190482
0.942714,31.5,68,-929.002695702,-2.78188,412.14720182,0.0,2.70915,2.70985625122,504.722610775,738.652027119,2.70915,3.23626206006,68,143.196574973,0.0171956,0.0748655700728,29.4264,412.14720182,2.70980729004,412.14720182
0.956281,31.7691,69,598.991172464,-2.84038,389.209766328,0.0,2.76717,2.76766988416,171.935727448,1237.78778886,2.76717,61.8933297825,69,995.969571823,0.0189616,0.077412530993,29.7093,389.209766328,2.76758235938,389.209766328
0.923712,31.9606,70,544.804928814,-2.9088,407.487992055,0.0,2.83132,2.83193547221,80.8049414093,825.719772595,2.83132,53.5131695639,70,702.919710475,0.0170226,0.0776721933641,30.0678,407.487992055,2.83188414436,407.487992055
0.932712,32.1442,71,660.116927766,-2.97113,484.096389996,0.0,2.89312,2.89343259927,89.9788126621,1017.65760247,2.89312,77.0420504336,71,886.613792939,0.0199146,0.0801479131092,30.3507,484.096389996,2.89337365036,484.096389996
0.937853,32.2876,72,854.795314322,-3.02795,631.818788775,0.0,2.95293,2.95375003682,85.6409804462,1181.76761984,2.95293,86.1960927501,72,996.363423324,0.0192969,0.0817288078999,30.6364,631.818788775,2.95366953535,631.818788775
0.923557,32.4617,73,292.431774681,-3.09922,648.552117927,0.0,3.02226,3.02281759866,116.839447255,678.156608839,3.02226,55.4367437109,73,539.58169028,0.022155,0.0835476972535,30.9239,648.552117927,3.02274983043,648.552117927
0.911732,32.6808,74,465.789757869,-3.16338,540.032174887,0.0,3.08153,3.08219174714,256.218808696,1290.90607996,3.08153,94.1561901667,74,1041.65724834,0.0203028,0.0829617668561,31.2154,540.032174887,3.0821405034,540.032174887
0.961454,32.8267,75,61.1105479965,-3.22079,603.578529382,0.0,3.14352,3.1441210447,474.911860665,1315.79350862,3.14352,100.868017136,75,848.583486051,0.0219382,0.0856962498884,31.509,603.578529382,3.14406806863,603.578529382
0.943942,33.0177,76,-460.91005626,-3.28801,756.973509727,0.0,3.20993,3.21052592318,506.002024072,1317.5150402,3.20993,104.781906263,76,1017.426733,0.0217447,0.0851307293358,31.7569,756.973509727,3.21047652318,756.973509727
0.949362,33.1904,77,857.447756125,-3.34262,842.075875392,0.0,3.26541,3.2659841577,156.283028642,1349.41977505,3.26541,114.947518093,77,1157.80541523,0.0215647,0.0864866272641,32.0145,842.075875392,3.26591019964,842.075875392
0.956272,33.3848,78,-578.657943347,-3.39971,377.096429414,0.0,3.32196,3.32262495738,553.695048839,1483.17747829,3.32196,91.0074746696,78,1042.21074203,0.0215467,0.0872764082552,32.3249,377.096429414,3.32252989154,377.096429414
0.917737,33.5859,79,282.908544187,-3.47378,668.398935351,0.0,3.38942,3.38999163786,253.172028648,1172.93187875,3.38942,88.7441547297,79,887.528469393,0.0264582,0.092303441645,32.6353,668.398935351,3.38992747002,668.398935351
0.941574,33.7812,80,1263.17071993,-3.55084,955.764321875,0.0,3.46478,3.46550302365,70.2137899255,1480.19675206,3.46478,116.760023528,80,1380.2162995,0.0279761,0.0943614365784,32.9267,955.764321875,3.46543571607,955.764321875
0.935038,33.9677,81,757.704116427,-3.62656,968.588164362,0.0,3.5397,3.54054056849,274.931768348,1512.11813785,3.5397,121.975248902,81,1098.018655,0.0282806,0.0936911282607,33.1756,968.588164362,3.54048981279,968.588164362
0.939015,34.2295,82,750.032151307,-3.6996,838.800032642,0.0,3.61397,3.61471860906,329.286129157,1661.04360634,3.61397,116.781391214,82,1238.9855806,0.0261094,0.094235502187,33.4288,838.800032642,3.61466865534,838.800032642
0.95692,34.5194,83,1183.85576457,-3.76337,433.500533247,0.0,3.66968,3.67032767228,102.320184194,1587.56890351,3.66968,115.990290473,83,1401.87052498,0.0302506,0.0966987647171,33.7261,433.500533247,3.6702253235,433.500533247
0.910926,34.7673,84,420.690873537,-3.84305,384.087908392,0.0,3.7475,3.74832811383,259.826713786,1196.08642041,3.7475,83.4640587233,84,749.390257256,0.0256513,0.0951853407909,33.9886,384.087908392,3.74826501816,384.087908392
0.942974,34.9651,85,449.749395533,-3.90591,505.698229717,0.0,3.81347,3.81427910415,173.363279252,1017.78762085,3.81347,85.3716751487,85,827.387220344,0.0267139,0.0955699589333,34.2277,505.698229717,3.81424113522,505.698229717
0.905312,35.1841,86,343.140754021,-3.96551,369.744438274,0.0,3.88165,3.88252383792,211.483064959,1083.04847521,3.88165,70.2787010214,86,733.54999497,0.0357064,0.0990974282953,34.4422,369.744438274,3.88248628464,369.744438274
