MinReturn,AverageAction,QFunRegParamNorm,AverageY,AveragePolicySurr,StdEsReturn,Iteration,AverageQ,Epoch,AverageAbsQ,AverageEsReturn,AverageReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,StdReturn,AverageAbsY,AverageQLoss,PolicyRegParamNorm,AverageAbsQYDiff,MaxReturn
1481.78954976,0.953071,34.51,4.60116327626,-4.69822,0.0,83,4.60008,83,4.60009,1213.79512887,1561.05549971,1213.79512887,141.050265801,1213.79512887,49.2441587246,4.6012145832,0.051805,36.6709,0.120852279958,1669.36622009
1126.26576001,0.954879,34.7329,4.70168212852,-4.79897,0.0,84,4.70083,84,4.70083,1159.36558625,1304.00651527,1159.36558625,113.77347386,1159.36558625,104.961814924,4.70173115461,0.0428601,36.946,0.117983607303,1527.64622109
1883.4581724,0.952114,34.9102,4.78019745321,-4.87673,0.0,85,4.77932,85,4.77932,734.827556576,2041.76092609,734.827556576,171.101865988,734.827556576,69.1915012163,4.78022353866,0.0470713,37.0885,0.120419615828,2129.24909693
1470.29289277,0.964342,35.1618,4.91585082813,-5.01515,0.0,86,4.91492,86,4.91492,1291.50052921,1665.81474983,1291.50052921,145.507900673,1291.50052921,76.0857243799,4.91589099846,0.058093,37.3477,0.125684070435,1750.18563903
1447.30436357,0.893164,35.3233,5.00451677849,-5.10704,0.0,87,5.00368,87,5.00368,1211.53814879,1573.06571161,1211.53814879,147.722712054,1211.53814879,87.1763188612,5.00455915809,0.0445189,37.5758,0.121363516481,1690.56895668
797.362205217,0.917043,35.5446,5.12154097924,-5.22177,0.0,88,5.12089,88,5.12089,1454.6983605,1697.59457663,1454.6983605,160.058248721,1454.6983605,352.171507303,5.12158955627,0.0462164,37.7808,0.122731972226,2024.01793642
648.923387538,0.869526,35.7936,5.22273179478,-5.32349,0.0,89,5.22199,89,5.22199,1285.04355307,1203.2196535,1285.04355307,158.17488708,1285.04355307,390.373596559,5.22278371901,0.0476313,38.0408,0.123546634042,1735.07485053
763.140507682,0.902529,36.0054,5.2993787052,-5.39919,0.0,90,5.29835,90,5.29835,1053.64267714,1498.41478727,1053.64267714,149.652580972,1053.64267714,542.54080817,5.29941314223,0.0578572,38.2241,0.12627348871,2067.81026419
707.003726697,0.867315,36.2353,5.3698049014,-5.47236,0.0,91,5.36908,91,5.36908,370.600583447,1139.86101825,370.600583447,151.953427854,370.600583447,383.4325835,5.36985761056,0.0478331,38.4102,0.121592411015,1766.45309226
559.774576808,0.885653,36.4119,5.46190948395,-5.55852,0.0,92,5.46112,92,5.46112,922.277421684,1155.15795587,922.277421684,141.625477528,922.277421684,422.639788893,5.46196894044,0.0584072,38.5823,0.127442635547,1977.35760634
1823.47795026,0.939126,36.6268,5.55388618776,-5.6542,0.0,93,5.55346,93,5.55346,1189.39383915,1971.16048997,1189.39383915,178.385310889,1189.39383915,121.22517811,5.5539408287,0.0574862,38.7339,0.124612350994,2171.93532269
969.366211455,0.948066,36.8423,5.65868500894,-5.75757,0.0,94,5.65748,94,5.65748,1204.46971398,1399.97897295,1204.46971398,131.369009942,1204.46971398,173.442154179,5.6587071273,0.0535402,38.9716,0.125836094622,1582.34924535
681.990588091,0.867464,37.0087,5.76974600821,-5.87002,0.0,95,5.76894,95,5.76894,1116.0865013,876.783973338,1116.0865013,132.507279684,1116.0865013,177.939077919,5.76977005083,0.0605348,39.2143,0.130156735707,1274.71270778
373.148259606,0.89991,37.1891,5.83174542118,-5.93543,0.0,96,5.83089,96,5.83089,792.262764882,627.557997509,792.262764882,103.426929859,792.262764882,114.884655486,5.83180312033,0.0548868,39.4883,0.125969970005,777.232131176
1419.69181137,0.958452,37.3694,5.94479809695,-6.04886,0.0,97,5.94404,97,5.94404,674.219768847,1686.66681187,674.219768847,147.859204155,674.219768847,104.459996866,5.94483908612,0.0500492,39.6549,0.126326602476,1836.00280924
751.209961401,0.88548,37.5736,6.02389188835,-6.13109,0.0,98,6.02292,98,6.02292,1030.27980449,1176.01686129,1030.27980449,159.235426358,1030.27980449,287.786388509,6.02394428201,0.0576723,39.9558,0.131010324947,1683.39921643
675.456858587,0.914946,37.8124,6.1253044357,-6.23267,0.0,99,6.12446,99,6.12446,1413.26519176,1393.27820063,1413.26519176,156.575160941,1413.26519176,479.763286336,6.12535474107,0.0630697,40.0822,0.131560797238,1948.23162072
515.868130731,0.911253,38.0021,6.15759576932,-6.26333,0.0,100,6.15682,100,6.15682,592.369603105,1497.57651346,592.369603105,150.604199916,592.369603105,516.333422878,6.15764470509,0.0670513,40.2835,0.131790773064,2123.56166459
