Iteration,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageQ,StdEsReturn,MaxEsReturn,AverageEsReturn,MinReturn,AverageAbsQ,Epoch,AverageQLoss,MaxReturn,AverageY,AverageAbsY,AverageAction,AverageReturn,StdReturn,PolicyRegParamNorm,AveragePolicySurr,QFunRegParamNorm
59,964.381374408,0.0933175594497,130.754465922,2.4715,0.0,964.381374408,964.381374408,613.067328682,2.4715,59,0.0205994,1742.87330888,2.47232418764,2.47238235791,0.949514,1395.91763992,398.070658703,38.5493,-2.56093,29.2483
60,829.313169878,0.0980023202093,106.010161147,2.55824,0.0,829.313169878,829.313169878,79.0574755713,2.55824,60,0.0247575,1384.95216677,2.55899751496,2.55907297318,0.884759,556.642228763,444.579289978,38.8005,-2.64868,29.5503
61,1155.93682244,0.0975453279785,125.616539491,2.65971,0.0,1155.93682244,1155.93682244,482.975441368,2.65971,61,0.0261812,1469.16739093,2.66058346334,2.66064646208,0.94702,1179.03134603,342.015452352,39.1425,-2.74966,29.8044
62,460.312987729,0.0951347609222,119.039601611,2.76134,0.0,460.312987729,460.312987729,317.218669049,2.76134,62,0.0223799,1698.98646307,2.76188868049,2.76194900986,0.88407,750.17932579,495.527347377,39.4298,-2.84918,30.0808
63,900.786761249,0.0976303502029,107.565818761,2.83137,0.0,900.786761249,900.786761249,280.220380335,2.83137,63,0.0258421,1571.52049881,2.83199406702,2.83206761006,0.923386,1003.97424406,489.973056533,39.7098,-2.92426,30.377
64,193.291551705,0.0966431063407,139.657342226,2.88815,0.0,193.291551705,193.291551705,479.170456984,2.88815,64,0.0216401,1505.2625415,2.88894330442,2.88902831786,0.880686,796.831184781,338.279758163,40.0199,-2.98169,30.6545
65,274.250141001,0.0981539417137,116.390665149,2.97842,0.0,274.250141001,274.250141001,355.389881546,2.97842,65,0.0265866,1411.03631381,2.97913764139,2.97917275247,0.89365,786.590512296,388.816130562,40.264,-3.07291,30.9248
66,998.900386272,0.0985620340461,136.323113695,3.08899,0.0,998.900386272,998.900386272,518.554001079,3.08899,66,0.0271964,1591.44313959,3.08981484095,3.08984853004,0.919202,1091.80656457,426.266106313,40.5755,-3.18467,31.2045
67,892.032048751,0.098678318691,96.0307965394,3.16371,0.0,892.032048751,892.032048751,362.20408786,3.16371,67,0.0265838,1276.83357896,3.16435082057,3.16440786531,0.934386,973.549237964,315.453798645,40.8942,-3.25463,31.5287
68,582.064844374,0.0999162649818,110.195212465,3.22113,0.0,582.064844374,582.064844374,293.922109008,3.22113,68,0.0272,868.908642459,3.22198827836,3.2220782103,0.880864,588.094102817,197.975910024,41.1819,-3.31423,31.7637
69,300.28674938,0.101853590258,111.411139844,3.30665,0.0,300.28674938,300.28674938,176.412874166,3.30665,69,0.028993,1392.90754633,3.30725572418,3.30732570974,0.890756,538.131077923,320.581791303,41.4738,-3.39787,32.0267
70,353.368286585,0.098978145991,117.289531471,3.34554,0.0,353.368286585,353.368286585,320.55248832,3.34554,70,0.0262485,680.693398689,3.34615463103,3.34619989748,0.888707,518.898497784,126.090993432,41.817,-3.44173,32.2562
71,266.893650626,0.0977794765524,99.3567225311,3.39551,0.0,266.893650626,266.893650626,283.847804606,3.39551,71,0.0249643,1270.37495966,3.39613297969,3.39620253099,0.869467,617.867914339,327.991956607,42.1212,-3.49045,32.4907
72,588.301719175,0.103520104128,104.374621024,3.48753,0.0,588.301719175,588.301719175,224.734098778,3.48753,72,0.0315846,1566.56777772,3.48842586628,3.48849693795,0.89575,788.636635581,494.247759784,42.3867,-3.584,32.7637
73,385.909265347,0.104745595703,127.554321366,3.55188,0.0,385.909265347,385.909265347,387.982439748,3.55188,73,0.0312029,2002.84870943,3.55257923324,3.55262814317,0.918312,1251.86797937,526.349694345,42.6677,-3.64321,33.0062
74,1173.78151182,0.103739270532,104.132826558,3.6438,0.0,1173.78151182,1173.78151182,478.745267803,3.6438,74,0.0311457,937.056122985,3.64459472454,3.64465620515,0.876067,603.739488929,128.167262665,42.8876,-3.73741,33.2858
75,400.4791898,0.1056667077,140.17770768,3.7175,0.0,400.4791898,400.4791898,1629.86665406,3.7175,75,0.0353877,2036.27229874,3.71797747812,3.71802975187,0.967363,1852.08009249,118.764456777,43.1915,-3.81167,33.5415
76,1162.24537442,0.107390269455,181.088343473,3.82368,0.0,1162.24537442,1162.24537442,660.376995801,3.82368,76,0.0359371,2317.66607965,3.82483507776,3.82487442066,0.917165,1346.02082395,542.679320865,43.531,-3.92147,33.8141
77,715.036581758,0.104685470789,143.881056066,3.89383,0.0,715.036581758,715.036581758,313.32055877,3.89383,77,0.0326141,2018.94899548,3.89443083285,3.89447345785,0.894893,816.722851869,558.985247594,43.7605,-3.98674,33.9793
