AverageAction,StdReturn,MaxReturn,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,MaxEsReturn,AverageReturn,AverageEsReturn,MinEsReturn,AverageAbsQYDiff,Epoch,AverageAbsY,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,AverageY,AverageQLoss,MinReturn,AveragePolicySurr
0.88829,186.677205317,1113.05374843,65.819,5.42244,116.323772924,382.107960106,281.075261514,125.342250829,-1.54180405673,0.255126599715,47,5.42376974123,47,110.352430659,51.1994,5.40802,5.41036887665,0.179329,77.7168621644,-5.77405
0.866983,169.346530234,832.005017676,66.5848,5.66736,172.433143367,483.287116413,360.340791192,214.543657935,4.87968174887,0.266635787816,48,5.66811264478,48,114.362270202,51.9077,5.65467,5.65668849425,0.189748,99.7272128063,-6.00415
0.899633,129.470650572,707.309959549,67.3394,5.87087,96.2622064084,279.372800753,214.467819561,124.411837972,-4.66458686084,0.270401217026,49,5.87090982798,49,96.2406362425,52.6758,5.85883,5.86038176042,0.202901,56.825822148,-6.18559
0.924512,27.7948260881,321.380712416,68.0069,6.02927,78.0831389769,272.588634215,150.249700961,130.102650445,-2.36838387523,0.27188403941,50,6.02882154867,50,93.1857501676,53.3748,6.01834,6.01976354049,0.199691,109.891381091,-6.36513
0.952929,32.2465619584,440.229414565,68.6687,6.22332,84.3224714866,286.865472238,144.198401704,166.064998968,11.2035645807,0.278639897224,51,6.2235401579,51,97.7902061497,54.1368,6.21287,6.21449553571,0.212489,120.497807202,-6.53681
0.9139,141.228000426,865.857950163,69.4765,6.41383,77.1048210706,250.441136443,232.536835894,117.853433492,1.0223956083,0.281526579501,52,6.41446537424,52,107.080127618,54.8628,6.40416,6.40617717416,0.221562,80.7824091028,-6.73994
0.916545,91.8902175072,817.229173287,70.0819,6.56997,116.787451154,424.090602946,118.742058102,115.301226449,-3.94176778225,0.289318490453,53,6.57047699327,53,75.7405867628,55.5555,6.56108,6.56295018401,0.248024,48.3645573957,-6.8902
0.936721,2.73883818559,128.162660641,70.7301,6.73139,75.9617118468,333.424168575,120.485919062,177.808422604,92.9785850199,0.297354570731,54,6.73178146916,54,85.6735282004,56.3144,6.72258,6.72443297025,0.260613,114.77761963,-7.04888
0.903945,37.0744680092,287.196464525,71.3911,6.88913,82.992338531,297.840020915,160.888756947,181.595623089,-0.4669477435,0.287857666589,55,6.88843787678,55,100.540461615,56.9201,6.88126,6.88276438034,0.236417,110.134168886,-7.20898
0.933287,3.52154087234,124.404713425,71.9972,7.09584,95.7679271679,318.917596363,116.524806609,172.339065288,36.4677198444,0.298191296692,56,7.09555919615,56,83.5915917076,57.6071,7.0885,7.09034960279,0.260319,107.00558268,-7.40904
0.940935,3.2631951964,127.873672741,72.6721,7.23184,50.644245193,163.553631532,117.813480684,89.3966842951,-0.479904557641,0.309910861596,57,7.2328924727,57,84.9414985029,58.3498,7.22566,7.22814988955,0.28892,110.575961212,-7.53514
0.901434,2.27945013961,104.661443169,73.3395,7.36867,99.2688554815,378.236934251,99.0105400018,152.787095624,1.23167390699,0.303967005669,58,7.36828910685,58,72.6541040714,58.9781,7.36177,7.36354583202,0.270773,93.9348992003,-7.68211
0.890918,59.8254345308,331.378448586,73.8958,7.55921,68.6886722269,283.321710378,185.746687082,134.48627527,14.3672915423,0.309137735939,59,7.55970928793,59,105.496972776,59.6375,7.55274,7.55531241088,0.279056,82.8799249354,-7.87517
0.912191,2.73397874225,132.45050437,74.5104,7.72818,40.4383944032,154.434978245,125.819376251,105.604555448,17.4613621448,0.324185979758,60,7.72805549191,60,88.7741959255,60.3588,7.72245,7.72407944342,0.307987,117.445528264,-8.0413
0.897275,75.2929653334,494.86378225,75.1338,7.85509,106.929264077,317.676509034,214.6176845,145.232644945,10.6905951496,0.319059189429,61,7.85484317666,61,101.889358059,60.9806,7.8479,7.85033249124,0.289252,96.8395946611,-8.15947
0.90834,58.3242134412,457.803716569,75.7205,8.02747,79.6810495164,238.916753096,207.724348577,92.0213044371,1.90284624617,0.317770819748,62,8.02485293257,62,114.861909926,61.6036,8.01933,8.01983743545,0.28171,123.350711419,-8.33104
0.921637,48.1953067802,455.062677975,76.3716,8.14612,85.8641962241,291.300984287,198.014531694,115.071854924,-5.92671951479,0.335653829987,63,8.14618705102,63,109.657470615,62.2215,8.13866,8.14151533919,0.343211,130.685870992,-8.46583
0.886904,90.9951574953,477.379337525,77.0028,8.32573,119.279196522,453.598648091,183.934609051,132.94232833,-9.46700130247,0.339981455255,64,8.32494068973,64,88.4191942296,62.8645,8.31868,8.32056059598,0.350429,58.4886970211,-8.63553
0.911545,43.1602919691,281.993043335,77.6745,8.47856,100.605668139,252.858738296,166.994757876,92.3549579743,-8.06935988641,0.33483388043,65,8.47733750669,65,99.5830460291,63.4594,8.4712,8.4727515166,0.321276,99.0284414305,-8.78041
0.914996,50.4792598017,389.918582896,78.2337,8.6235,116.614785512,338.108490918,209.098907957,171.598301229,-3.28980068329,0.345611722607,66,8.6234606178,66,115.033567553,64.106,8.61643,8.61969846193,0.335878,108.857298458,-8.94032
0.891557,86.2769635094,562.690870896,78.8575,8.75937,79.6466616894,224.132320822,218.555008664,117.876915495,-3.87953761775,0.34489324965,67,8.75900812307,67,106.687658512,64.7056,8.75218,8.7546193096,0.347472,6.04494483019,-9.06545
0.933077,70.452440378,415.433545421,79.4826,8.91821,113.704500578,329.912597341,199.264154348,162.054864233,-6.931496024,0.352837092707,68,8.91676992582,68,89.9231420938,65.2935,8.91044,8.91257362717,0.362629,33.4551164792,-9.22672
0.922715,55.6749162008,371.27230978,80.1007,9.04286,63.8046591451,303.873861926,195.164629173,177.869847138,89.1050351477,0.345494395176,69,9.04104006108,69,109.026401749,65.8611,9.03391,9.03605894368,0.342307,97.4941912369,-9.3523
0.926743,105.434738609,496.025045265,80.6576,9.21978,109.490703051,425.813344156,194.895957546,188.452161852,8.27555202661,0.347268784645,70,9.21917631318,70,98.7385957342,66.4117,9.21121,9.21403590001,0.333518,-78.5503803641,-9.52706
0.948485,193.480026993,1008.94101669,81.3478,9.3327,141.905663936,465.062906146,264.421569166,183.340665847,-5.5431129316,0.354479595466,71,9.33130131113,71,112.528271825,66.9681,9.32343,9.32637351154,0.349606,18.3797414634,-9.63967
0.930909,103.525716132,683.463379584,81.9825,9.49436,159.773005611,516.050972289,232.214524551,153.362019428,-1.44012372901,0.362208369276,72,9.49341531616,72,113.377860723,67.54,9.48609,9.48783447719,0.382037,-9.32806524491,-9.79746
0.948712,79.5726517887,494.880366489,82.592,9.58844,119.044838265,354.650414612,227.848999086,131.307546838,-3.79361393527,0.369200213663,73,9.58631713987,73,113.685077134,68.1214,9.57814,9.58051839482,0.415594,92.8442462787,-9.88786
0.952682,176.285758819,963.578339097,83.2135,9.71829,86.6308624025,275.352836008,245.615628852,168.035558243,23.2642908013,0.373802792606,74,9.71698504135,74,102.584067545,68.6672,9.70825,9.71035930261,0.410026,19.7814498625,-10.031
0.952233,2.8951758706,134.106056832,83.7712,9.84799,184.888138165,605.022910229,119.396220566,242.881561233,70.2701499808,0.377063518955,75,9.84660315376,75,87.1372748341,69.2187,9.83684,9.83984046865,0.432878,114.048706324,-10.1586
0.943764,141.460070515,679.679564478,84.3262,9.97752,56.2808194261,264.396707238,261.550064404,168.046593513,73.4669773488,0.370363736823,76,9.97573912953,76,117.222871702,69.7216,9.9657,9.96847905621,0.369891,119.786790617,-10.3077
0.969774,16.9750072751,279.882422862,84.8871,10.1454,81.6410233438,261.341370075,180.63929108,138.652956722,8.13933322204,0.386356433531,77,10.1423439589,77,113.406838301,70.3112,10.1341,10.1353928358,0.435559,147.773004045,-10.4693
0.964992,89.6035778025,638.96251932,85.5148,10.2456,105.145038684,338.978926748,182.005995972,206.557420338,-3.18909509761,0.390057670549,78,10.2432750852,78,101.259734606,70.8843,10.2339,10.2364119213,0.408778,104.374569724,-10.5617
0.974314,22.8861534052,238.183745269,86.0702,10.4186,71.9990310771,212.45185136,169.114876281,147.031193344,-4.40414549612,0.396206731972,79,10.415595769,79,102.490625937,71.457,10.4065,10.4091041342,0.434337,97.1595426426,-10.7592
0.956697,73.3576418931,485.519826812,86.642,10.5662,108.967211236,433.421752984,209.044396681,135.394294022,3.82411948966,0.412052095664,80,10.563328289,80,107.403963375,72.0225,10.5538,10.5562309575,0.509271,28.8537297016,-10.9164
0.939859,159.958906861,954.607307255,87.1186,10.718,69.0698475231,355.186220966,235.073701544,214.556152561,110.224670079,0.404244595085,81,10.7144191967,81,103.169342222,72.5716,10.7071,10.708389079,0.46609,104.136552174,-11.0519
0.940816,173.74850796,1053.49650754,87.6746,10.8765,80.320822455,281.395143367,282.586157703,164.933684833,26.5644368563,0.399347038701,82,10.8752966552,82,103.402383311,73.0324,10.8669,10.8694345778,0.466321,26.1810416927,-11.2113
0.945378,110.175958584,560.105053487,88.3062,10.9696,74.0784862763,228.080514454,292.912032798,97.2679555293,-5.04237956114,0.415617097986,83,10.9670832167,83,96.7819081263,73.564,10.9575,10.9602328895,0.466426,33.4339684013,-11.3141
0.945105,157.821929685,878.621550095,88.8451,11.1133,132.083382273,310.352545532,250.406476527,155.760466542,-27.9582639671,0.42265432807,84,11.1099911519,84,85.5157256498,74.1194,11.101,11.1037013192,0.507412,-19.109959943,-11.454
0.932469,194.102410407,993.382417155,89.4157,11.2431,105.145798271,271.35831917,279.815701637,110.464107713,-0.594860656416,0.420316371137,85,11.2400960535,85,93.3945726069,74.6045,11.2299,11.2318170383,0.503042,9.36517140323,-11.5892
0.950346,140.56901909,675.96974284,89.9756,11.3852,137.669390352,424.171025551,269.405249265,245.425099047,9.14325373341,0.417534347181,86,11.3838317503,86,106.403528695,75.1296,11.3747,11.3779561304,0.504182,60.1928830781,-11.7372
0.944879,157.613600089,847.629172045,90.5613,11.5112,127.988109529,478.672923843,258.210720294,229.418583095,120.94336366,0.43184912941,87,11.5099548863,87,106.638043252,75.6414,11.5008,11.5040113192,0.530362,61.1095000611,-11.851
0.941739,178.55454307,808.251110458,91.0934,11.6493,166.165159159,599.134103706,278.123048028,247.854466345,107.602117231,0.438839724578,88,11.6474235142,88,105.947312426,76.1564,11.6382,11.6415603014,0.549468,18.1202876259,-11.9963
