PolicyRegParamNorm,AverageReturn,MaxEsReturn,MinReturn,MaxReturn,AverageAbsY,AverageQ,AverageY,AverageAbsQ,AveragePolicySurr,MinEsReturn,Iteration,AverageAbsQYDiff,StdReturn,AverageDiscountedReturn,QFunRegParamNorm,StdEsReturn,AverageAction,AverageQLoss,Epoch,AverageEsReturn
95.4651,287.228442517,277.305122547,149.519635635,609.847223558,13.6705236034,13.6591,13.6621254796,13.6744,-14.0457,8.64274830578,100,0.443030396579,86.879075483,116.381278746,82.9637,89.3140358506,0.954358,0.63255,100,145.321052811
95.8456,275.47402928,309.856889282,142.530698992,702.118281934,13.8260260954,13.8128,13.816185394,13.8292,-14.1773,45.0033937114,101,0.452401089584,91.1502256549,121.467709575,83.3614,86.7205497048,0.952126,0.6672,101,202.54740323
96.2452,310.53156308,359.707538534,83.3148068956,686.447560959,13.9577119414,13.945,13.9485990532,13.9605,-14.3145,-3.35954449568,102,0.461409244753,103.198252419,123.872082487,83.8014,108.27533363,0.950978,0.693581,102,202.912334663
96.7062,297.075347883,306.515080471,99.1934654129,791.195800479,14.0217050221,14.0067,14.0102824716,14.0246,-14.4016,47.8157462913,103,0.455026261108,139.977862418,125.425304251,84.1679,84.336920436,0.940209,0.647581,103,211.510918851
97.1187,317.616651933,348.301030265,51.3533884271,783.351696775,14.089776617,14.0761,14.079536462,14.0929,-14.4706,-7.37551749129,104,0.471062822996,136.698926105,121.824375458,84.6494,115.741611145,0.941243,0.706975,104,126.037991422
97.566,367.646325731,383.677015328,84.1764690128,722.752031304,14.225617546,14.2128,14.2157735715,14.2286,-14.5994,0.40815473134,105,0.478355305167,157.05590148,133.339830709,85.074,123.973792215,0.952891,0.793079,105,177.503463611
97.9548,298.337115073,287.792835654,120.088957002,850.333479691,14.3544190036,14.3392,14.3432351878,14.3558,-14.7471,-2.28800425233,106,0.46683637949,114.741597462,127.824075497,85.4939,102.304086946,0.949152,0.70881,106,127.130663994
98.3188,299.583155296,356.388793829,120.168292247,524.973604306,14.4031501576,14.3869,14.3904739194,14.4059,-14.7882,-5.49025081982,107,0.459025812938,125.62463624,136.453340103,85.8733,112.287947272,0.954658,0.670995,107,156.999187257
98.7242,264.1972472,333.177666745,118.221717803,729.783433969,14.5626288112,14.5483,14.5521755166,14.565,-14.9189,-5.09772901694,108,0.480681206443,127.857686742,121.460048133,86.3576,106.742979459,0.957604,0.822797,108,180.336741464
99.1635,353.212109798,397.458037067,39.6878214901,953.305875393,14.6421233767,14.6271,14.6308016916,14.6456,-15.0224,-5.01785643694,109,0.471604400939,211.112645894,111.242164152,86.7624,121.715177468,0.958775,0.7406,109,114.428650979
99.6114,255.551940612,450.898855895,126.242535803,653.494517279,14.709226781,14.6931,14.6965490576,14.7135,-15.0697,-2.93248054421,110,0.471757751837,93.6730523883,127.370900019,87.1805,151.868385471,0.962076,0.716978,110,140.867213659
100.056,276.386548888,488.063873124,154.530174095,719.724249385,14.7984344163,14.7848,14.7871038964,14.8026,-15.1565,99.3231961663,111,0.482245860217,72.8840816851,128.310440558,87.6629,131.570795197,0.951165,0.770882,111,247.132294847
100.545,266.805677243,299.096112185,131.538573446,397.38322364,14.9049077271,14.8877,14.8919817074,14.9085,-15.2643,22.8818371127,112,0.475636362876,61.70173233,116.973372102,88.0698,96.4717300898,0.952731,0.752726,112,140.894945078
101.034,185.801435041,450.472902006,84.7997420991,958.634019497,14.9527043701,14.9354,14.9390477926,14.9567,-15.3108,30.4502062591,113,0.483299641194,122.381031511,99.263480615,88.5225,135.913524872,0.957046,0.817269,113,216.982082875
101.457,332.06608659,288.322178654,93.0750966717,936.442049816,15.0142675399,14.9971,15.0001213853,15.0175,-15.3733,13.9966622554,114,0.474298664977,188.394779305,120.196914292,88.9747,78.8978316063,0.953366,0.758337,114,121.262108639
101.914,187.011135701,281.403701702,-66.5590814244,509.421917222,15.0737940216,15.0559,15.0601037413,15.0773,-15.4319,-10.3929341914,115,0.488879118277,110.01329904,90.3589750488,89.3979,118.017408257,0.961268,0.861679,115,145.029218658
102.315,234.946527897,335.499417046,67.8874628752,511.824117938,15.143196006,15.1265,15.1307873642,15.1453,-15.5004,-5.15506668088,116,0.494601672738,101.169522015,109.786289948,89.8441,113.974661403,0.970651,0.860593,116,116.892271489
102.694,301.186258477,291.637783389,106.224375192,736.430053469,15.2716272568,15.2543,15.2570240231,15.2751,-15.6159,144.017160638,117,0.495408465221,135.769261851,125.768650388,90.2993,45.5007722229,0.968163,0.85687,117,220.780664861
103.114,457.949824739,369.548924501,-4.83777109706,1094.05288095,15.3305984249,15.3155,15.3183003275,15.3339,-15.6801,2.570603273,118,0.491127984112,460.844956331,79.1143763096,90.6801,113.764144918,0.932681,0.815996,118,139.692525271
103.474,206.496739739,386.784224683,100.044988989,549.460964969,15.3820705326,15.3668,15.3701562601,15.3868,-15.7256,-2.82839324663,119,0.493795395043,83.4230601399,111.374961666,91.0641,136.199132298,0.965136,0.839358,119,155.717833163
