AverageQ,AveragePolicySurr,StdEsReturn,MaxReturn,AverageAbsY,QFunRegParamNorm,AverageAbsQ,MinEsReturn,Epoch,Iteration,MinReturn,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageReturn,AverageY,AverageDiscountedReturn,StdReturn,AverageQLoss,AverageAbsQYDiff,MaxEsReturn
1.99398,-2.06633,0.0,353.827834412,1.99447252976,26.7754,1.99399,336.637812117,60,60,58.3081878736,30.3868,0.8808,336.637812117,137.050044122,1.99439461249,4.53629570211,89.1083702693,0.0109594,0.0627923853992,336.637812117
2.05564,-2.129,0.0,341.011396903,2.05608719085,27.0339,2.05564,289.873137654,61,61,-4.54425095062,30.6264,0.844564,289.873137654,102.124008463,2.05602135385,-1.45804886084,107.766688264,0.0118885,0.0649806695289,289.873137654
2.11106,-2.18434,0.0,357.255062132,2.11170022445,27.297,2.11106,427.005288485,62,62,-10.7164676516,30.8695,0.829743,427.005288485,183.046222732,2.11163365794,18.6728532237,111.035879485,0.0107425,0.0642632048658,427.005288485
2.1617,-2.2369,0.0,257.962597314,2.162147357,27.6258,2.1617,-16.9796258028,63,63,122.941334673,31.1442,0.84037,-16.9796258028,203.919808614,2.16207923166,22.0800118048,39.3103920598,0.0117583,0.0661624124052,-16.9796258028
2.21967,-2.29747,0.0,703.112961873,2.22031587069,27.9403,2.21967,135.042196623,64,64,533.766843789,31.3139,0.778937,135.042196623,613.529403223,2.22022929787,54.367851281,46.8333240067,0.0121509,0.0679337471462,135.042196623
2.28835,-2.3674,0.0,870.516001704,2.2890764443,28.1968,2.28835,392.56772488,65,65,539.810856639,31.5929,0.844971,392.56772488,712.330385646,2.28902766036,31.4164795366,102.920784997,0.0136623,0.0683938092304,392.56772488
2.3472,-2.42311,0.0,1344.9816783,2.34765415879,28.4503,2.34721,333.197086529,66,66,527.816321553,31.8604,0.818314,333.197086529,1139.50502734,2.34760376725,105.169907738,213.664851896,0.0132934,0.0682181480295,333.197086529
2.39882,-2.47735,0.0,953.452980935,2.39925186839,28.7571,2.39882,426.820510695,67,67,634.579281121,32.0742,0.817739,426.820510695,853.23628542,2.39918670693,81.6466342362,91.4418555763,0.0138752,0.0701074131096,426.820510695
2.44745,-2.52631,0.0,552.608814452,2.44812615923,29.0266,2.44745,543.273127285,68,68,375.698211905,32.2838,0.882202,543.273127285,444.414246806,2.44807751868,40.1756650632,57.931535101,0.0142969,0.0692915507818,543.273127285
2.49799,-2.57441,0.0,1348.40056096,2.49858473235,29.2932,2.49799,411.257918532,69,69,742.755274248,32.5845,0.843137,411.257918532,1162.08325719,2.49852198669,103.79535078,186.718843369,0.0167513,0.0726870327548,411.257918532
