AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,MaxReturn,Epoch,StdReturn,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageY,PolicyRegParamNorm,StdEsReturn,AverageReturn,MaxEsReturn,AverageQLoss,MinEsReturn,AverageQ,Iteration,AverageAbsY
99.9956828753,80.9783,-56.6628,1000.0,1000.0,76,0.0,51.5262,1.44003526263,0.403056,14.3428571429,51.4638172064,41.8618,11.9330102947,1000.0,63.0,13.3596,3.0,51.4668,76,51.4898751674
99.9956828753,81.6526,-57.6398,1000.0,1000.0,77,0.0,52.4835,1.44464426463,0.440469,16.55,52.421474515,42.2078,14.8631815795,1000.0,62.0,13.3334,3.0,52.415,77,52.4398955582
99.9956828753,82.2911,-58.4521,1000.0,1000.0,78,0.0,53.2616,1.52635147423,0.376712,16.0158730159,53.1982856724,42.4784,13.6329340534,1000.0,71.0,13.9538,3.0,53.1914,78,53.2159032517
99.9956828753,82.9894,-58.9792,1000.0,1000.0,79,0.0,53.6738,1.55596829995,0.380231,13.5479452055,53.594644571,42.7544,10.5856469068,1000.0,52.0,15.5312,3.0,53.5953,79,53.6180892586
99.9956828753,83.7705,-59.974,1000.0,1000.0,80,0.0,54.7346,1.4712335548,0.3293,15.1818181818,54.6620395866,43.0539,13.1297823506,1000.0,62.0,14.5025,3.0,54.6566,80,54.6893296474
99.9956828753,84.4897,-60.592,1000.0,1000.0,81,0.0,55.3782,1.4860567563,0.438178,13.8356164384,55.3084283235,43.3017,12.5567355703,1000.0,68.0,15.3065,3.0,55.3062,81,55.3301036449
99.9956828753,85.2045,-61.6145,1000.0,1000.0,82,0.0,56.2512,1.55416651059,0.326495,13.6301369863,56.1699505192,43.6746,11.2255906875,1000.0,66.0,15.0551,2.0,56.1653,82,56.2041672265
99.9956828753,85.9101,-62.4536,1000.0,1000.0,83,0.0,56.9221,1.64437900118,0.379307,14.5652173913,56.8390984114,44.0378,13.7255482305,1000.0,76.0,17.8077,3.0,56.8318,83,56.8746194013
99.9956828753,86.4011,-63.2992,1000.0,1000.0,84,0.0,57.8166,1.51857296424,0.330433,13.2837837838,57.7406215202,44.333,10.8222996386,1000.0,54.0,15.5385,2.0,57.7392,84,57.7704911884
99.9956828753,87.0667,-64.2973,1000.0,1000.0,85,0.0,58.6363,1.52873812553,0.347487,13.2777777778,58.5627085189,44.6244,10.6382723929,1000.0,71.0,16.5805,3.0,58.5605,85,58.5961905313
99.9956828753,87.9255,-65.0856,1000.0,1000.0,86,0.0,59.4412,1.66829306171,0.346606,16.6349206349,59.3565876127,44.8655,11.6336970707,1000.0,63.0,18.5447,4.0,59.3527,86,59.3895099236
99.9956828753,88.6117,-66.2052,1000.0,1000.0,87,0.0,60.4874,1.55681053776,0.30347,13.6756756757,60.4094204301,45.1643,11.2827398773,1000.0,62.0,16.5629,3.0,60.4034,87,60.438547746
99.9956828753,89.1142,-66.9538,1000.0,1000.0,88,0.0,61.1716,1.637039031,0.342571,16.0806451613,61.0907219531,45.5533,12.8857240175,1000.0,53.0,18.2155,3.0,61.0882,88,61.125129798
99.9956828753,89.7759,-67.859,1000.0,1000.0,89,0.0,62.0555,1.68376653217,0.362751,16.1475409836,61.9754507183,45.9511,13.2823512455,1000.0,68.0,19.1484,3.0,61.9681,89,62.0107173436
99.9956828753,90.2801,-68.8274,1000.0,1000.0,90,0.0,62.5556,1.56740504919,0.343223,16.3064516129,62.4963433957,46.3619,13.067552415,1000.0,67.0,17.9748,3.0,62.4931,90,62.5223031173
96.3417010014,90.8148,-69.567,208.0,1000.0,91,303.290207557,63.5238,1.77322829983,0.384808,14.5507246377,63.4486287496,46.7767,11.9121618913,526.5,70.0,22.6408,3.0,63.4405,91,63.475622946
99.987959991,91.2608,-70.7351,805.0,1000.0,92,79.6067815542,64.7234,1.63973315505,0.175376,11.9404761905,64.6589270832,47.2138,7.73420231747,929.818181818,39.0,19.4092,3.0,64.6616,92,64.6731785573
91.5452194442,92.008,-71.6558,163.0,395.0,93,64.0519666531,65.2824,1.72171315632,0.295538,14.696969697,65.2218228946,47.562,11.048062626,265.236842105,43.0,20.1054,3.0,65.2136,93,65.2361549462
99.9956828753,92.4281,-72.4292,1000.0,1000.0,94,0.0,66.2314,1.71479710166,0.374115,18.9433962264,66.1613486477,48.0152,21.3111850288,1000.0,137.0,21.5617,3.0,66.1588,94,66.1783741332
88.4838180988,92.9348,-73.144,151.0,323.0,95,43.127797458,66.7302,1.82706704984,0.290013,14.25,66.6495064316,48.3431,12.0516826856,224.355555556,56.0,23.0582,3.0,66.6391,95,66.6664190165
86.1749718839,93.571,-74.0876,139.0,310.0,96,44.1583327435,67.8221,1.86666445475,0.344763,14.8208955224,67.7262425743,48.7277,11.8030167825,206.204081633,49.0,23.9841,3.0,67.722,96,67.7507956649
93.7484701204,94.136,-74.9973,157.0,494.0,97,76.5093340756,68.2978,1.78802915142,0.293919,13.8857142857,68.2184136638,49.1447,9.88583814951,299.294117647,45.0,24.8203,3.0,68.2145,97,68.2437039252
95.7426166506,94.6582,-76.001,189.0,647.0,98,141.689889164,69.596,1.84407620621,0.335092,13.6184210526,69.5125461257,49.6125,12.135167582,386.555555556,62.0,23.3118,3.0,69.5077,98,69.5397127816
81.0230623574,95.117,-76.9775,117.0,267.0,99,30.486044166,70.4938,1.84468415285,0.345354,15.9193548387,70.4044200455,49.9125,13.2680776096,169.633333333,61.0,24.262,3.0,70.3977,99,70.433933188
