AveragePolicySurr,QFunRegParamNorm,MinReturn,Epoch,MaxEsReturn,MaxReturn,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageQLoss,AverageEsReturn,Iteration,AverageQ,AverageAbsY,StdEsReturn,StdReturn,AverageReturn
-61.1562,48.5799,654.746481871,96,-39.837372974,790.881972495,-144.442173167,59.7149189764,36.5362,59.7169,1.3188915276,0.0741228,82.2620706429,5.34273,-92.1397730705,96,59.7072,59.7196275095,52.3024000965,43.9102918601,739.101307329
-61.7425,48.8212,687.21597027,97,-31.649486463,787.668695685,-31.649486463,60.300297507,36.7077,60.2992,1.31527534461,0.07003,77.5687634864,5.12125,-31.649486463,97,60.2919,60.3048077475,0.0,28.9430329887,758.652044225
-62.2059,49.0918,668.668428977,98,-240.70645977,782.376308053,-240.70645977,60.7839002122,36.8924,60.7939,1.34029852526,0.0980493,77.3707359001,5.89193,-240.70645977,98,60.7777,60.7916772485,0.0,33.1934105615,740.040879803
-62.7431,49.2949,784.492874238,99,-59.2780321603,912.337111092,-59.2780321603,61.3263775988,37.071,61.3329,1.29316570654,0.0692928,83.6338631289,4.67549,-59.2780321603,99,61.3205,61.332863559,0.0,39.2361640162,835.162442084
-63.2528,49.5022,52.1928340008,100,-160.401602202,803.50594453,-160.401602202,61.8391451183,37.2335,61.8472,1.31431716428,0.0715352,76.1695196714,5.14163,-160.401602202,100,61.8326,61.8458869436,0.0,204.739812692,689.599507343
-63.697,49.7409,243.473531159,101,-22.2474775724,1138.29159715,-171.005892037,62.2616480313,37.3826,62.2624,1.32634002064,0.0636405,103.623590911,5.3515,-96.6266848048,101,62.2532,62.2644432729,74.3792072325,235.051765629,919.103978748
-64.2262,49.9582,745.194691687,102,-144.329037489,930.479059212,-144.329037489,62.7881289136,37.5706,62.796,1.29199246792,0.0959356,91.6888621889,4.99708,-144.329037489,102,62.7807,62.7928425449,0.0,61.6919025047,857.10739738
-64.6985,50.2289,763.07710388,103,-4.83311575727,922.71597566,-256.404976104,63.2569312537,37.7067,63.2577,1.32130818651,0.04451,90.0439068595,5.51691,-81.869320668,103,63.2501,63.2620594694,89.6980892272,46.2882927481,869.497617966
-65.1596,50.4411,77.4691393468,104,-19.7371630844,942.147182734,-56.8465145643,63.7134811262,37.8635,63.7258,1.35045651361,0.0613596,85.1796568489,5.77606,-38.2918388244,104,63.7085,63.718534148,18.5546757399,228.253393207,756.000433754
-65.5823,50.6627,388.519274613,105,-210.330745909,876.703434553,-210.330745909,64.1433333388,37.9849,64.1497,1.33910573839,0.0817466,87.6097988026,5.60342,-210.330745909,105,64.1337,64.1486297637,0.0,147.118494876,737.977021369
