Epoch,AverageQ,AverageForwardProgress,MinForwardProgress,MaxEsReturn,AverageAction,MaxReturn,StdForwardProgress,AverageAbsY,StdReturn,AverageQLoss,MaxForwardProgress,PolicyRegParamNorm,AverageAbsQYDiff,AverageY,AverageEsReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQ,MinReturn,AverageDiscountedReturn,MinEsReturn,AveragePolicySurr,AverageReturn
47,0.189742,0.234048830288,0.0476450504191,68.2011315141,0.966926,66.0155611911,0.0635095431032,0.189840732949,7.92574160507,0.000173335,0.379981903092,23.2514,0.0071996104644,0.189743893493,46.2407280713,13.4184637635,33.3726,0.189892,24.1534915425,26.4408805061,26.6886897924,-0.192804,47.857187524
48,0.192109,0.2577764525,0.0908770339503,58.9471137831,0.965688,72.4930185827,0.0791688294061,0.192186346646,11.2015497663,0.000167723,0.432379975071,23.3187,0.00721709003101,0.19211733217,38.0377317821,12.0282241924,33.746,0.192235,23.9169233783,29.3956288377,18.1565945637,-0.197415,48.5967733312
49,0.198873,0.378138324798,0.108389276672,76.1562381096,0.97857,84.3970572268,0.0673020838313,0.198947273873,9.33425776406,0.000186441,0.514369031479,23.391,0.00740612105919,0.198876970478,49.0553536219,16.6640097313,34.1224,0.199016,26.5451327737,36.6506678925,15.8574357968,-0.205345,66.0724765713
50,0.206123,0.388871688494,0.169447961952,80.1010305764,0.985066,85.0745903635,0.0755042342532,0.206203677826,9.42891584323,0.000189657,0.531572480699,23.4615,0.007510293337,0.206133895072,62.7921320172,15.7046202052,34.5168,0.20628,41.1650025499,37.1396463382,23.8223045797,-0.212907,68.6089994148
51,0.21314,0.386628257088,0.179811417613,78.3042701275,0.986289,85.8359004602,0.0846264284715,0.21323349514,10.5339100994,0.000192955,0.526505627444,23.5843,0.00766364039686,0.21315237635,65.915755451,19.4580298773,34.8947,0.213296,42.4567487997,36.8326329555,5.81123994814,-0.220669,68.6448828256
52,0.21901,0.359779394995,0.22373294317,80.1433876755,0.984826,79.3395055048,0.0412246506487,0.21909419388,5.69036314869,0.000213825,0.475712324756,23.6844,0.00804053494784,0.219007089258,60.8480495216,16.7237836692,35.3094,0.219193,45.2459093301,36.1533779777,14.7991520289,-0.225584,63.0582689152
53,0.225545,0.348852717998,0.189950899857,72.7051083091,0.979601,76.1057504014,0.0530340667705,0.225630173179,7.15332729404,0.000220062,0.461584410268,23.765,0.00807632066148,0.225555690834,58.2853657261,16.5176782139,35.6455,0.225717,44.2980882424,35.3463518476,19.7402808118,-0.232144,61.7370607095
54,0.232524,0.285502261053,0.0305356974752,80.546891226,0.988669,78.7619233643,0.105602334681,0.232614073783,13.2596837741,0.000223364,0.464985430087,23.8377,0.00814168043174,0.232532157397,66.7038341281,7.71902573111,36.0327,0.232713,23.4571240655,30.5296845097,50.2011684806,-0.239073,55.8099319241
55,0.23813,0.345425882181,0.0993722880952,69.4330514765,0.974721,80.687815096,0.0681756993717,0.238211770288,8.49110280991,0.000224425,0.478895856544,23.902,0.00819358097787,0.238133404557,51.0416744425,13.6489517683,36.3829,0.238283,32.236228297,34.8019754106,14.1048312524,-0.24478,63.0668288916
56,0.245127,0.336289881406,0.11583444926,77.1503811004,0.965997,79.9164415273,0.0603667106525,0.245190738453,7.6302128127,0.000233399,0.474665189823,23.9726,0.00836154759512,0.245120976105,55.8328108531,10.6964314824,36.773,0.245269,34.0605103131,33.8683617721,34.3955469683,-0.251941,61.5831056445
57,0.250205,0.296411855784,0.0271526635425,72.6565274082,0.966462,85.1999533063,0.0935577840491,0.25028823409,11.8771303312,0.000242768,0.519901958337,24.0502,0.00856903025693,0.250220615597,53.1511030397,14.1798438166,37.1121,0.250366,22.8830037853,31.5540056682,18.6242710641,-0.256726,57.0051396248
58,0.255807,0.279358380612,-0.0760807418536,69.2952591771,0.960238,77.9523089364,0.105243325611,0.255887495654,13.4831645509,0.000221297,0.461312645982,24.143,0.00832563046574,0.255811672287,41.0645237988,15.8767972036,37.4786,0.255959,8.91286849619,30.4543185498,14.9277643679,-0.261959,54.9000621066
