PolicyRegParamNorm,AverageY,QFunRegParamNorm,AverageEsReturn,AverageQLoss,Iteration,AverageQ,MaxReturn,AverageReturn,Epoch,AverageAbsY,MaxEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAbsQYDiff,StdReturn,AverageAction,AverageAbsQ,AveragePolicySurr,MinReturn,StdEsReturn
33.584,3.90576456895,30.2518,1891.46787924,0.0427024,60,3.90503,2934.05848987,2349.68973399,60,3.9058188614,1891.46787924,225.244477993,1891.46787924,0.117082270238,999.246033859,0.902636,3.90503,-4.0394,-57.5069240547,0.0
33.8993,4.06847365164,30.5536,1861.68621151,0.0441427,61,4.06731,2710.00388726,2596.77653652,61,4.06851523012,1861.68621151,220.367374738,1861.68621151,0.119744688073,49.8048856371,0.906515,4.06731,-4.20873,2535.18233628,0.0
34.2425,4.26695235623,30.8409,1979.55481059,0.0459001,62,4.26595,3012.42572714,2828.79668455,62,4.26698504228,1979.55481059,241.379360477,1979.55481059,0.120843893666,83.3197532865,0.907443,4.26595,-4.4092,2720.10021793,0.0
34.6262,4.46770661949,31.1165,1864.43562908,0.0492571,63,4.46669,2928.97594132,2412.42158414,63,4.46774771495,1864.43562908,228.448666755,1864.43562908,0.123679678162,625.48786951,0.908993,4.46669,-4.6159,1187.39392464,0.0
35.0164,4.65990411798,31.4237,1978.45836102,0.0472297,64,4.65852,2926.94555146,2790.34463622,64,4.65996070645,1978.45836102,239.10101222,1978.45836102,0.126044558793,89.0763906563,0.920899,4.65852,-4.80529,2646.5803615,0.0
35.3668,4.82743847193,31.7344,1880.85118717,0.074136,65,4.8263,2876.0800541,2628.29753674,65,4.82746411194,1880.85118717,231.542874862,1880.85118717,0.135829290521,414.631355132,0.924588,4.8263,-4.97564,1514.49623788,0.0
35.645,5.00758321158,32.0532,1723.066213,0.06425,66,5.00585,3237.1391572,3053.13520369,66,5.00761295216,1723.066213,260.059594546,1723.066213,0.132942097911,219.011721708,0.907934,5.00585,-5.15139,2416.27857207,0.0
36.0117,5.21214687339,32.3955,2051.22515202,0.0551181,67,5.21157,3015.37930692,2284.82641157,67,5.21221595238,2051.22515202,229.004740112,2051.22515202,0.135719943793,871.863502453,0.899958,5.21157,-5.36035,319.258447326,0.0
36.3463,5.432343415,32.6476,2128.5738949,0.0688936,68,5.43109,2919.97106658,2106.39380497,68,5.43238696904,2128.5738949,217.74658015,2128.5738949,0.140433301746,883.63750687,0.914351,5.43109,-5.5904,405.540667672,0.0
36.6596,5.6287927796,32.9012,2196.00843043,0.0682697,69,5.62725,2717.26770451,2612.39381367,69,5.62883711029,2196.00843043,222.285418514,2196.00843043,0.141050430994,74.6648456994,0.911108,5.62725,-5.78646,2443.1864486,0.0
36.9342,5.83866332483,33.1024,2084.12174406,0.0671744,70,5.83774,3144.18904343,2438.62702545,70,5.83871248794,2084.12174406,232.634137183,2084.12174406,0.140422383447,847.042813815,0.926508,5.83774,-5.99585,603.492907228,0.0
37.2156,6.00936354783,33.3613,2174.54298612,0.0938948,71,6.00772,3128.72601181,2373.88498531,71,6.00942010304,2174.54298612,245.19143795,2174.54298612,0.150960546764,1034.50871456,0.916561,6.00772,-6.17149,471.514692329,0.0
37.5521,6.25594315316,33.5998,2049.42985889,0.0665781,72,6.25459,3213.90120429,2773.14546953,72,6.25599902418,2049.42985889,257.075030344,2049.42985889,0.141571033529,655.822225551,0.925868,6.25459,-6.41674,1195.94942195,0.0
37.9009,6.4823690668,33.8808,2127.84924506,0.0865535,73,6.48103,2957.72208516,2884.68012701,73,6.48240582387,2127.84924506,242.986450727,2127.84924506,0.149386528982,51.8930178606,0.934854,6.48103,-6.64952,2776.84740317,0.0
