AverageAbsQ,AverageQLoss,StdReturn,StdEsReturn,AverageAbsQYDiff,AverageQ,AverageY,MinReturn,AverageAction,AverageEsReturn,MaxReturn,AverageReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageDiscountedReturn,AveragePolicySurr,AverageAbsY,MaxEsReturn,QFunRegParamNorm,Iteration
13.804,2.04553,0.163373185422,35.6010735263,0.425743783983,13.69,13.6905219611,-0.863234394862,0.00615333,76.0614251783,-0.293025695939,-0.614717782288,-3.47805952824,50,35.2467,-0.0427996344044,-14.6694,13.7596282225,94.0932634865,103.393,50
14.7799,2.60044,35.822671669,35.3231022665,0.461886818973,14.6638,14.6644025091,-1.67765564643,0.0256376,76.6599169244,94.6980504337,14.4953757058,-2.18734048124,51,35.4078,6.44260828068,-15.6802,14.7322388485,95.4644630577,104.635,51
15.8791,3.6389,34.0717037549,34.5128561414,0.550155410914,15.769,15.7662243632,-0.215320952324,0.0184506,75.640981571,91.4898445009,15.0814509953,-1.4969663477,52,35.614,2.7529438527,-16.8027,15.8299616816,92.7729246357,106.196,52
16.9945,4.6136,0.913784405942,41.0949933199,0.578213398838,16.8889,16.8837674009,-58.3924415002,0.57123,57.06343884,-55.6391102509,-57.0658801502,-0.724440642573,53,35.8211,-4.25068068271,-17.9404,16.942525225,91.307000308,107.586,53
17.7538,5.06933,2.94095524332,0.0,0.612143121304,17.6483,17.6440801588,-91.0346487586,0.862382,-9.10622262305,-82.7804643525,-86.1519518742,-9.10622262305,54,36.1242,-4.84886854716,-18.7243,17.7006083564,-9.10622262305,108.922,54
18.5294,6.49504,4.99737084167,1.79516934961,0.649558294602,18.4331,18.4258695972,-96.0856675426,0.92003,-41.6300004648,-81.4810763628,-91.9110353428,-43.4251698144,55,36.3713,-6.41014922004,-19.4767,18.475892517,-39.8348311152,110.128,55
19.2235,7.63892,4.65614628144,34.4355019726,0.679206114753,19.1374,19.1285900022,-92.5139568979,0.870125,34.414237982,-78.8684259676,-86.9254700157,-0.021263990652,56,36.5678,-5.90804784459,-20.1696,19.1754679134,68.8497399546,111.245,56
19.995,6.45499,5.08533162117,0.0,0.649974211612,19.9078,19.903191241,38.5833667431,0.896692,-15.250839657,52.1072875653,47.658115162,-15.250839657,57,36.8541,-6.71784629908,-20.9033,19.9539875661,-15.250839657,112.311,57
20.7567,5.71844,61.5361251091,55.7457427194,0.647977307225,20.6549,20.6471739932,-91.0751506924,0.888084,-2.87043656102,53.1334817626,17.3189202506,-58.6161792804,58,36.9241,-6.66485428843,-21.5586,20.710180523,52.8753061584,113.236,58
21.5966,5.71454,0.516218748128,42.3834026686,0.626343912451,21.487,21.4844192269,89.5282522131,0.66125,19.6192596162,91.9613953618,90.7939371187,-22.7641430524,59,37.0914,20.6231077144,-22.3288,21.5628108751,62.0026622849,113.948,59
