Epoch,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageReturn,StdForwardProgress,AverageDiscountedReturn,MinEsReturn,AverageAction,StdReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,AverageQLoss,MinForwardProgress,AverageForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,AverageY,AverageAbsQ
41,105.631402131,0.180072324712,116.522478116,58.5907431327,0.144446989285,45.4004180901,10.421258594,0.778306,17.5577436033,29.7121190244,34.3308,-2.4195,17.3694,0.628285121836,2.22453477735,0.0899612,0.0204325734861,0.217745087307,22.7013425807,61.8431185218,2.22164,2.22445948932,2.22265
42,92.2936548571,0.183301149021,108.426960682,58.3539161098,0.166492893879,45.7732616176,11.2791526583,0.730409,20.9346394827,16.4148317861,34.8551,-2.49538,17.5281,0.617566619691,2.27550293419,0.0946684,-0.039580951473,0.315098575931,22.6189778352,58.4523328227,2.27389,2.27541801879,2.27501
43,89.9528164836,0.19498789394,109.075417675,50.2874670137,0.125026485523,40.5648317849,21.5797743019,0.73024,17.7427985569,16.4284116345,35.4876,-2.57803,17.6768,0.562302961216,2.35639218328,0.106564,0.0168303997721,0.24088549032,22.1177734438,62.3310451157,2.35486,2.35633271239,2.356
44,101.796858921,0.206984522617,94.7046980416,53.6855987506,0.161857950083,42.8064537724,18.0344052614,0.727069,20.494149266,17.4590248713,36.0743,-2.67441,17.7886,0.610830584617,2.4464979853,0.118508,0.027464581125,0.286531260528,27.0379689547,59.7043808987,2.44431,2.44644207649,2.44547
45,99.5948393567,0.211467652025,124.001097621,81.3683840229,0.13111916775,59.186711266,14.0836699659,0.821791,17.6657524915,18.7955372069,36.6372,-2.77778,17.8923,0.654597843028,2.53712458123,0.124935,0.0661059240388,0.447149512455,23.3449057927,74.725205241,2.53503,2.53710114221,2.53623
46,89.2570098405,0.221467510304,117.918188159,61.1137487417,0.152367599579,47.8105031897,4.6386501738,0.733428,18.9244545752,22.7372195242,37.2249,-2.89411,17.9975,0.651003241568,2.63933886508,0.135908,0.0402579437459,0.338779126801,21.4871806682,56.8358523193,2.63702,2.63932340178,2.63794
47,85.5255120427,0.233085056951,119.692793518,55.1768660693,0.13531557183,43.6872555122,22.7194718819,0.744948,18.912540444,18.2869129422,37.773,-3.00144,18.0756,0.615557973396,2.74849704935,0.150396,-0.0196355065729,0.27564199069,18.0483557886,54.1880092988,2.74558,2.74845857733,2.74661
48,86.4370828792,0.234762562396,107.192112691,75.0121164398,0.0852153715691,56.1570818489,14.8889276336,0.783096,12.3265108812,28.9928141372,38.3091,-3.10687,18.1384,0.606378197525,2.86072713053,0.150873,0.082218947498,0.410369031662,18.6684419097,58.9319863751,2.85853,2.86068801641,2.85976
49,92.7732042489,0.242309956685,106.506633295,66.2137547352,0.101374702381,51.0820656721,3.61512612612,0.745455,14.7968898015,27.2312607621,38.8933,-3.18798,18.2036,0.557823859729,2.94158737383,0.156933,0.0600881673165,0.357611456015,21.0555548712,61.8214233425,2.93838,2.9415495116,2.93976
50,92.9217492686,0.241186772075,100.014654599,68.6134894752,0.0977934464348,52.7870677341,17.9708677433,0.750611,14.122011631,26.6033217273,39.4129,-3.26629,18.2649,0.576042557868,3.01104629917,0.155913,0.0401476609471,0.392157003292,19.897595213,67.6042238672,3.00867,3.0110338186,3.01008
