AverageQLoss,MinForwardProgress,AverageReturn,MaxForwardProgress,StdForwardProgress,MaxEsReturn,AverageAbsQYDiff,MinReturn,MaxReturn,AverageQ,AverageAbsY,AveragePolicySurr,StdReturn,AverageAction,Epoch,AverageY,AverageEsReturn,MinEsReturn,AverageForwardProgress,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQ,StdEsReturn,PolicyRegParamNorm
24.6645336284,-0.272420430238,1.13841307892,26.407,130.93620668,0.186864352539,2.46613,-2.45552,25.253,35.384276041,153.066047791,2.39878,0.152315822418,0.0309474,1.50283787445,0.948955,2.39879175368,43.274924223,62.3394260886,0.103819431715,2.4673728625,65,8.61047436962,19.509200857
34.99135996,-0.184572246287,1.16362601143,26.5111,91.7620645422,0.307516190862,2.5093,-2.51042,25.467,60.1790334361,148.295601622,2.44496,0.381156361284,0.0278375,0.72386509516,0.920026,2.44471226273,31.3963148731,48.0067568411,0.102256636127,2.51011523886,66,15.4491558599,33.9196282154
40.9628863287,-0.243257191893,1.35117580574,26.6244,128.710893755,0.278497923034,2.54122,-2.5351,25.6698,71.4632821843,165.714258746,2.47884,0.45505981761,0.0289347,-8.45230351333,0.922351,2.47882800312,33.35002308,54.0469316749,0.103505457678,2.54170444667,67,23.1508929759,32.1197123968
48.7634317682,-0.182961754028,1.38844054918,26.7426,125.734285204,0.418503344636,2.57733,-2.57713,25.8521,94.8099210336,188.821192369,2.518,0.638651306678,0.0273873,7.87010654995,0.922453,2.51781539236,26.0752164605,64.7936732184,0.102299733084,2.57825061644,68,38.8493672843,48.1362462034
52.3370052599,-0.103475554115,1.91395369239,26.8263,101.796617922,0.315048233242,2.60947,-2.60139,26.0751,104.03095853,233.180917016,2.54905,0.780273005865,0.0293717,5.09050132695,0.909413,2.54885488418,27.9156950339,49.759367878,0.104535757844,2.61013882354,69,-6.88575030286,35.3479569332
36.5941255493,0.0133634264327,1.18641619973,26.9209,137.326936531,0.23777975117,2.65777,-2.66422,26.3406,64.976396471,148.003854317,2.60093,0.445806200675,0.0298945,24.5807459373,0.910644,2.60051670217,43.2897579328,65.455475839,0.107266227774,2.65845236845,70,-11.7183588126,27.3492540221
24.2519596184,-0.390669368293,0.84022996749,27.0174,113.053849108,0.198104158746,2.70509,-2.70148,26.5256,38.2044909507,109.071563807,2.64824,0.194034087063,0.0332842,-20.0149889565,0.897277,2.64800885225,36.4299773642,49.9068262705,0.109850119211,2.70538106183,71,-3.81677193211,24.3853504648
28.7857754085,-0.420905227086,0.790360702485,27.1016,152.885983883,0.266967558715,2.73966,-2.73893,26.7037,56.6312753088,120.160976402,2.6852,0.33747900184,0.0332055,-17.8224950593,0.883047,2.68464103228,44.212941728,49.3570465768,0.110681248672,2.73989245498,72,1.05493498067,29.3084084704
27.2390171007,-0.134309551068,0.709167364375,27.1467,104.292734466,0.183609977226,2.75664,-2.74422,26.9158,52.6209578424,105.834516491,2.70088,0.298374037481,0.0366189,3.22827591041,0.906326,2.70057993036,34.9649002381,39.9487771852,0.112190051037,2.75764405169,73,0.381922888651,19.7306785623
32.8754181679,-0.138055012186,1.12420018077,27.1678,138.744352271,0.231302799147,2.77526,-2.76223,27.1558,57.7419385321,144.483290381,2.71768,0.331156130023,0.0337615,5.82839480997,0.923227,2.71766945787,43.5269302209,70.4919487782,0.111091117222,2.7767178553,74,4.98016464378,25.8558641307
