AveragePolicySurr,MinReturn,AverageDiscountedReturn,AverageAction,StdForwardProgress,PolicyRegParamNorm,QFunRegParamNorm,AverageQ,StdReturn,MaxReturn,AverageQLoss,AverageEsReturn,AverageReturn,AverageAbsQ,AverageForwardProgress,MaxForwardProgress,AverageY,MaxEsReturn,AverageAbsQYDiff,StdEsReturn,Epoch,MinEsReturn,AverageAbsY,MinForwardProgress
8739.13,-7.24625888625,5.27164046785,1.0,0.0349214168429,17.5882,779.492,-7437.98,4.52765016121,19.3313799244,6.10224e+08,8.28770051285,6.22714775485,20951.9,-0.0013518917609,0.0959708436922,-8087.40489968,20.0748270355,10407.796767,3.68172101457,71,2.18187452454,18943.6576756,-0.10530215016
11320.9,-4.0107566225,5.42954192737,1.0,0.0335836394614,17.5882,784.942,-9885.89,4.35129891247,19.5985496707,8.68124e+08,7.56784013017,6.41836132889,22816.4,-7.47718760552e-05,0.0976510021426,-10384.4866499,17.0902619219,12064.0759726,3.94048131747,72,-0.375451954866,20002.3892371,-0.0802106926563
12300.8,-3.49407582319,5.36435720931,1.0,0.03301899945,17.5882,786.492,-10934.5,4.27309473218,19.8088100449,5.57598e+08,5.83808221459,6.33835845254,21587.5,-0.000602864333165,0.102493249274,-11439.2559887,14.697103497,10403.7266097,4.67829553157,73,-5.62339434469,20023.9324626,-0.0774347050085
14878.3,-4.93259984022,5.31552595686,1.0,0.034173088433,17.5882,789.865,-13329.0,4.42560526244,18.7384245292,1.37321e+09,7.04419054941,6.27667377588,26692.7,-0.000870660998529,0.0940074630192,-13313.9374948,12.7771576602,14727.177363,3.66821357476,74,0.277141439384,21747.325052,-0.0869253703182
16580.3,-4.37781874186,5.22693067713,1.0,0.0330048343318,17.5882,788.933,-15004.8,4.2708013199,21.1300999915,9.33664e+08,6.85619652962,6.1715727969,25648.1,-0.00174094669522,0.113821513957,-15144.0343904,13.3599956155,12239.3606681,3.63648417075,75,-0.223997901785,23111.2235146,-0.0843062711132
16962.9,-5.38265111386,5.43079827346,1.0,0.0334163893272,17.5882,788.96,-15492.6,4.290883396,21.0699291577,6.54846e+08,5.77024055523,6.41129435045,23456.4,9.26850023758e-05,0.11447992763,-16108.5146661,15.1229464149,10815.3271755,4.54753450112,76,-2.50789326904,22317.195224,-0.0908201966798
19613.2,-3.93890670569,5.5769101736,1.0,0.0319631121601,17.5882,791.208,-18076.7,4.14129253002,20.1079355265,1.10603e+09,7.09358903741,6.59143117173,26868.6,0.00136961159011,0.104708111662,-17387.1120132,13.4685137826,12866.3169655,3.61886958984,77,-0.202293015538,23289.6941026,-0.0798046289892
20605.0,-3.80838349672,5.53484719846,1.0,0.0305259108965,17.5882,790.903,-19150.9,3.94073243374,15.961018568,6.36969e+08,5.88674546394,6.54024851005,25293.6,0.00094509316277,0.0739990558447,-19127.2100823,13.5981193388,10922.9058305,3.82769707577,78,-0.755089268346,23900.4031186,-0.0829547911497
21781.2,-4.24762993875,5.10927857239,1.0,0.0326989611835,17.5882,791.67,-20450.8,4.23665138903,17.6763538242,5.1442e+08,6.16442721417,6.03046160994,25117.9,-0.00274240439008,0.0827274038241,-20598.8333856,17.1075475507,9783.2558945,4.24432173993,79,-0.371496061428,24488.5191065,-0.0820831718384
22478.3,-4.26317754237,5.64677405891,1.0,0.0313907989473,17.5882,792.364,-21218.0,4.04268959144,17.833427639,4.45508e+08,5.84630031254,6.66776086706,24902.9,0.00214897457745,0.0872251198456,-21168.4701716,15.6220162476,9076.96505525,3.90860442237,80,-1.95580226577,24493.6869065,-0.081908918112
23733.4,-4.65667997453,5.39916156471,1.0,0.030473925989,17.5882,793.843,-22596.8,3.95217193792,19.094506464,4.632e+08,6.75294080879,6.38068926725,25800.6,-0.000319660356553,0.0994125019041,-22545.6250891,14.4535900149,8764.06877167,4.1093025555,81,-1.89754159379,25135.3606239,-0.0854714824283
23499.7,-5.02233138296,5.5597282725,1.0,0.0326790532427,17.5882,798.639,-22462.2,4.21461667049,17.9344828163,5.24128e+08,5.20294552399,6.57087884963,26199.5,0.00111843216584,0.0892732072331,-22239.8537142,15.244056634,9558.45883281,3.98320735886,82,-3.92619748708,24736.9884735,-0.0879661004926
23700.9,-3.12045180861,5.60038393097,1.0,0.0296227456788,17.5882,801.463,-22806.1,3.81738592877,18.1702489234,4.30891e+08,6.54296212519,6.61430467729,26280.2,0.00166951885459,0.0901021027927,-22608.6572258,12.3806412525,8628.95890799,3.75574019288,83,-1.21185104201,25153.374811,-0.073689584089
23836.1,-7.26003640609,5.5028282499,1.0,0.0311272441332,17.5882,805.377,-23050.4,4.03303933015,16.3593144966,4.92571e+08,6.57279022317,6.50108789643,26859.7,0.000763782837341,0.076814751317,-22862.4409543,19.7831316164,9082.73607453,4.83622552059,84,-0.897368133665,25692.4745407,-0.105691260453
23253.3,-4.39950344297,5.327719895,1.0,0.0311695661219,17.5882,809.282,-22549.2,3.99698154302,18.0297722083,5.40034e+08,5.81166580947,6.28568691181,26503.7,-0.000774261810699,0.0927667300769,-22125.5671727,14.2361896876,9257.09421871,4.21527308458,85,-1.66465483667,25125.7670217,-0.0830677773693
21864.5,-8.50748221368,5.16386362534,1.0,0.030766835814,17.5882,811.912,-21241.3,3.97413865277,22.008216989,5.36822e+08,7.42966299104,6.09219978726,25459.3,-0.00216129776575,0.116769814639,-21129.4978807,14.9349297274,9072.41083941,4.42999563108,86,-0.412052601256,24458.3979493,-0.121322898753
22050.4,-7.84195003229,5.70488017283,1.0,0.0327456086408,17.5882,809.68,-21477.9,4.21642302236,17.6208803242,4.43795e+08,6.35715030801,6.73937711972,24158.0,0.00258413415219,0.0869471864349,-21782.7475237,16.3530476721,8463.24282354,3.71224572374,87,-2.19106537259,24275.0547458,-0.108958220656
