AverageReturn,Iteration,QFunRegParamNorm,StdReturn,MinReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,StdEsReturn,AverageY,AveragePolicySurr,MinEsReturn,MaxEsReturn,AverageAction,AverageEsReturn,PolicyRegParamNorm,MaxReturn,AverageQLoss,Epoch,AverageAbsY
38.7881200498,54,45.5045,0.96224109639,36.6381739581,2.31818,34.4733725279,0.053578473394,2.31706,5.70763195781,2.31728586615,-2.34823,23.0538179302,68.3076888926,1.0,41.5659764821,24.616,40.7023451811,0.0123448,54,2.3177234139
38.7996525007,55,45.8101,0.900471177721,36.7054222187,2.31784,34.4797868924,0.0500621710613,2.31657,8.36610460101,2.31686581994,-2.34767,3.11633286872,66.7327942356,1.0,40.9250971301,24.616,40.6716074167,0.0106993,55,2.31762296379
38.8069593353,56,46.1781,0.944890082308,36.6343586942,2.30359,34.4840145456,0.0494431717389,2.30238,3.87267209137,2.30246828831,-2.3282,22.3047613587,48.7491995683,1.0,40.7267136197,24.616,40.7471475716,0.010167,56,2.30304436028
38.8651422678,57,46.5179,0.921529111308,36.7665697026,2.29522,34.5345285879,0.0479725253834,2.29416,7.76699504153,2.29455628301,-2.31837,3.01740167978,59.5731435356,1.0,41.2348161267,24.616,40.7762518203,0.00926135,57,2.2950441046
38.6663169366,58,46.8577,0.91982160115,36.5021056638,2.30271,34.3765344789,0.0492493582028,2.30166,7.25996857179,2.3018359506,-2.32949,4.08534141381,59.506575013,1.0,41.5479777766,24.616,40.6737506175,0.0106091,58,2.30243738238
38.795861026,59,47.1733,0.908995193334,36.6276604087,2.28594,34.477711302,0.0487216949404,2.28464,6.754641945,2.28486161357,-2.3092,5.28196076978,58.6196675656,1.0,40.6929811149,24.616,40.6817681207,0.0103495,59,2.2854060797
38.769184547,60,47.4762,0.982022722203,36.5974821188,2.28394,34.4595082391,0.047756146535,2.28286,9.18150780692,2.28313678296,-2.30806,8.54307828368,73.0936628477,1.0,42.4822269825,24.616,40.7775437568,0.0102748,60,2.28365437226
38.7426976741,61,47.8325,0.949625521795,36.5967801468,2.28034,34.4341073707,0.0502497129222,2.27933,6.15640177709,2.27960199829,-2.30441,7.51596150068,48.6975892991,1.0,39.3750286304,24.616,40.7649860402,0.0117432,61,2.28010960597
38.7778326327,62,48.2337,0.983819563497,36.653296848,2.29038,34.4626013927,0.0491502833226,2.28946,3.03054773172,2.2896716348,-2.31639,35.1888277306,49.7512755507,1.0,41.1847924881,24.616,40.7475735761,0.0124003,62,2.2900890837
38.7727554345,63,48.5725,0.964382206777,36.6291757755,2.29241,34.4602595192,0.0483576255497,2.29137,3.82885552392,2.29146945886,-2.31921,33.3683870125,53.5734504611,1.0,41.6633526634,24.616,40.8525093341,0.0107843,63,2.29196789329
