Epoch,MaxEsReturn,QFunRegParamNorm,AverageQ,AverageAbsY,StdEsReturn,MaxReturn,AverageQLoss,AverageY,AverageAbsQYDiff,AveragePolicySurr,Iteration,MinReturn,StdReturn,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageEsReturn
86,1211.76239649,70.9458,4.61318,4.61482762672,0.0,1990.10995122,0.0547961,4.6142680701,0.117566478116,-4.70431,86,1702.26796366,96.4934288665,0.968959,1211.76239649,4.6137,1853.00041327,95.2305,155.323536672,1211.76239649
87,1118.42959336,71.3251,4.73099,4.7325533615,0.0,1948.04319248,0.0410674,4.73188037874,0.113024859632,-4.82368,87,1729.64298682,80.0623603469,0.968929,1118.42959336,4.73157,1836.96069535,95.8204,160.817618299,1118.42959336
88,887.550643126,71.7568,4.82979,4.83091174991,0.0,2044.53536448,0.0390299,4.83043000027,0.113349451575,-4.92303,88,1554.05746875,137.552126579,0.963026,887.550643126,4.83032,1883.17535855,96.3639,156.892748823,887.550643126
89,1407.66879465,72.1662,4.92018,4.92212740706,0.0,2084.61290415,0.0488439,4.92126000517,0.119378503534,-5.01071,89,202.023739551,538.42268251,0.966114,1407.66879465,4.92084,1757.45317879,96.8456,163.971109501,1407.66879465
90,1130.15954631,72.5551,5.00542,5.0075556718,0.0,1914.00695432,0.0506897,5.00623810541,0.11929431958,-5.09823,90,113.591543314,500.527459426,0.973523,1130.15954631,5.00672,1497.41134726,97.3264,148.807576348,1130.15954631
91,527.717548106,72.9407,5.06484,5.06780467765,0.0,1890.22927189,0.0407207,5.06582885443,0.117330316844,-5.1607,91,782.411448244,307.202451884,0.962516,527.717548106,5.06671,1467.25904504,97.9455,146.397392547,527.717548106
92,708.494013869,73.2639,5.14763,5.1508672483,0.0,2003.75633154,0.0528145,5.14836907585,0.12314334743,-5.23943,92,606.449268061,466.243822596,0.953427,708.494013869,5.14988,1446.95702173,98.4968,141.054570117,708.494013869
93,1335.71380561,73.6554,5.23785,5.24171904366,0.0,2140.8020626,0.0544822,5.23872488643,0.123895745536,-5.33691,93,1657.40690285,140.531061179,0.976039,1335.71380561,5.24066,1969.63473515,99.0155,163.028518223,1335.71380561
94,452.322115846,73.967,5.31312,5.31728225373,0.0,2040.93997296,0.0445789,5.31427509725,0.120276820795,-5.40612,94,681.571736603,398.096581611,0.96085,452.322115846,5.31615,1740.24061914,99.4495,166.870727449,452.322115846
95,769.037461928,74.3879,5.42898,5.43328476909,0.0,2256.9348974,0.0533265,5.42982006907,0.125167954153,-5.52574,95,707.884214,527.513679522,0.963701,769.037461928,5.4323,1683.62814907,99.9309,151.037382659,769.037461928
