AverageQ,MaxEsReturn,AverageEsReturn,AverageY,MaxReturn,AverageReturn,MinReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsY,AverageAction,MinEsReturn,AverageQLoss,Iteration,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,Epoch,StdReturn
515.292,3853.76644083,3853.76644083,515.30298913,5536.83607077,5271.41232223,4955.14500544,411.727539645,0.0,261.195,3.85608714726,515.31161614,0.999639,3853.76644083,245.502,1797,179.236,-517.301,515.304,1797,199.87178888
515.912,3540.61559011,3540.61559011,515.924357962,5723.19647148,5466.8090145,5190.06968086,435.26806352,0.0,261.337,3.99282344627,515.940719512,0.999629,3540.61559011,293.617,1798,179.206,-517.886,515.93,1798,142.114151267
515.652,3690.01768,3690.01768,515.6589959,5388.81103902,5124.4333023,4706.6674823,395.230050791,0.0,261.44,4.00226949152,515.673139461,0.999523,3690.01768,283.508,1799,179.252,-517.666,515.665,1799,205.735883583
515.478,3614.62670166,3614.62670166,515.486702014,5296.07072165,4827.0661468,2187.5452766,405.191883487,0.0,261.529,3.97816230961,515.50379013,0.999606,3614.62670166,283.047,1800,179.34,-517.432,515.495,1800,884.359634534
515.812,3720.10594696,3720.10594696,515.815932916,5256.93704858,4779.25339973,4183.42599208,371.146634198,0.0,261.678,4.09420242953,515.829339202,0.999544,3720.10594696,320.74,1801,179.391,-517.915,515.827,1801,301.918832757
515.827,3444.15898698,3444.15898698,515.825149338,5565.05423369,5339.93707777,5020.41234181,402.919491631,0.0,261.777,3.77429310032,515.842403761,0.999548,3444.15898698,253.908,1802,179.356,-517.814,515.845,1802,154.916689274
515.665,3378.74799195,3378.74799195,515.686241366,5538.91903292,5368.55590328,5185.79142677,424.354277771,0.0,261.881,4.08636493507,515.701812674,0.999477,3378.74799195,311.502,1803,179.405,-517.733,515.68,1803,96.5179863554
516.176,3742.86424432,3742.86424432,516.169758592,5261.7512929,5113.73726605,4869.04478257,393.768403874,0.0,261.985,3.91170875045,516.184376145,0.999605,3742.86424432,267.101,1804,179.499,-518.171,516.19,1804,101.933100849
515.886,3369.62924346,3369.62924346,515.894957573,4918.18147963,4596.94610693,3793.21704614,371.172340496,0.0,262.115,3.95301908044,515.913063799,0.999374,3369.62924346,281.027,1805,179.56,-517.941,515.904,1805,293.799153895
515.962,1399.31066948,1399.31066948,515.966973674,4678.21672878,3650.92785586,482.221874844,343.446603876,0.0,262.207,3.89318504712,515.982746258,0.999459,1399.31066948,261.713,1806,179.592,-518.043,515.978,1806,1234.00815685
515.931,3367.00603499,3367.00603499,515.940991752,5631.47091454,4642.98555775,377.374362653,421.888504429,0.0,262.363,4.06644870058,515.954945002,0.999695,3367.00603499,293.199,1807,179.644,-518.059,515.945,1807,1530.38091386
515.739,3695.85344705,3695.85344705,515.747641561,4785.36673281,4488.70004888,3781.80969809,364.587646088,0.0,262.485,4.02107878114,515.756249649,0.99948,3695.85344705,306.573,1808,179.66,-517.756,515.75,1808,307.105804967
516.057,3604.0870316,3604.0870316,516.055520812,5831.35283089,5039.85138368,973.885610316,423.401169683,0.0,262.579,4.14300309613,516.075959708,0.999542,3604.0870316,321.338,1809,179.726,-518.108,516.076,1809,1369.48309418
515.001,3506.30968639,3506.30968639,515.0155132,5602.55037366,5467.53923759,5238.09729594,427.537968099,0.0,262.679,4.41064187805,515.030162446,0.999662,3506.30968639,393.818,1810,179.82,-517.222,515.013,1810,121.159404757
516.762,-406.140930873,-406.140930873,516.767832177,5541.7555477,5314.55295869,4859.97883417,401.838134573,0.0,262.734,4.08164393704,516.775760077,0.999587,-406.140930873,305.17,1811,179.898,-518.881,516.77,1811,177.571769494
515.795,3608.42850228,3608.42850228,515.806806255,5432.72026412,4790.85647697,695.322218591,405.078140928,0.0,262.818,3.95906313416,515.817881614,0.999605,3608.42850228,282.502,1812,180.002,-517.941,515.806,1812,1369.80000364
516.356,3811.10708648,3811.10708648,516.360250892,5622.58964643,4901.20122253,34.0648335539,416.192933925,0.0,262.887,4.08268622434,516.380728142,0.999608,3811.10708648,307.507,1813,180.019,-518.397,516.378,1813,1627.50247351
516.255,1852.11201394,1852.11201394,516.266701414,5585.19982912,4976.55971635,1926.7524668,397.891421621,0.0,262.989,4.13647302677,516.279275085,0.999609,1852.11201394,311.373,1814,180.041,-518.432,516.268,1814,1025.28168521
514.827,696.277189417,696.277189417,514.826895554,5650.31191542,5211.92712202,3855.64616959,435.234456288,0.0,263.071,3.99845561512,514.842729233,0.999576,696.277189417,262.474,1815,180.066,-516.961,514.844,1815,499.627077231
