Epoch,AverageReturn,StdEsReturn,MinEsReturn,StdReturn,AverageQ,MinReturn,AverageQLoss,AverageY,AverageAbsY,AverageDiscountedReturn,AverageEsReturn,MaxReturn,AverageAbsQYDiff,PolicyRegParamNorm,Iteration,AverageAbsQ,MaxEsReturn,QFunRegParamNorm,AverageAction,AveragePolicySurr
69,139.14981849,19.4132138806,72.1125462749,9.2709784713,7.43894,114.864227847,0.206584,7.44149056925,7.44149459441,119.839692672,143.472231094,161.489369131,0.262302686173,18.9481,69,7.43958,172.533184721,84.4427,1.0,-7.51325
70,139.343683225,18.5584417998,95.078113306,9.77133974671,7.43312,110.179659077,0.195398,7.4354058034,7.43547909292,119.990142222,146.444665926,158.674584433,0.261282936499,18.9481,70,7.43367,190.974152499,85.2383,1.0,-7.4958
71,139.522200457,22.5328402152,70.2826768531,9.55241986943,7.42219,114.354658136,0.197101,7.42541281703,7.42546035486,120.131236277,142.60744112,163.112276862,0.258337414494,18.9481,71,7.42271,183.172664149,86.0783,1.0,-7.48118
72,138.725087738,21.5522560186,84.7429003826,9.68815774422,7.39948,116.120012112,0.200754,7.40358333455,7.40370129706,119.532260158,138.6027692,158.776506587,0.258747995902,18.9481,72,7.40014,171.078567502,86.8447,1.0,-7.45914
73,139.48077342,28.9901309488,33.9956401803,9.25717528242,7.3876,115.861944013,0.189057,7.39047886635,7.3905869609,120.089915855,146.43945214,161.254217905,0.26094706003,18.9481,73,7.38839,184.636681759,87.7438,1.0,-7.45062
74,139.198478279,22.7912376445,66.4440486408,9.9590819539,7.36249,111.545755401,0.203637,7.36448187333,7.3645180678,119.871973207,143.114537145,161.815753537,0.262698169103,18.9481,74,7.36323,183.871672053,88.6361,1.0,-7.42115
75,139.029680186,29.1456380754,34.005588854,9.38250372722,7.35346,110.510197372,0.219778,7.35636713534,7.35636713534,119.74655118,135.590774331,159.24260896,0.262822787697,18.9481,75,7.3539,179.097627151,89.4695,1.0,-7.41323
76,139.053241316,20.9576189679,73.850790215,9.08909961077,7.42054,115.081934213,0.179715,7.42265955629,7.42272222013,119.788540183,146.052471192,162.288847551,0.252105740986,18.9481,76,7.42079,176.322438996,90.1983,1.0,-7.47974
77,139.904831615,15.5328319302,102.385382607,8.51339546897,7.29953,113.277950419,0.207489,7.3022950254,7.30241634568,120.415709859,147.90088339,162.09041369,0.257119879364,18.9481,77,7.30017,184.120196754,90.9905,1.0,-7.35749
78,139.714058281,25.2651870293,45.4207123597,9.57140152329,7.32208,111.946137754,0.19718,7.3239922512,7.32405501173,120.294738671,142.719142328,162.511499418,0.2545059067,18.9481,78,7.32253,192.69869683,91.7242,1.0,-7.37904
79,139.762263259,23.0434068186,43.7697981037,9.52620479485,7.25439,114.314989165,0.171517,7.25734917002,7.25736859945,120.29944313,144.955243485,162.605685572,0.251012083645,18.9481,79,7.25481,171.566125546,92.6337,1.0,-7.31245
80,140.515772391,17.0517890148,102.354039267,9.44980942926,7.30789,114.924361207,0.189698,7.31041281781,7.31041281781,120.851026304,142.754496266,161.855780597,0.253112667787,18.9481,80,7.30805,187.220461357,93.287,1.0,-7.36377
81,140.018042587,28.6393867738,52.2963469531,9.84130285133,7.25034,109.977603344,0.199053,7.25277551995,7.25285073586,120.481747099,144.032620279,159.035817571,0.24853176676,18.9481,81,7.25065,181.635075295,94.0571,1.0,-7.31109
82,139.276875478,28.1628635794,33.8485550782,9.30414210125,7.27057,112.817721054,0.207455,7.27251197858,7.2725913998,119.93388735,144.374471202,162.803942661,0.260988592521,18.9481,82,7.27093,186.644118195,94.885,1.0,-7.33112
83,140.603285503,15.4559389214,108.887030472,9.64689618334,7.27462,111.758171161,0.188428,7.27697188494,7.2770222825,120.936452459,150.847946626,160.196106532,0.244907245543,18.9481,83,7.27494,179.282609808,95.646,1.0,-7.33802
84,139.166337359,18.1940086967,72.0260469568,9.61140772116,7.2693,115.178115194,0.191975,7.27186948012,7.2718941601,119.849106287,146.53563232,158.401708831,0.256868248053,18.9481,84,7.26953,175.651634515,96.3291,1.0,-7.33384
