Iteration,AverageAbsQ,Epoch,AverageEsReturn,AverageAction,AveragePolicySurr,AverageQ,StdEsReturn,PolicyRegParamNorm,MinEsReturn,AverageReturn,MinReturn,AverageY,AverageAbsY,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,MaxReturn,AverageDiscountedReturn,MaxEsReturn
46,67.327,46,239.299090645,0.469606,-70.784,67.2701,127.528978437,31.5918,16.9007934501,486.130335608,394.42215711,67.2829839236,67.2885566335,1.95222818265,41.0234973386,45.3189,16.8575,563.959368621,204.618506555,418.553372971
47,69.7542,47,229.760257408,0.479015,-73.2788,69.6974,132.687053636,31.967,13.6304190581,401.585827911,327.912521804,69.7054752682,69.7124093016,1.9989450712,21.6115191779,45.9757,17.9721,426.955036385,188.725693707,402.338310659
48,72.3148,48,241.585873112,0.453874,-75.7961,72.2375,127.256452265,32.3095,73.2091759976,400.70157604,380.006204845,72.24826239,72.2608364232,2.12696132706,11.5475938381,46.7279,20.3703,447.180493944,189.961102289,498.305220451
49,74.7149,49,250.493963032,0.485048,-78.2085,74.6482,101.267132174,32.6973,12.7686931395,394.690487764,285.822389938,74.658019316,74.6652689809,2.14578264047,23.7514794207,47.4348,20.5865,498.623929099,187.364094121,396.818794113
50,77.1536,50,216.262879419,0.591515,-80.719,77.0841,126.577117401,33.1148,7.82951533233,258.864312291,175.164832249,77.0963272134,77.1059453128,2.13589983655,65.4759658921,48.1335,19.5826,383.839811051,142.327269379,383.240987081
51,79.7777,51,196.359135321,0.539241,-83.3509,79.712,107.753697929,33.4746,9.01026903026,234.06649977,195.748465384,79.7203524569,79.7280246007,2.21134511106,28.3791231517,48.7442,20.8902,280.002913628,136.657862845,364.065988082
52,82.0139,52,177.463972856,0.591984,-85.5996,81.9323,112.123542274,33.8399,9.83860560236,206.018365456,180.231237742,81.945048112,81.9511991207,2.3246051862,12.1678366266,49.4113,25.6832,239.955994181,126.55918751,339.366090736
53,84.1629,53,168.055889507,0.600116,-87.7933,84.0866,125.917892456,34.1464,10.8233287261,224.224978386,189.704164815,84.098733651,84.1072417603,2.27927421551,14.8680866087,50.0789,22.4303,260.068986223,133.616482984,367.761308825
54,86.3607,54,199.962306973,0.61315,-90.1043,86.284,118.931172944,34.4047,46.8629837526,191.063661532,156.979323613,86.2900143533,86.2990691339,2.38877583032,15.5039182886,50.7502,23.9253,218.317716758,118.007324808,441.857126745
55,88.4741,55,200.460350079,0.586127,-92.1588,88.3914,126.659410428,34.6789,12.1976961845,272.454754429,248.450872829,88.4078312796,88.417580425,2.45901599772,11.2648892543,51.3884,26.7037,300.010859568,151.728228841,365.049023385
