AverageQ,StdEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAction,AverageEsReturn,AverageAbsQYDiff,MaxReturn,Epoch,AverageQLoss,AveragePolicySurr,MinReturn,PolicyRegParamNorm,AverageAbsQ,StdReturn,AverageY,AverageReturn,MaxEsReturn,QFunRegParamNorm,Iteration,AverageAbsY
15.8738,3.20664206637,5.83256427437,87.8342335802,0.25631,93.1125252221,0.474723927571,91.1446295319,51,3.63005,-16.7925,-3.83035552069,28.6995,16.1307,17.6856108305,15.8764907266,86.2157241991,98.5955945574,97.1686,51,16.0835369738
17.2969,1.69747957576,6.98367981322,88.3695308897,0.094104,90.532929854,0.513106304635,90.6189911642,52,4.09394,-18.263,-5.15221678806,28.8625,17.5532,44.8784111183,17.2987714262,26.6594785444,93.0511777065,98.2329,52,17.4965511588
18.3496,35.8289114523,30.543479856,-6.09949211176,0.815149,73.7628369445,0.538130873534,94.4671500798,53,4.15615,-19.3242,79.3749796631,28.8742,18.6425,3.35819274083,18.3465708474,90.9769235332,93.1193004632,99.4207,53,18.5676964087
19.5343,1.74785290758,5.33811124136,89.1596653445,0.120187,91.5696797735,0.568427476027,89.1413143104,54,4.28822,-20.5293,-8.12350628126,29.4528,19.8556,43.6589250533,19.5301780574,19.5462323291,95.0014060142,100.384,54,19.773742586
20.5999,39.2809404117,42.4170147357,-9.29764889894,0.987358,69.1403135271,0.644096872854,93.5252966737,55,6.66029,-21.6162,85.2630782525,29.7073,20.9466,1.82749390564,20.5934724199,92.4561328084,90.7538657647,101.099,55,20.857515457
21.5671,1.82313587885,1.73214061158,88.4034254184,0.0324962,91.4731804782,0.684239886825,88.5324379017,56,7.20183,-22.558,-2.19737893524,29.9695,21.9476,26.0668527958,21.5611580176,6.10184672569,93.9319344571,101.654,56,21.8508759062
22.9527,38.8359531479,6.03688319677,-0.489199648265,0.201532,66.7275613486,0.718214620352,90.3814031611,57,7.80072,-23.9487,-14.7533055576,30.2262,23.3829,49.3604151268,22.9473748955,23.8122249456,90.6869528427,102.035,57,23.285104147
23.668,45.8760258261,25.5579067454,-22.0400031665,0.875752,57.3464056241,0.709491418354,91.2890106679,58,7.88748,-24.6583,85.39200744,30.5345,24.1106,1.71642115332,23.6643831214,89.6238891339,86.45643622,102.453,58,24.0270599311
24.6448,6.96702770038,8.19468052866,73.8137687515,0.166336,87.5527437839,0.733952797637,91.2860889587,59,7.88157,-25.5897,-12.9238945427,30.7773,25.1014,48.6343852766,24.6407492381,21.629915323,92.4596833758,102.937,59,25.0227476977
25.6178,30.0194035603,36.4680834402,-3.68685326176,0.979581,81.0343576217,0.738854244721,93.4134524252,60,8.27139,-26.5203,86.6619051311,30.9309,26.0776,1.93180623881,25.616797723,91.2964625746,94.4514576434,103.5,60,26.0151323489
26.4172,2.22168821527,33.2561608807,90.4709194523,0.970625,92.5401734191,0.690007033814,93.2441689394,61,6.35631,-27.2927,86.2890821696,31.0852,26.8839,1.72941770643,26.4163803804,90.6912393749,98.224551494,104.272,61,26.8283404177
27.4934,1.53911837214,40.0256737779,89.1431774486,0.971967,91.7575932758,0.650485953557,93.5124100335,62,5.52065,-28.2935,86.2729614165,31.2565,27.9631,1.66508238129,27.4918444512,92.1160927889,94.4862001648,105.046,62,27.9124340709
28.2621,1.07807562231,39.7984279584,90.3452126691,0.978616,92.4960917589,0.659359428463,93.4856701278,63,5.42635,-29.013,86.3296993317,31.5278,28.7359,1.58231466069,28.2602917375,92.0382046915,94.3590516799,106.027,63,28.6850597123
29.3851,2.46558110989,33.4881909502,87.2472509018,0.973566,91.9713991374,0.62672289814,93.2446104257,64,5.13183,-30.0916,82.9234026153,31.748,29.8427,2.30173274312,29.3832422299,90.6303620534,96.4996848772,106.943,64,29.7978905824
30.2127,1.04681324025,33.1008904217,89.166567997,0.98899,91.290672727,0.590221386842,93.2694368425,65,4.32557,-30.8921,82.2140543759,31.9975,30.6612,2.58303995991,30.2125850162,90.3578294954,92.6645206303,107.789,65,30.615153564
30.9891,0.893942374949,33.7382651854,89.8744480971,0.98563,91.387370144,0.603560608903,93.0225328819,66,4.08177,-31.6358,83.1157987982,32.2959,31.4074,2.17222563362,30.9895236225,90.6067570445,92.696613658,108.565,66,31.3707134765
31.7659,1.30511121877,36.2973301027,89.9534444355,0.981737,92.2524756979,0.59655314902,93.4976089222,67,3.76237,-32.3842,85.7723556387,32.6628,32.1425,2.26110735564,31.7666672241,91.1608564219,94.2826705753,109.526,67,32.1132115242
32.6774,1.41530348358,46.6995656979,89.8708493541,0.989853,92.7979455997,0.634707675788,93.5037027041,68,4.85196,-33.3046,92.066315707,32.9611,32.9946,0.199015935426,32.6781715436,93.3706222364,94.4730544514,110.444,68,32.9718947947
33.6199,1.70542349159,40.3363206953,88.9352399822,0.995122,92.9818443835,0.632201080486,92.4003511751,69,4.19586,-34.2985,91.9005107149,33.1832,33.8784,0.101312649813,33.6220475552,92.1636093736,94.5286774356,111.408,69,33.8618511921
34.6955,2.53491813195,40.463420869,88.6263849265,0.997646,93.644420634,0.65961471729,92.4684877107,70,4.67155,-35.4899,91.828638275,33.2889,34.8959,0.115068590167,34.6981069343,92.1708185817,99.0621773883,112.333,70,34.8864060675
35.8183,2.28278972204,39.1244425277,88.936077139,0.994471,93.7376320032,0.676140472346,92.4847099485,71,4.4262,-36.6658,91.5090987466,33.4167,35.9667,0.182406442254,35.8206510696,91.9255394447,99.6209540342,113.354,71,35.9577490959
36.9549,2.50824266957,40.0890817595,89.7162791703,0.996511,93.0359846834,0.658497337945,92.4635159497,72,4.15629,-37.8534,91.721080912,33.5635,37.0569,0.115767084864,36.9566952735,92.1048086428,99.6550066387,114.221,72,37.0474366237
38.2586,1.67336371053,40.1092294894,92.420195467,0.997674,93.9803759289,0.709561151557,92.4109645883,73,4.91051,-39.2004,91.801025584,33.7178,38.3301,0.113506969958,38.2606700056,92.101090433,99.1333872177,114.993,73,38.3205906491
39.3906,2.10104214995,41.4516790544,87.3490939726,0.997579,93.5322376543,0.673057772047,92.5461339299,74,4.16849,-40.3801,92.1018111152,33.9186,39.4451,0.103941420375,39.3931426564,92.3643324648,95.9574598978,115.802,74,39.4318320524
40.6718,2.17487269414,40.5075348291,90.5994402546,0.996502,93.7485527354,0.694489411009,92.5001635054,75,4.40028,-41.7126,91.8005035808,34.1103,40.7123,0.12493578258,40.6747526533,92.1875832707,99.6594573282,116.522,75,40.7008064908
42.2268,1.50356971489,41.4381704992,90.985089755,0.997663,93.4413793458,0.690935793535,92.4996538263,76,3.82669,-43.3201,92.119536557,34.2818,42.2592,0.0810610225374,42.2281913491,92.3614032428,96.7345424279,117.394,76,42.2476038719
43.6185,1.07594331876,43.4571418772,90.8680434909,0.997168,93.6471420628,0.696962944903,92.8988425907,77,4.29657,-44.7564,92.5000311128,34.4637,43.6419,0.0941205817854,43.6192210306,92.7466898772,94.8880491943,118.19,77,43.6310592913
44.8593,1.32366661731,43.5485722312,90.2430633755,0.998192,93.7347233499,0.681231618261,92.8992355144,78,3.70333,-46.0233,92.6000315536,34.6428,44.8762,0.0809144086833,44.8615631177,92.7573206988,96.5071770344,118.963,78,44.8675857506
46.1903,2.5038176281,42.5158027601,89.3428242821,0.995104,92.8869514951,0.68274406277,92.6999887847,79,3.74379,-47.3902,92.3000237219,34.8312,46.203,0.0839969014069,46.1912035948,92.5838937968,97.5914822735,119.648,79,46.1943475612
47.5582,1.49234028924,43.4770220436,90.7096438524,0.998473,93.1519320276,0.708789660416,92.89463535,80,4.30423,-48.7976,92.6000014186,34.9341,47.5655,0.0808552745186,47.5610439594,92.7422601377,94.9604219996,120.482,80,47.5622503016
49.022,2.00121642819,43.5349764141,88.448589705,0.99692,92.9134748031,0.709967318925,92.899984816,81,4.4873,-50.3179,92.6466564685,34.9765,49.0264,0.0686574135127,49.0233725432,92.762937719,95.3540858889,121.235,81,49.0236196549
50.4108,2.32885542883,43.9643474993,88.8248843156,0.997566,93.5533637124,0.675614671415,93.000009139,82,3.84757,-51.7156,92.7025494765,35.0942,50.412,0.0591819364018,50.4128416121,92.838185805,98.1995399794,121.982,82,50.4128679844
51.8192,0.950745060355,43.0172043861,92.2706342167,0.995804,94.2857983422,0.68126274465,92.7880975842,83,3.54872,-53.1655,92.5000120043,35.2026,51.8193,0.0790487469454,51.8213990108,92.6735183337,96.7000085368,122.642,83,51.8214269258
52.9029,2.66077813921,44.349939622,87.9986848206,0.998192,92.9228501974,0.701771294884,93.0074440776,84,4.1083,-54.2669,92.8000398621,35.3379,52.9029,0.0520340554297,52.9065144026,92.9050465915,97.6600880927,123.326,84,52.9065382138
