MinReturn,StdReturn,AverageEsReturn,MaxReturn,AverageQLoss,AverageAbsY,AverageAbsQ,Epoch,QFunRegParamNorm,MaxEsReturn,AverageY,AverageQ,AverageDiscountedReturn,Iteration,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,MinEsReturn,AveragePolicySurr,StdEsReturn,AverageAction
326.1350343,14.816240041,221.095377396,392.417731648,22.7859,83.6841353761,83.7233,53,51.6357,350.691549943,83.6560403839,83.6438,177.970430747,53,371.345332855,34.8903,2.13827073521,40.4091165341,-86.4571,106.25328598,0.681748
341.608396119,12.0113663424,250.870692657,384.76980287,26.2252,86.1732190485,86.2014,54,52.2632,393.73354364,86.1336903451,86.1223,176.125280654,54,363.132378925,35.1703,2.19059093827,52.6562408343,-88.9987,108.780668681,0.686238
333.698641641,15.462916694,226.315854743,389.593163471,27.2742,88.4664390844,88.5004,55,52.9533,395.87407082,88.4270113368,88.4098,176.745749662,55,364.435137198,35.4682,2.29063759075,13.8645304988,-91.29,127.319546707,0.691759
302.622326875,18.2445982802,257.896143467,393.661207147,27.9994,90.7105285318,90.7571,56,53.5224,384.364772432,90.6739484077,90.667,180.638467277,56,382.238577035,35.7248,2.29263369505,85.2542050241,-93.5975,102.051233249,0.687594
288.633852968,17.5692895408,298.389102796,345.782012325,34.1931,92.5448718965,92.5863,57,54.1737,400.615848851,92.5198909052,92.5005,165.416205452,57,328.158048077,36.0928,2.46221568464,103.057438652,-95.5234,83.2425556606,0.672376
334.521298728,5.41673375415,285.751112583,355.928056341,31.279,94.9270663527,94.9758,58,54.7745,371.629743878,94.8998985772,94.8879,171.845738919,58,346.746093571,36.3828,2.41424762972,118.157533901,-97.8648,80.9967887258,0.701654
306.587310137,8.18085022686,265.934149904,346.182565657,35.5687,97.1226827173,97.1513,59,55.4523,344.076173159,97.1009874168,97.0817,166.077369796,59,329.631384878,36.7283,2.53282830871,58.1252761525,-100.146,88.9707781075,0.73142
287.33836957,6.48531464724,209.555748584,320.65999579,32.755,99.4157082269,99.4668,60,56.0255,359.275939648,99.3927869291,99.3822,161.28518867,60,312.850078607,36.9918,2.5169834134,14.8916691766,-102.482,127.005338129,0.720995
277.796465424,13.7070147347,186.081995439,344.486908967,33.2451,101.411183363,101.454,61,56.5633,319.953415276,101.39366505,101.379,162.719085876,61,316.868509729,37.2628,2.53165404288,10.2554096959,-104.477,107.294619852,0.763139
288.791533664,5.48457201143,217.714032876,318.451233215,39.5656,103.416684747,103.46,62,57.2028,380.978945892,103.398884574,103.385,157.681044701,62,306.089861174,37.5752,2.6864417504,52.6836998855,-106.58,105.483751325,0.710301
291.947972448,8.60499927518,161.381058239,327.131642174,36.3364,105.64179818,105.687,63,57.8256,305.696534018,105.622054225,105.604,160.155647686,63,305.842431767,37.8638,2.63123592438,31.6936622181,-108.815,94.7983081969,0.651004
296.893681986,9.09769437007,254.927736617,329.06710072,37.5714,107.711995825,107.772,64,58.3999,368.908659312,107.696549813,107.684,162.732406224,64,313.541492374,38.1961,2.71695835001,13.1776608666,-110.851,132.048040405,0.667017
286.800867909,11.1692219564,215.265942849,340.471526844,35.8468,109.907904531,109.962,65,58.8911,344.974140718,109.885040157,109.874,162.936514227,65,318.949018512,38.5215,2.63085360723,19.258128943,-112.917,124.451509412,0.760241
306.390544629,17.1378181176,222.671287297,385.120802722,43.0337,112.024542925,112.079,66,59.4747,325.773320658,112.004305373,111.985,174.68578942,66,360.36347539,38.862,2.8221508126,32.2326451768,-115.045,86.0640630474,0.775389
352.413681999,4.01914425611,245.900773884,373.48657636,46.9362,113.721657357,113.792,67,60.0083,366.412202501,113.701546213,113.69,176.895139225,67,365.225328842,39.1889,2.93242079364,7.65686426456,-116.819,117.269157977,0.713357
279.034250983,10.1615348332,242.745311006,326.594660181,41.3486,115.730045484,115.791,68,60.5469,358.154881252,115.708918578,115.693,161.459406236,68,315.683448292,39.3769,2.8251626799,108.006029036,-118.813,104.681963035,0.579367
267.31669463,6.68069121368,223.061776303,301.632663427,37.6482,117.871123691,117.926,69,60.9528,345.142129754,117.843087369,117.826,153.505180166,69,283.2146342,39.6615,2.77224439077,11.5795291566,-120.956,129.110909538,0.67539
305.536744651,4.03277861721,205.767767294,323.641472641,41.6277,119.799948542,119.872,70,61.5054,389.983256233,119.77377325,119.763,162.152514244,70,313.005828722,39.8679,2.90702330586,6.85402829527,-122.897,152.366964171,0.685554
276.252164393,11.1418065443,298.840094733,319.227623939,43.9319,121.904589173,121.968,71,62.0093,427.118845356,121.874531766,121.86,158.921217298,71,301.846323816,40.1259,2.89475349897,53.1952918423,-124.981,121.620178668,0.661548
297.998468903,2.09393370995,249.967532382,308.308079783,48.5927,123.336378001,123.424,72,62.542,318.24455792,123.308181438,123.297,158.852399695,72,303.165812408,40.3538,3.00999407538,8.02177503629,-126.436,97.5344879191,0.66529
327.561881726,4.71279719401,224.924712191,355.552850068,44.6009,125.685898807,125.749,73,63.0121,374.646409587,125.647971974,125.636,172.795840633,73,347.176615813,40.5817,2.96287521751,10.1547442979,-128.788,136.067582036,0.736548
344.893483441,29.6344290605,281.136121877,501.035143922,47.3342,127.388554478,127.456,74,63.5238,406.646837142,127.351920325,127.335,185.339887559,74,399.822815846,40.7949,2.97817344248,14.5941106123,-130.52,108.764596191,0.748588
314.535582091,9.01610574242,167.350466304,355.106185341,47.4417,129.411656412,129.488,75,63.9765,359.020319816,129.372771137,129.36,167.306704482,75,325.93211367,40.9789,3.02349612323,14.0765537695,-132.591,130.560634632,0.632096
362.360254375,17.0587454742,260.353125959,423.361291695,54.3694,130.898668245,130.985,76,64.5159,429.999001049,130.858722643,130.839,187.185256694,76,400.996630917,41.2497,3.19961995828,17.1149530179,-134.146,152.359722037,0.673042
301.185813806,7.94462566303,172.59689228,332.144544973,55.2005,133.359794944,133.444,77,64.9829,375.095361413,133.308227535,133.3,160.857328071,77,317.187523918,41.4445,3.19485441735,9.0650241092,-136.618,143.588229542,0.644895
293.32534709,3.61184118094,253.390524378,308.44751162,55.5518,134.765357205,134.857,78,65.45,407.67224592,134.72167974,134.702,158.270739088,78,302.176954793,41.6709,3.25158674038,13.0409245671,-138.13,147.117585121,0.610522
307.702516935,7.96994426843,219.591701391,345.824193745,50.8399,136.888256043,136.963,79,65.9627,437.151722434,136.834030225,136.815,165.430819633,79,324.65092876,41.8965,3.15032715121,8.70536688638,-140.291,132.133942736,0.689013
268.381664757,5.67498745238,190.999530981,307.898252962,57.5691,138.620312444,138.707,80,66.4072,358.109903658,138.563185958,138.548,152.208873573,80,283.760619671,42.1011,3.32416581389,15.4391234776,-142.21,133.761833,0.581088
308.9366722,68.0130938095,300.809580815,576.382579889,59.7328,140.873299785,140.97,81,66.8824,459.284078465,140.814873557,140.806,197.59101762,81,474.518740683,42.3498,3.34190275911,120.624752846,-144.534,100.383828352,0.692996
347.559614365,9.41971631065,255.802883201,407.591583844,65.5283,142.780732143,142.87,82,67.4072,383.51253324,142.729041598,142.712,186.549109319,82,392.849534242,42.601,3.44188619947,15.1725419439,-146.48,132.206121844,0.7121
