MinEsReturn,PolicyRegParamNorm,AverageReturn,AverageDiscountedReturn,MinReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsY,MaxReturn,Epoch,Iteration,AverageAction,StdReturn,AverageQLoss,StdEsReturn,AverageEsReturn,AverageAbsQ,AverageQ,MaxEsReturn,AverageY
93.2518814928,43.0371,291.32003962,154.444081103,209.264101263,-136.449,3.24414457327,65.4158,132.257808897,525.402718442,84,84,0.740722,59.4372587824,50.9235,76.5337615177,259.919267729,132.338,132.224,368.981056162,132.239506975
29.3748909655,43.2273,324.39647022,165.06510283,252.83719614,-138.724,3.21117142456,65.9644,134.659002098,505.027341584,85,85,0.726002,60.1619744344,45.969,148.487822267,257.613382618,134.717,134.618,558.49704397,134.634652542
151.969081773,43.4466,207.275781774,122.33092166,143.522884908,-140.541,3.32289893152,66.4847,136.442953306,514.150360248,86,86,0.776017,88.3870989074,55.7448,82.461965646,245.346360645,136.516,136.397,378.594359015,136.411542029
52.9721047483,43.683,285.316075577,151.428807192,160.850616739,-142.251,3.39400909779,67.0278,138.03460334,472.329833911,87,87,0.774454,55.6178975995,54.7619,110.308403244,206.720391203,138.117,137.99,489.721244398,138.005260063
6.45084022374,43.8978,296.805874515,155.66590487,238.737677933,-144.17,3.3851390319,67.4822,139.965034266,458.269420218,88,88,0.780666,46.5143438516,56.6874,145.019763884,200.302179343,140.032,139.925,451.659322575,139.941490377
5.46784264361,44.0681,253.142645336,138.989186106,145.029549899,-146.106,3.34229056803,68.0202,141.995025995,425.20532388,89,89,0.778603,83.9932223946,48.2397,146.945680205,250.109680532,142.065,141.961,502.957583735,141.975366977
10.1356599153,44.2506,204.196821531,121.653920806,147.291662104,-148.025,3.42447103961,68.4855,143.830367938,473.129040844,90,90,0.793155,72.9850973005,56.6784,145.303207551,184.290508407,143.908,143.788,515.366383661,143.805079998
18.9986497188,44.4354,277.344728416,146.767180748,152.856023981,-150.191,3.58012955397,68.9762,145.946691283,499.36050073,91,91,0.769561,79.2507677202,60.6986,147.169455707,188.639730496,146.033,145.908,452.896522195,145.924382873
16.8809803496,44.6383,341.068936181,168.696005808,217.092440232,-151.916,3.61395760528,69.446,147.658664144,425.457721838,92,92,0.718112,52.385879517,66.7137,158.98532606,183.755771131,147.737,147.622,407.476146508,147.63572524
60.0933185429,44.8155,252.40646546,139.554641308,137.770129067,-153.91,3.59633633843,69.9221,149.5355859,482.765248606,93,93,0.752738,74.2948337745,60.1546,168.107106837,250.442583314,149.613,149.493,671.850791401,149.507986192
