AverageReturn,Epoch,StdReturn,QFunRegParamNorm,Iteration,PolicyRegParamNorm,AverageQ,AveragePolicySurr,AverageQLoss,MaxEsReturn,MinReturn,AverageEsReturn,AverageAction,AverageAbsQ,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageAbsY,MaxReturn,StdEsReturn,AverageY
3178.52349668,69,1041.28666817,42.1877,69,36.9688,61.3263,-62.9514,7.57396,2515.29074276,1085.29177677,2515.29074276,0.880449,61.3263,2515.29074276,1.48761330453,295.915763283,61.3394105267,3846.6156772,0.0,61.3390623396
3724.1610015,70,38.136990566,42.65,70,37.2899,63.4698,-65.1477,8.11105,2554.71985273,3677.18239528,2554.71985273,0.899396,63.4698,2554.71985273,1.53440616876,311.065564401,63.4839928682,3784.65579376,0.0,63.4834990784
2393.12949224,71,1349.84786857,43.0673,71,37.5703,65.8323,-67.5498,7.86578,1713.24228971,564.33756373,1713.24228971,0.851346,65.8323,1713.24228971,1.51705699802,321.842078367,65.84265427,4499.22616296,0.0,65.8421493763
4163.80644891,72,652.919601843,43.4423,72,37.8842,67.6444,-69.3746,8.81274,2748.73181251,2406.1728611,2748.73181251,0.927535,67.6444,2748.73181251,1.55723894377,323.36979962,67.6579669004,4627.96060012,0.0,67.6576362391
3439.25937381,73,740.626480541,43.8548,73,38.1616,69.296,-71.0257,7.80204,605.729795346,2258.68218832,605.729795346,0.9071,69.296,605.729795346,1.55425949641,318.208072609,69.3089359295,4326.00658652,0.0,69.3084781472
3695.87678396,74,1219.45293136,44.2851,74,38.4676,71.4858,-73.2436,7.7883,2508.25757151,1138.68527462,2508.25757151,0.897831,71.4858,2508.25757151,1.55388624439,340.360180956,71.4996431248,4701.99940207,0.0,71.4993595659
2599.65012028,75,834.605574203,44.6676,75,38.7559,73.5607,-75.3042,11.3288,1019.32523468,1080.15346655,1019.32523468,0.894255,73.5607,1019.32523468,1.665428261,302.04249187,73.5727885679,3668.08957489,0.0,73.5724918773
4667.3386595,76,77.4739123191,45.0722,76,39.0218,76.0452,-77.8319,9.77822,2978.54716483,4532.76064504,2978.54716483,0.957176,76.0452,2978.54716483,1.61645330804,374.160768441,76.0576839677,4782.9773011,0.0,76.057391765
3685.56880948,77,74.2092695241,45.5175,77,39.3151,78.5279,-80.3338,10.2023,2601.90819665,3524.13330771,2601.90819665,0.968873,78.5279,2601.90819665,1.67693211609,297.669024136,78.541119422,3819.23476065,0.0,78.5406375658
3765.63140661,78,435.826729256,45.9846,78,39.6589,81.4871,-83.2377,12.9954,2308.20329506,2652.2454682,2308.20329506,0.92031,81.4871,2308.20329506,1.75855975733,320.159528532,81.5068221403,4143.03702272,0.0,81.5062300346
4045.2280288,79,112.730147387,46.4451,79,39.9441,84.4663,-86.3039,11.4885,2702.57052104,3856.69393668,2702.57052104,0.944753,84.4663,2702.57052104,1.75136519977,325.550441066,84.4738483181,4204.7127856,0.0,84.4735622886
3937.07357587,80,178.552124638,46.7442,80,40.2589,86.5136,-88.3151,11.1592,2713.78139769,3539.05566076,2713.78139769,0.953743,86.5136,2713.78139769,1.73601724322,322.138168346,86.5297842813,4235.09086332,0.0,86.5295075781
3779.65877954,81,461.836068313,47.0836,81,40.5503,88.7544,-90.6069,12.6047,2524.4761411,2401.49422206,2524.4761411,0.924245,88.7544,2524.4761411,1.78346726157,319.013414959,88.7680570423,4025.03947903,0.0,88.767616556
3702.83625285,82,504.410923426,47.387,82,40.8162,91.5436,-93.3928,11.8845,2533.51824896,2235.70858676,2533.51824896,0.945062,91.5436,2533.51824896,1.81550738151,309.311162465,91.5562746707,4090.17734172,0.0,91.5558517954
2451.97767936,83,1099.35681059,47.7162,83,41.0713,94.0406,-95.8824,16.0155,2775.05993909,792.83045505,2775.05993909,0.911225,94.0406,2775.05993909,1.89938257754,301.579863796,94.0558496718,4018.51565167,0.0,94.0554887179
3981.32804731,84,586.876157828,48.0888,84,41.3315,97.3067,-99.2069,14.1146,2621.92426741,2347.15993815,2621.92426741,0.947275,97.3067,2621.92426741,1.8583047296,325.09581541,97.3208411798,4497.6746753,0.0,97.3204224462
4146.43497474,85,759.070490125,48.4333,85,41.5756,99.1893,-101.159,16.2728,2745.95875799,1914.29675155,2745.95875799,0.942079,99.1893,2745.95875799,1.93991008797,353.873021565,99.2055679927,4695.18728945,0.0,99.2053257068
4370.5309825,86,150.266307488,48.8105,86,41.8526,102.267,-104.211,19.3469,2532.52055165,4207.86667205,2532.52055165,0.952054,102.267,2532.52055165,1.99749437867,345.287149726,102.277986953,4627.44802178,0.0,102.277612116
3253.18150888,87,1402.14154577,49.1436,87,42.0862,105.533,-107.511,14.9742,2651.17004024,926.269520443,2651.17004024,0.933989,105.533,2651.17004024,1.95872943383,340.718452645,105.550026456,4535.63813573,0.0,105.549617803
3771.93281901,88,103.447363701,49.5459,88,42.3786,107.331,-109.304,20.8776,2868.09144138,3604.73490607,2868.09144138,0.946754,107.331,2868.09144138,2.05795118729,303.973427654,107.346656109,3960.36185368,0.0,107.346095459
3460.55895185,89,694.478541142,49.8831,89,42.6409,110.685,-112.676,19.7679,2701.02355843,1393.7584576,2701.02355843,0.957669,110.685,2701.02355843,2.05297278668,283.413250999,110.697580648,3833.43325665,0.0,110.697233732
3816.78115803,90,1104.04073746,50.2233,90,42.9157,112.795,-114.814,18.4721,2585.61478918,1536.32407758,2585.61478918,0.948779,112.795,2585.61478918,2.04101177652,340.053615206,112.811121101,4620.03874996,0.0,112.810807985
3706.35035767,91,106.78459778,50.5407,91,43.1877,115.591,-117.624,21.1108,2472.85352223,3449.88015823,2472.85352223,0.951402,115.591,2472.85352223,2.11975229655,296.90465991,115.606792464,3841.48566009,0.0,115.606315016
