AverageAction,MinReturn,MaxReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,MinEsReturn,AverageAbsQ,AverageQLoss,StdReturn,Iteration,PolicyRegParamNorm,AverageEsReturn,AveragePolicySurr,AverageReturn,StdEsReturn,Epoch,AverageAbsY,AverageY,AverageAbsQYDiff,MaxEsReturn
0.00648979,1000.0,1000.0,99.9956828753,31.5178,0.746604,2.0,0.749818,0.00395755,0.0,89,33.7823,12.1341463415,-0.837196,1000.0,12.6960356739,89,0.74785964134,0.74664689108,0.024176706733,64.0
0.004153,1000.0,1000.0,99.9956828753,31.6932,0.755809,3.0,0.758938,0.0044184,0.0,90,33.9022,15.40625,-0.850628,1000.0,14.8573621797,90,0.75697754095,0.755849884516,0.0258634591127,73.0
0.00599121,1000.0,1000.0,99.9956828753,31.8263,0.766407,3.0,0.769629,0.0047012,0.0,91,33.9846,11.2777777778,-0.859895,1000.0,9.86692316984,91,0.767551708204,0.766473379596,0.0263138968603,49.0
0.00831814,1000.0,1000.0,99.9956828753,31.9933,0.775913,3.0,0.779338,0.00429523,0.0,92,34.0579,11.125,-0.871571,1000.0,11.2349014844,92,0.776829828735,0.776032882237,0.0260556127948,54.0
0.0159483,1000.0,1000.0,99.9956828753,32.1826,0.787539,3.0,0.79063,0.00455528,0.0,93,34.1559,10.9892473118,-0.885114,1000.0,10.4330890318,93,0.788369156943,0.787579861776,0.026110086455,59.0
0.00460691,1000.0,1000.0,99.9956828753,32.3298,0.800982,3.0,0.804622,0.00533896,0.0,94,34.246,12.6962025316,-0.899198,1000.0,14.6307759819,94,0.801988509398,0.801104540611,0.0281398832919,74.0
0.00402642,1000.0,1000.0,99.9956828753,32.4188,0.811031,2.0,0.813742,0.00449887,0.0,95,34.2827,11.6162790698,-0.911554,1000.0,11.8539254657,95,0.81191609439,0.811101790598,0.0251138166773,56.0
0.0250293,1000.0,1000.0,99.9956828753,32.5774,0.821704,3.0,0.82476,0.00481848,0.0,96,34.4355,10.8571428571,-0.920911,1000.0,10.9810740568,96,0.822590454105,0.821743164191,0.0262314013335,62.0
0.00359835,1000.0,1000.0,99.9956828753,32.7836,0.827367,3.0,0.830958,0.00537697,0.0,97,34.5299,10.6847826087,-0.929299,1000.0,12.1520523833,97,0.828374684802,0.827395657357,0.0280953249334,91.0
0.171243,1000.0,1000.0,99.9956828753,32.9445,0.839492,3.0,0.84302,0.0049286,0.0,98,34.6056,11.3370786517,-0.940434,1000.0,9.23713051926,98,0.840515051813,0.839617415452,0.0272251534092,37.0
0.00780609,1000.0,1000.0,99.9956828753,33.1431,0.850015,2.0,0.852907,0.00491663,0.0,99,34.7012,13.6486486486,-0.948397,1000.0,13.9326880203,99,0.850825108921,0.850129506469,0.0267532072566,62.0
0.0216967,1000.0,1000.0,99.9956828753,33.3227,0.853858,3.0,0.857181,0.0056964,0.0,100,34.8416,12.256097561,-0.956355,1000.0,14.4313437466,100,0.854642094273,0.8539623691,0.0278420281894,89.0
0.0834513,1000.0,1000.0,99.9956828753,33.4088,0.861589,3.0,0.864815,0.00522724,0.0,101,34.8909,11.3409090909,-0.963414,1000.0,12.2417749415,101,0.862269433252,0.861572185297,0.0275034518383,60.0
0.168899,1000.0,1000.0,99.9956828753,33.5707,0.864594,3.0,0.868535,0.00578024,0.0,102,34.9475,12.9350649351,-0.968812,1000.0,16.3582757659,102,0.865518197891,0.864596402139,0.0284740167383,93.0
0.0442214,1000.0,1000.0,99.9956828753,33.6817,0.876559,3.0,0.880086,0.00523296,0.0,103,35.0299,13.7123287671,-0.978529,1000.0,14.5512598448,103,0.877459927176,0.876612232959,0.0277406255678,70.0
0.0226332,1000.0,1000.0,99.9956828753,33.7783,0.881265,3.0,0.885078,0.00590005,0.0,104,35.1523,12.7341772152,-0.985211,1000.0,12.3182573779,104,0.882312631412,0.881304426961,0.0287568218788,55.0
0.077602,1000.0,1000.0,99.9956828753,33.9371,0.888155,3.0,0.892034,0.00575071,0.0,105,35.3026,15.7258064516,-0.990586,1000.0,16.3304281148,105,0.889142360536,0.88816687873,0.0284231424077,76.0
0.230625,1000.0,1000.0,99.9956828753,34.1351,0.89619,3.0,0.899738,0.00590459,0.0,106,35.3527,17.15,-0.999105,1000.0,21.6354839712,106,0.897264069781,0.896271197124,0.028493310383,109.0
0.0528355,1000.0,1000.0,99.9956828753,34.344,0.901997,3.0,0.90583,0.00567926,0.0,107,35.4462,13.527027027,-1.00652,1000.0,13.9431499921,107,0.903167593302,0.902006684572,0.0282246355145,63.0
0.269035,47.0,1000.0,82.3574006885,34.4488,0.908319,2.0,0.912537,0.00593175,430.070758298,108,35.541,12.0379746835,-1.01114,728.0,13.5389200231,108,0.909620221102,0.908409548702,0.0291228420831,75.0
0.0854047,1000.0,1000.0,99.9956828753,34.5637,0.9129,3.0,0.916605,0.00582129,0.0,109,35.7052,14.1756756757,-1.01765,1000.0,18.7042111952,109,0.914090270189,0.912950113881,0.0286340683291,128.0
0.284744,1000.0,1000.0,99.9956828753,34.6147,0.917136,2.0,0.920754,0.00575281,0.0,110,35.7557,13.2933333333,-1.02067,1000.0,14.4284656919,110,0.918338060539,0.917221199579,0.0274323546392,79.0
0.0925992,1000.0,1000.0,99.9956828753,34.7593,0.921488,3.0,0.925341,0.00622701,0.0,111,35.8166,15.5967741935,-1.02587,1000.0,14.2086521544,111,0.922693907321,0.921527371026,0.029467585242,52.0
0.248411,1000.0,1000.0,99.9956828753,34.8898,0.927255,3.0,0.931028,0.00574202,0.0,112,35.8704,16.2903225806,-1.02859,1000.0,19.2959857908,112,0.928640428905,0.92729960661,0.0277476515491,102.0
0.173565,1000.0,1000.0,99.9956828753,35.0621,0.930188,3.0,0.934426,0.006459,0.0,113,35.9507,14.0833333333,-1.03346,1000.0,16.6330911806,113,0.931464571025,0.930224959824,0.0300499098986,94.0
0.290955,1000.0,1000.0,99.9956828753,35.1993,0.933669,3.0,0.937869,0.00598142,0.0,114,36.0629,13.44,-1.03949,1000.0,12.8615602993,114,0.935319145366,0.933747225283,0.0279729120521,51.0
0.326097,1000.0,1000.0,99.9956828753,35.3006,0.940413,3.0,0.944599,0.00624533,0.0,115,36.1093,13.0704225352,-1.04386,1000.0,13.684908871,115,0.941937287426,0.940475736039,0.0282712851483,68.0
