Iteration,AverageAbsY,AverageAbsQYDiff,AverageQLoss,MaxEsReturn,AverageY,StdReturn,MinReturn,AverageDiscountedReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageAbsQ,MinEsReturn,StdEsReturn,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageReturn,MaxReturn
45,50.1095775329,1.12913434848,5.33777,181.285755777,50.088926406,1.40683167462,167.849567314,111.858754349,45,33.6924,0.854036,137.59590619,50.1358,61.9061378325,46.362508301,42.5001,-52.1001,50.0885,172.703059368,175.071035698
46,51.41884681,1.1858430743,6.01302,181.251398709,51.3980356931,1.68561669045,166.285725418,110.793107525,46,34.1533,0.888644,129.979760371,51.4469,38.7584839311,56.8306044016,43.1034,-53.4418,51.3932,170.243068227,173.803106127
47,52.4508892987,1.17699548876,5.5883,196.137014201,52.4386606271,1.43710786528,168.857267612,111.477802846,47,34.4067,0.86593,150.158927029,52.4781,3.89820436874,50.2620982312,43.6996,-54.4899,52.4359,171.783274457,174.952227356
48,53.7680870259,1.20070587194,6.41941,179.702201489,53.74963237,2.33130138428,163.142448634,110.605446748,48,34.6916,0.857279,143.343740301,53.7932,4.9642527182,51.824924681,44.2845,-55.8251,53.7452,169.564775552,173.85813849
49,54.9386620048,1.22453526531,6.79647,181.757027825,54.9133499969,2.11345162773,164.58079881,110.716719935,49,35.0562,0.856183,143.778089852,54.9678,3.65722864855,61.275918867,44.8941,-56.9704,54.911,169.91561777,173.207738024
50,56.1817749658,1.24164346724,6.74938,201.531635599,56.1601626625,2.08055565431,159.598105864,109.920787388,50,35.3896,0.88876,150.21988591,56.2062,62.1012189624,38.4091319817,45.4253,-58.2698,56.155,168.325463762,172.12207331
51,57.3541519494,1.25248864223,6.72599,182.745211946,57.3229111898,2.54596158631,161.883468577,110.257662619,51,35.7084,0.896262,141.842691411,57.3858,49.1936787472,48.9926656118,45.9312,-59.4712,57.3193,168.743793387,172.819352607
52,58.5481548246,1.26759122825,7.38486,184.217277258,58.5318245787,1.53755004998,167.76008795,111.589244185,52,35.9987,0.891833,132.172392411,58.5789,38.4437730422,52.6399265425,46.453,-60.6718,58.527,171.939707131,174.828385712
53,59.7368764283,1.24338379276,6.67073,191.086346568,59.7173727649,1.42772283274,167.435980378,111.017425771,53,36.3837,0.893902,117.176927743,59.7683,7.17618167662,58.6943618762,46.9285,-61.9429,59.7155,171.13497002,174.302741303
54,60.9289235789,1.31561899827,7.73378,185.446194508,60.9054172633,2.65106179133,160.463805127,109.656500265,54,36.7576,0.865044,137.132949976,60.9572,48.2126129838,47.6815746288,47.461,-63.1649,60.8999,167.716328179,171.303450511
