AverageQLoss,AverageEsReturn,MinReturn,PolicyRegParamNorm,AverageQ,AverageY,AverageDiscountedReturn,AverageReturn,AverageAbsY,Epoch,AveragePolicySurr,StdEsReturn,MaxReturn,MaxEsReturn,AverageAbsQYDiff,AverageAbsQ,AverageAction,Iteration,MinEsReturn,QFunRegParamNorm,StdReturn
0.436726,29.7481633513,-23.4986644336,34.4143,7.6861,7.68886298033,43.8222579025,130.336867048,7.70362289866,71,-8.11333,30.1839149032,838.923909151,103.08805695,0.373531445881,7.70259,0.925515,71,-10.4008737258,35.5436,177.344575376
0.470817,84.9675951657,-18.530831147,34.6284,7.80676,7.80881249842,-8.16879040194,-10.0735824841,7.82378025978,72,-8.27092,115.100027797,25.2848809702,385.741772336,0.383137611324,7.82303,0.955961,72,-22.812250171,35.8282,2.9979574858
0.48901,29.3194501221,-30.431734927,34.9201,7.97224,7.97409442841,17.4595779101,63.6417767412,7.98922336028,73,-8.44142,27.9365409444,529.245316421,80.2542357677,0.395374038231,7.99024,0.93473,73,-6.6649979751,36.1579,121.030849729
0.498991,48.2722775519,-51.8870074453,35.1685,8.13555,8.13879405981,30.5517465906,103.468197289,8.15392823556,74,-8.61902,83.8503339025,653.666008264,202.421321827,0.396350814909,8.15268,0.922359,74,-20.9536020032,36.4303,179.525593394
0.531723,111.906738527,-14.5005929128,35.4762,8.3286,8.33121886793,3.12672375545,6.43117874199,8.34604617312,75,-8.81035,133.20826075,417.168280419,319.628224442,0.41130841644,8.34662,0.931047,75,-41.299285182,36.7,46.8126201908
0.482755,24.5600746208,-98.4388000248,35.7382,8.41427,8.4173945159,-5.14081165308,-8.22040472046,8.43383501335,76,-8.91495,63.7597087526,17.3530979749,188.114373696,0.407255327155,8.43304,0.933364,76,-25.3078972168,36.935,10.2386056492
0.532236,60.7636553411,-31.0971258889,35.8701,8.64658,8.64931000977,53.9115142136,127.979419115,8.66317461655,77,-9.15877,117.050142299,708.245375455,371.532541896,0.419127178599,8.66273,0.941078,77,-40.4150813644,37.231,120.417230278
0.572902,15.7026466407,-109.899828764,36.0471,8.86269,8.86538290108,36.994252941,303.877809471,8.87840051974,78,-9.38634,39.4362631333,881.953269556,121.420982303,0.438248900702,8.87785,0.908725,78,-41.106705694,37.5229,366.247857601
0.582718,106.64464939,55.7467620742,36.2283,9.05586,9.05849441844,54.8934821632,96.0883882109,9.07218200643,79,-9.59037,92.6339522918,159.888540016,225.320354412,0.435676224643,9.07235,0.953312,79,-9.16318008832,37.7938,10.8373450283
0.580659,145.41762266,-78.3525077697,36.3581,9.29014,9.29266119817,56.3332227968,85.0283234767,9.30512913782,80,-9.82422,151.903815553,222.638716623,357.073573268,0.446677698066,9.30513,0.956174,80,7.75456138945,38.0763,70.0410786753
