Iteration,AverageAbsY,AverageQLoss,MinEsReturn,AverageAbsQYDiff,MaxReturn,StdEsReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageY,AverageDiscountedReturn,AverageAbsQ,AveragePolicySurr,AverageAction,AverageReturn,StdReturn,MinReturn,Epoch,AverageEsReturn,AverageQ,MaxEsReturn
106,4.33594248627,0.0338684,957.336676735,0.102853029558,1676.03642296,0.0,39.7885,37.6064,4.33443977289,142.650120938,4.33528,-4.42723,0.88152,1441.92175258,224.699219146,994.874574959,106,957.336676735,4.33363,957.336676735
107,4.41152940132,0.036512,860.67883949,0.105504064623,1857.06155985,0.0,39.9627,37.7725,4.40943387586,164.165334821,4.41102,-4.501,0.902573,1766.11414235,71.6351247289,1587.62630191,107,860.67883949,4.40888,860.67883949
108,4.51558218729,0.0387338,1011.92389009,0.106938883274,1660.37434412,0.0,40.1207,37.9819,4.5137024162,142.660248559,4.51544,-4.61162,0.888,1533.19654496,237.157693625,826.71968093,108,1011.92389009,4.51334,1011.92389009
109,4.55372681665,0.0322073,729.526694871,0.104571062957,1677.4466615,0.0,40.2708,38.2003,4.55144688819,121.662302898,4.55306,-4.64937,0.883394,1028.80256491,357.594104569,578.500467529,109,729.526694871,4.55048,729.526694871
110,4.66598666739,0.041763,630.573557009,0.109050638705,1891.28954296,0.0,40.4149,38.4193,4.66313516545,151.038268639,4.6658,-4.75989,0.873447,1279.59541281,372.658293151,741.433276345,110,630.573557009,4.6625,630.573557009
111,4.72430542678,0.0369469,1142.01205968,0.108930988512,1593.17972708,0.0,40.6019,38.6074,4.72060817446,142.223348648,4.72376,-4.81751,0.882943,939.680170253,261.739811783,729.03215246,111,1142.01205968,4.71989,1142.01205968
112,4.80284941314,0.0397207,601.880952609,0.109475335622,1012.39209312,0.0,40.7216,38.8053,4.7989004295,112.19145255,4.80239,-4.8951,0.849615,734.546332161,108.510885423,585.238640189,112,601.880952609,4.79827,601.880952609
113,4.85697068957,0.038404,554.403920997,0.11015349833,1812.78165579,0.0,40.9216,39.0257,4.85279228764,148.387629593,4.8563,-4.94581,0.863769,1076.19090671,329.325485044,770.776770928,113,554.403920997,4.85192,554.403920997
114,4.91257760546,0.0461394,621.341979354,0.11280453873,532.069799951,0.0,41.0413,39.2138,4.9074454252,59.1441957875,4.91232,-4.99878,0.87126,463.900922041,55.0985869894,334.591074341,114,621.341979354,4.90703,621.341979354
115,4.97310859868,0.0579193,525.822637884,0.116917318892,1487.76524891,0.0,41.2401,39.4747,4.96879375624,113.756233698,4.97274,-5.0682,0.879735,1011.12215791,306.439529937,558.412055462,115,525.822637884,4.96821,525.822637884
116,5.04322414736,0.0453812,484.872073783,0.11309899836,2089.72287521,0.0,41.4199,39.6934,5.03954518366,164.931414346,5.04258,-5.13856,0.881161,1776.36859938,484.86280475,753.296115055,116,484.872073783,5.0387,484.872073783
117,5.10201424972,0.0450323,527.169518776,0.110627164012,1376.87266531,0.0,41.5855,39.8936,5.09933591064,137.531160725,5.10168,-5.19687,0.880581,775.133795293,236.39973494,537.374647572,117,527.169518776,5.09881,527.169518776
118,5.1894729453,0.0401932,1048.05421563,0.109540780633,1864.78117321,0.0,41.7234,40.0475,5.18652901233,151.236719618,5.18864,-5.28631,0.883568,1505.61021246,312.321943569,947.158159037,118,1048.05421563,5.18562,1048.05421563
119,5.25401137392,0.0515873,669.215316174,0.116384554073,1595.37061329,0.0,41.8417,40.2525,5.25160477001,144.136905985,5.25338,-5.35029,0.888474,1135.76723535,281.193358279,665.080133898,119,669.215316174,5.25087,669.215316174
