AverageAction,AverageAbsQ,MaxEsReturn,Epoch,StdEsReturn,AverageQLoss,MinEsReturn,AverageDiscountedReturn,StdReturn,AveragePolicySurr,AverageReturn,AverageY,PolicyRegParamNorm,Iteration,AverageEsReturn,MaxReturn,QFunRegParamNorm,AverageQ,AverageAbsQYDiff,AverageAbsY,MinReturn
0.999866,18.4265,849.949140153,1737,241.724726535,0.98309,49.5399509286,183.07395685,379.082796226,-18.4982,621.729696145,18.4155491638,105.439,1737,339.82276315,1472.70330299,160.364,18.4162,0.419394029823,18.4189874855,49.3950677253
0.999935,18.3305,602.176787644,1738,209.379966389,1.04172,43.5669161339,192.796230148,328.47736577,-18.4048,641.756484318,18.3214911832,105.454,1738,234.029847973,1027.53792155,160.395,18.3212,0.421239983574,18.3245170165,69.3549437906
0.999904,18.2825,700.537366894,1739,215.970368417,0.864015,76.0327370457,96.3586109978,202.73241894,-18.3487,190.99123525,18.273916393,105.414,1739,462.252626271,677.95452501,160.454,18.2733,0.402656730089,18.2776786063,47.2799242347
0.999925,18.3072,513.472064752,1740,115.537271785,0.956734,91.7549660708,204.30184822,114.926015523,-18.3866,527.190442762,18.2951872829,105.426,1740,286.386535701,663.567184907,160.546,18.2952,0.411446131757,18.2992406069,52.780354811
0.999864,18.283,498.67304799,1741,123.337770312,0.929259,68.8329064163,184.263392401,124.755645653,-18.3747,430.239594562,18.2721632625,105.515,1741,281.986394909,673.130074082,160.582,18.2732,0.404683441578,18.2765569841,279.41392512
0.99984,18.2657,357.05892926,1742,109.61658147,0.990149,70.1957068622,198.028419153,83.7041921292,-18.3395,467.522544327,18.2551233305,105.543,1742,254.563268513,576.906931666,160.599,18.2544,0.415375048207,18.2589633775,281.148537544
0.999979,18.3158,376.033677456,1743,114.818132364,1.06165,39.8539828591,204.012501139,27.3121440505,-18.4152,476.619729549,18.3052659369,105.618,1743,193.889640287,557.999136923,160.663,18.3061,0.409234608619,18.3084259956,373.951698438
0.999881,18.3525,412.556819805,1744,118.001896649,0.913053,20.3574143219,198.22175248,54.655395138,-18.45,456.998868038,18.3457746684,105.604,1744,280.710025456,490.114311187,160.665,18.3449,0.397239681346,18.3487176748,62.7187651705
0.999915,18.3337,376.752342503,1745,125.456505142,1.00824,11.3042124802,158.216047077,58.9666965096,-18.439,305.029789191,18.3248833534,105.722,1745,250.831950061,506.686972197,160.743,18.3249,0.40350618088,18.3267754318,275.495946893
0.999898,18.3809,433.049096262,1746,142.401093755,0.925378,38.5769443748,217.309237441,87.5650246951,-18.5042,614.991496759,18.3728416365,105.768,1746,248.507127066,689.286593932,160.783,18.3716,0.405540247662,18.3751949389,300.678413689
0.999939,18.3916,361.082253076,1747,62.2564844188,0.867413,152.122947271,149.018913115,17.3168922365,-18.5219,271.463398499,18.3829521122,105.708,1747,267.521122852,291.324364816,160.81,18.3829,0.399455828125,18.3856067864,113.764116772
0.999915,18.4304,333.26022222,1748,70.0117635926,0.912461,96.5212093443,114.279254062,80.4002803547,-18.5517,189.229676322,18.4245169244,105.775,1748,231.342073863,279.498963526,160.85,18.4237,0.403863520391,18.426880218,96.4810475101
0.999955,18.4901,365.758647149,1749,106.856598006,0.876924,79.3573379526,106.991281445,78.6868129603,-18.5982,171.9542201,18.4825277223,105.764,1749,229.743938414,283.051880151,160.879,18.4814,0.397112450675,18.4846552137,97.5561457411
