AveragePolicySurr,AverageReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageY,AverageQLoss,AverageAbsQ,StdEsReturn,AverageAbsY,MinReturn,MinEsReturn,AverageQ,Iteration,StdReturn,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm
-91.676,368.817612395,56,31.2398,0.555557,88.6406678766,32.1041,88.6909,104.087934988,88.6668104676,351.521202957,20.7032775519,88.6201,56,5.54240167269,356.82731628,2.45351173628,378.688637815,209.152271125,177.670308089,54.4373
-93.4845,363.4445246,57,31.4808,0.584284,90.3897112439,30.9119,90.4501,117.8816574,90.4202411726,356.424853785,53.361178112,90.3729,57,2.76118193032,332.374178738,2.47164603117,369.688564899,185.006313253,175.660636473,55.2231
-95.6762,374.894023176,58,31.6701,0.634576,92.6455279044,33.1747,92.6989,106.168972807,92.6681080814,366.313753394,46.1641988456,92.6309,58,4.04517586357,368.758535786,2.52241241753,383.149121638,209.573243054,180.632772466,55.9625
-97.4007,322.470991892,59,31.8615,0.611809,94.2698861678,34.8123,94.3183,93.7914547341,94.2921550739,159.941194948,99.4045649301,94.2501,59,27.1105698024,382.254462351,2.55849648866,350.727891346,289.090138657,163.54366573,56.6485
-99.7254,325.725422853,60,32.0481,0.560363,96.5302171275,34.8478,96.5765,120.045752831,96.5469077754,274.815496223,12.1729418318,96.5169,60,24.1321179111,384.46750711,2.58741742074,361.161565466,165.86872261,165.187554345,57.3328
-101.845,357.293270726,61,32.2745,0.590156,98.6459057088,36.376,98.6874,105.539698682,98.6602099477,322.568266202,21.462288735,98.6319,61,14.4742563348,346.565252754,2.60925967528,376.707661701,175.800654919,173.430489126,58.0419
-103.816,348.136894179,62,32.5318,0.68162,100.593963848,39.2096,100.646,108.342505708,100.615834376,154.088023552,17.7008288944,100.572,62,32.3495266562,339.829534829,2.77152274604,377.564441009,215.615363116,172.743545966,58.6196
-105.466,368.013038589,63,32.7802,0.718934,102.158435849,39.6353,102.212,112.531571487,102.175772819,348.80189402,7.81926496665,102.139,63,8.91700221637,356.448728386,2.74058215779,386.782631097,211.682352511,181.207624725,59.2104
-107.744,345.528557412,64,32.9662,0.632737,104.47011915,43.372,104.517,109.54431226,104.485668329,313.124103311,10.3534757258,104.448,64,26.5966450924,377.212984692,2.87007959506,397.45233009,224.734305027,170.069285834,59.9214
-109.524,357.059987332,65,33.235,0.721241,106.274818602,43.6306,106.319,115.944861901,106.2922435,339.990779265,13.8318935547,106.257,65,11.5209723989,382.577477996,2.89239504077,390.150606865,205.136754735,177.988334566,60.4715
