AverageAbsQ,AverageAction,AverageQLoss,Epoch,QFunRegParamNorm,MaxEsReturn,MinEsReturn,MaxReturn,AverageReturn,AverageQ,AverageEsReturn,AverageAbsY,AverageDiscountedReturn,Iteration,AveragePolicySurr,AverageY,MinReturn,StdEsReturn,AverageAbsQYDiff,StdReturn,PolicyRegParamNorm
117.555,0.871572,53.8526,110,58.6173,220.670558093,12.686763058,345.765993545,126.946950555,117.436,92.4494852876,117.533710671,71.9688595347,110,-120.918,117.45425957,63.5220761007,68.2154123418,4.22941161841,64.4561528611,44.3905
118.377,0.871778,58.5437,111,58.8933,504.786527706,0.360226210669,505.721926244,144.871577973,118.234,234.286679467,118.351605172,77.3573472468,111,-121.776,118.253049307,67.8852030209,183.553007966,4.338710723,85.2694625564,44.5233
119.607,0.845883,55.412,112,59.1461,360.225686317,-1.56687270996,387.847972067,176.298597682,119.486,114.463708506,119.59246829,68.4882289591,112,-123.052,119.509011512,59.5156112209,106.328683955,4.33201801374,88.4615703149,44.6453
120.556,0.80437,62.6345,113,59.4348,229.354021745,-0.2067937123,312.313714082,137.980852559,120.418,86.066233165,120.53212594,73.9603587178,113,-123.996,120.438548709,72.8374896849,82.3455743291,4.41964006176,49.9064331456,44.755
121.344,0.829119,61.7329,114,59.735,352.732127799,-13.0521312818,472.387719024,168.066957952,121.207,173.69338214,121.316357428,66.7054965872,114,-124.777,121.225776684,-139.018830169,116.423320576,4.42533240563,101.933086588,44.8941
122.414,0.842393,59.7122,115,59.9567,202.601386616,-71.1497073894,452.117011401,165.96792068,122.291,101.865003977,122.400077213,75.7016445332,115,-125.881,122.308685638,65.4727812421,88.5404174351,4.42856447287,92.464213099,45.0858
123.335,0.814428,59.9536,116,60.2594,286.140192967,-48.9419143306,483.746618016,216.710424819,123.19,107.151933649,123.309826747,65.5275381917,116,-126.789,123.211954614,-76.5609735036,105.89039067,4.46837777348,141.755709057,45.2522
124.04,0.807038,61.4896,117,60.5599,308.03267916,-121.430846187,374.166267694,126.324132492,123.904,64.1627509223,124.022087186,57.978038854,117,-127.484,123.925778315,-87.5540677055,119.734026731,4.48063600675,87.9297526922,45.3802
124.84,0.810956,66.6536,118,60.8182,362.003980032,-2.64011705171,964.662776931,147.104817935,124.689,145.929238721,124.80676034,64.4710321691,118,-128.247,124.700792098,-134.273168185,135.36743276,4.58731233952,132.730699658,45.5347
126.078,0.836631,65.8254,119,61.0874,287.506476213,-1.29830227292,380.200817119,147.547581077,125.933,131.55494386,126.056097608,70.7765360816,119,-129.526,125.955758132,71.2605833072,106.878767239,4.59692493007,73.8828621251,45.6849
126.816,0.873828,62.9902,120,61.3351,461.797304462,3.04721716452,345.158663918,161.422432091,126.659,156.348019575,126.788999432,95.8790007091,120,-130.354,126.677229032,88.7505736294,158.238337124,4.59146685441,77.2338568652,45.8524
