AverageY,AverageAction,PolicyRegParamNorm,AverageQ,AverageReturn,AveragePolicySurr,MaxReturn,QFunRegParamNorm,AverageEsReturn,AverageQLoss,MinEsReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageAbsQYDiff,MaxEsReturn,StdReturn,Epoch,AverageAbsY,MinReturn,StdEsReturn
128.831499218,0.698605,41.965,128.812,278.87234458,-132.488,303.518280349,73.3779,197.721316289,48.5481,12.4118136644,128.935,151.245494078,78,3.21940062973,296.803649637,9.43948964816,78,128.854785187,237.999756963,97.1134352831
130.722470553,0.698569,42.215,130.713,247.349631854,-134.381,273.072323419,73.9278,159.393275803,46.7374,15.7378590282,130.827,139.841587683,79,3.20109162614,336.290247985,15.0538955806,79,130.746380132,215.724817097,113.284413591
132.182370944,0.670616,42.3829,132.172,250.378165097,-135.883,349.914073793,74.5059,175.115016757,49.115,20.3451865599,132.293,140.185214085,80,3.17012948297,326.054493384,19.8681405567,80,132.209778673,228.152867111,98.4335378359
134.037929768,0.694704,42.5921,134.031,349.936370439,-137.743,368.792555917,75.0791,167.400298066,53.3143,21.2674138366,134.15,173.533636125,81,3.26993370919,301.689547858,13.5893504415,81,134.063621713,322.064082201,107.698344521
135.889846131,0.648925,42.8179,135.872,314.170777333,-139.598,337.20356999,75.6747,232.460189584,55.4396,32.6903535369,135.984,163.44123173,82,3.33049543829,318.823998046,11.8819641619,82,135.914431216,284.774573672,93.0890096381
137.269488528,0.63004,43.0411,137.258,294.659663694,-140.932,321.618646411,76.2335,210.116515528,50.227,59.2431596536,137.379,156.691859479,83,3.22885476089,319.344402443,10.2080086196,83,137.294583709,278.731102783,96.984460799
139.076346126,0.633705,43.234,139.065,329.300882499,-142.618,477.596951773,76.8158,188.356772145,56.2481,18.9487899623,139.199,164.283628655,84,3.38382944051,295.264845386,26.5970732619,84,139.104227893,277.212277877,108.651025495
140.392174316,0.700579,43.4018,140.383,360.267563528,-143.923,441.503909143,77.3979,169.97282402,53.1702,8.83485546001,140.53,176.883290719,85,3.30563429036,381.975458798,17.7522048824,85,140.416592685,330.452748914,119.331036326
141.660998424,0.67814,43.6055,141.648,311.698309725,-145.28,349.35362504,77.9717,214.929102462,56.7138,9.15424697258,141.789,161.59537163,86,3.34884951731,422.342582011,39.3475303341,86,141.695183531,196.481162872,133.937204264
143.56258373,0.721509,43.7921,143.56,141.195859491,-147.141,249.568627986,78.5414,210.981043125,55.1873,70.9024740672,143.696,97.1793984485,87,3.29991464293,376.717141423,18.0643994443,87,143.592177623,123.825063143,94.4946424112
145.083869253,0.708731,43.9667,145.069,322.558573731,-148.746,495.141450143,79.0956,181.274550248,61.656,9.25344909378,145.22,163.39477291,88,3.46946668944,425.981145303,72.417360351,88,145.114860462,63.5632194336,128.897509133
146.426104167,0.727227,44.1944,146.419,339.609889685,-150.106,524.756329782,79.6187,229.021414168,53.3213,44.5079469745,146.561,165.266546482,89,3.37981522723,428.909795201,134.501297306,89,146.459651212,148.401435079,109.162286791
147.867069608,0.741397,44.3439,147.852,443.359463081,-151.426,474.283778096,80.1806,232.653157565,57.2749,29.1868593201,147.996,196.330686943,90,3.43053686781,415.747862251,12.2320014931,90,147.896515965,408.128285857,127.462032666
149.75663365,0.711102,44.5617,149.748,309.628321772,-153.35,458.469689301,80.7313,180.32411733,58.6486,19.0260191743,149.895,157.964964885,91,3.48654947215,340.992172075,91.7471865951,91,149.787234757,85.4558360966,92.3737819973
151.255704035,0.728485,44.7058,151.241,403.669488847,-154.85,467.168016722,81.3334,166.169662946,68.9966,10.6945974492,151.384,183.221708942,92,3.68130325423,314.344403256,100.585830856,92,151.283369596,111.162268194,105.302089207
152.738194507,0.676418,44.8788,152.733,225.748731367,-156.442,641.532850599,81.9148,242.883510934,60.2692,42.9350890268,152.886,131.431336175,93,3.47758200341,411.263360489,69.2927372993,93,152.778267775,126.517199469,134.422511887
153.924993057,0.749496,45.0768,153.906,567.416217781,-157.634,619.820078681,82.4739,207.042544988,58.4066,3.61583576042,154.069,218.95188698,94,3.55915547325,433.780860544,46.7046286539,94,153.965981328,270.987461289,166.534520286
155.257498592,0.749461,45.2735,155.251,395.464058684,-158.934,568.155703271,83.0373,212.284261319,66.1065,7.33328929926,155.419,182.676696037,95,3.59832828703,454.892792685,91.7412638891,95,155.291048914,301.507764946,146.345673892
156.845224663,0.660181,45.402,156.837,213.884696461,-160.612,359.083314482,83.6034,193.138941413,66.9318,34.364327495,157.015,126.589343726,96,3.66773622543,471.526576834,69.7037654829,96,156.880841107,126.223591857,147.416162549
158.806915869,0.725044,45.5635,158.794,228.970482155,-162.474,430.179174109,84.081,196.808586803,65.7937,25.4663928179,158.958,134.621937845,97,3.68230897852,519.286494563,52.9285520352,97,158.840990983,155.138599317,155.924514773
159.640327673,0.708264,45.7214,159.629,207.76475759,-163.391,332.037759286,84.7522,157.804576751,70.3298,71.177426913,159.805,126.12442213,98,3.74835899354,393.227325358,41.4087463842,98,159.677681488,159.520084279,96.0332411912
161.590461608,0.66763,45.8434,161.578,261.261087341,-165.318,298.023684195,85.1701,211.615687966,65.9224,6.60970056082,161.746,146.666265275,99,3.64657060663,568.641448244,17.555682189,99,161.624190165,225.670946271,192.825273522
162.346946539,0.662714,45.9998,162.328,246.401603578,-166.2,516.188470902,85.6985,184.793426771,71.8395,13.642812283,162.504,139.081512392,100,3.76604483087,343.803000317,65.2927684893,100,162.382379247,168.051574078,99.4505896066
164.057930995,0.722931,46.2317,164.055,177.006488862,-168.0,235.798993067,86.2548,196.323598945,71.2438,16.8985225061,164.23,114.390326088,101,3.78954994936,337.47328618,9.30761019954,101,164.095864318,159.416063578,90.1490754756
165.163231719,0.747555,46.3913,165.148,183.842224635,-169.083,219.324642829,86.7213,174.697165722,78.4694,6.53726116907,165.303,117.742559057,102,3.81826839766,397.540567765,9.9584437054,102,165.203770273,168.04948381,136.478315846
166.801902123,0.723869,46.5441,166.792,289.070687282,-170.8,481.769000371,87.315,131.557932629,80.3794,7.51804528623,166.966,155.844103435,103,3.98466908382,468.18907603,38.3169146874,103,166.846408314,229.420849004,128.320089754
168.222166687,0.708628,46.7568,168.213,461.536269143,-172.258,642.007399081,87.8654,254.30096842,85.7954,11.1148672089,168.384,197.730826543,104,3.96444689602,591.492296237,83.40408083,104,168.262208281,268.450252526,186.476187264
169.598564081,0.707449,46.923,169.58,442.733194408,-173.594,489.643170612,88.402,173.196085536,79.5764,8.81055696185,169.755,198.001553273,105,3.89739906366,322.630737548,22.8645676668,105,169.637867868,343.241965505,112.525740458
171.117877037,0.689258,47.056,171.114,402.511225027,-175.141,476.845794513,88.8554,145.197247834,84.1741,12.0212417876,171.286,186.619280786,106,3.95334550178,411.867364049,45.9665619036,106,171.161153859,280.08209121,139.338033243
172.190586599,0.684532,47.2133,172.183,351.81941312,-176.292,558.804496666,89.3836,191.423861764,89.2445,14.405783008,172.364,168.830327198,107,4.06571102914,440.331769676,103.223721655,107,172.234156022,254.692394357,126.312401266
173.519769452,0.707812,47.3675,173.501,404.007593975,-177.666,577.508715322,89.8543,206.214880484,86.8559,22.4862977845,173.669,186.741414825,108,4.09133314192,394.452902421,59.1747533329,108,173.550879993,266.996511719,111.364059476
174.978027758,0.638574,47.4923,174.967,338.612871384,-179.32,521.161774892,90.3375,158.841712348,81.0929,5.58312756934,175.132,167.337186649,109,4.01515278939,340.362672426,45.4775614567,109,175.014451558,282.129853641,129.045719257
176.547536193,0.638001,47.6245,176.529,312.08843929,-180.809,683.813573285,90.9252,153.790150721,99.0301,7.80971510707,176.7,157.023274522,110,4.2401665173,585.300734339,78.8247497865,110,176.580963327,258.949123991,171.478914904
178.462387499,0.70777,47.7518,178.454,357.536131459,-182.792,383.18494327,91.4059,155.655024749,94.4529,10.1217234268,178.623,174.501064836,111,4.20132867554,592.531198525,12.7356622896,111,178.499937442,317.494359592,170.700075737
179.072445311,0.687978,47.8988,179.049,365.896082517,-183.419,480.976784083,91.9465,263.857729307,91.1726,2.6798977631,179.242,176.395437719,112,4.13151750515,482.250282445,36.4879409388,112,179.109778592,320.074458673,129.719855284
180.755036723,0.663496,48.0845,180.746,329.850987383,-185.099,348.655107065,92.5231,200.399398828,89.9046,12.5308006651,180.914,166.86919562,113,4.16742278632,596.47921845,10.470238608,113,180.792476759,306.526898417,164.85132131
182.17380903,0.671959,48.1995,182.164,317.813167106,-186.498,425.58233653,92.9491,181.918430496,82.115,9.85129312194,182.334,163.255331914,114,4.12670138931,495.137444894,16.8773901629,114,182.207014212,297.294457175,141.363785984
183.47133525,0.698681,48.3517,183.46,314.194674528,-187.958,471.470909043,93.4815,218.896084245,99.9381,25.7933623894,183.642,162.346123338,115,4.32328772425,461.902912822,45.7195801532,115,183.502762564,266.206391832,136.823226005
185.480294321,0.653382,48.5299,185.463,370.10883058,-189.927,387.659012136,93.9955,193.021474802,98.3907,12.3281633527,185.63,178.049553024,116,4.28930246486,449.332656297,9.19099167361,116,185.508076902,348.430770028,148.894085554
186.737663341,0.67663,48.6525,186.731,359.86251574,-191.171,455.313712674,94.4018,170.225317024,97.2335,10.4150842113,186.895,175.550249962,117,4.30333611887,444.830480279,19.8629716619,117,186.766978814,320.221780125,123.342921132
188.166266324,0.645177,48.7873,188.142,367.24442576,-192.721,380.288464861,94.9498,186.996870601,104.148,6.85894753404,188.314,177.581147117,118,4.43447495,397.781454583,5.69375110799,118,188.196151126,346.779227262,137.691908013
189.487959706,0.62754,48.9144,189.485,303.591558672,-194.141,342.249962152,95.4685,140.254300452,101.212,13.7921537396,189.654,157.378882064,119,4.43262888702,472.101978627,11.9575020284,119,189.523347309,274.325612144,126.703703855
190.9053994,0.576503,49.1187,190.883,272.879796579,-195.688,305.383290096,95.9807,196.627975591,107.567,8.75024360952,191.054,149.669367817,120,4.51678103887,598.31499999,15.8199071228,120,190.927701084,239.720385462,197.432169172
192.979338699,0.634951,49.2599,192.959,300.160289614,-197.65,309.83061762,96.4033,142.516883297,105.118,7.27418606848,193.134,156.749975562,121,4.41863129508,427.139190703,4.71490704897,121,193.009968712,290.187553918,122.087840714
