MaxEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsQ,StdReturn,MaxReturn,Iteration,AverageDiscountedReturn,AverageY,AverageAction,MinEsReturn,AverageQLoss,AverageAbsY,Epoch,AverageEsReturn,AveragePolicySurr,AverageQ,AverageReturn,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff
71.0,25.2955,17.2341674857,0.417631,0.0,1000.0,55,99.9956828753,0.416189951003,0.536469,3.0,0.00130291,0.416916890437,55,22.2727272727,-0.472327,0.41617,1000.0,28.2384,1000.0,0.0156673740984
72.0,25.4965,16.4418015894,0.427145,0.0,1000.0,56,99.9956828753,0.425656680338,0.507854,3.0,0.00133014,0.426328931118,56,22.4222222222,-0.481465,0.425607,1000.0,28.3609,1000.0,0.0158318148586
52.0,25.678,9.97496043273,0.436317,0.0,1000.0,57,99.9956828753,0.434757671275,0.515985,3.0,0.00115354,0.435458246103,57,13.0128205128,-0.491215,0.434707,1000.0,28.4694,1000.0,0.0146892933602
53.0,25.8558,12.8902723821,0.443855,0.0,1000.0,58,99.9956828753,0.442100050114,0.513947,4.0,0.00128843,0.442808108822,58,18.3703703704,-0.49872,0.442043,1000.0,28.7052,1000.0,0.015692793453
89.0,26.0621,18.0457149417,0.454755,0.0,1000.0,59,99.9956828753,0.45295519742,0.569567,3.0,0.00131586,0.453653204141,59,19.8039215686,-0.509619,0.45291,1000.0,28.8892,1000.0,0.0155762795801
80.0,26.2637,16.3567577329,0.463547,0.0,1000.0,60,99.9956828753,0.461740574665,0.575575,2.0,0.00145469,0.462402188526,60,20.387755102,-0.519624,0.461747,1000.0,29.0192,1000.0,0.0166468925676
77.0,26.4633,12.038656695,0.473129,0.0,1000.0,61,99.9956828753,0.471187145352,0.608903,3.0,0.00136731,0.471993117603,61,13.5753424658,-0.528531,0.471168,1000.0,29.2591,1000.0,0.0160814703855
64.0,26.6071,15.3108928693,0.482193,0.0,1000.0,62,99.9956828753,0.479968877917,0.59477,4.0,0.00171683,0.480765050917,62,21.5217391304,-0.536935,0.479946,1000.0,29.404,1000.0,0.0179558964893
45.0,26.7759,10.606215703,0.488704,0.0,1000.0,63,99.9956828753,0.486885907184,0.571933,3.0,0.00152711,0.487551605774,63,15.873015873,-0.545802,0.486894,1000.0,29.5703,1000.0,0.0167566301933
72.0,26.9827,13.3878060442,0.497748,0.0,1000.0,64,99.9956828753,0.495679626295,0.563887,3.0,0.00157585,0.496506650351,64,16.3709677419,-0.556249,0.495635,1000.0,29.8082,1000.0,0.0172885466335
96.0,27.199,12.8870208397,0.507756,0.0,1000.0,65,99.9956828753,0.505754566552,0.547486,3.0,0.00160136,0.506765633884,65,14.1571428571,-0.56646,0.505706,1000.0,29.9217,1000.0,0.0173949886534
91.0,27.4167,16.3247619045,0.514422,0.0,1000.0,66,99.9956828753,0.511906084879,0.600182,3.0,0.00194124,0.513428598005,66,18.2181818182,-0.575154,0.511867,1000.0,30.1418,1000.0,0.0191986796772
46.0,27.63,9.8602663286,0.525118,0.0,1000.0,67,99.9956828753,0.522251609838,0.522998,3.0,0.00188018,0.523713984085,67,12.9230769231,-0.58564,0.522217,1000.0,30.268,1000.0,0.0188909910133
49.0,27.7576,10.9764590402,0.535763,0.0,1000.0,68,99.9956828753,0.533170656482,0.455882,3.0,0.00190868,0.534469134538,68,14.2142857143,-0.597333,0.533143,1000.0,30.4531,1000.0,0.0188726950952
76.0,27.9388,17.4057461776,0.547901,0.0,1000.0,69,99.9956828753,0.545655429328,0.560269,3.0,0.00206312,0.546645154615,69,18.2,-0.608359,0.545625,1000.0,30.5723,1000.0,0.0195162434699
113.0,28.0397,19.1078518824,0.555405,0.0,1000.0,70,99.9956828753,0.553079254284,0.509237,3.0,0.00197889,0.553945001283,70,18.9433962264,-0.62012,0.553035,1000.0,30.7289,1000.0,0.0190057142011
106.0,28.1869,16.8155324084,0.566962,0.0,1000.0,71,99.9956828753,0.564697327165,0.491234,3.0,0.00206301,0.565422068111,71,15.2307692308,-0.633226,0.564644,1000.0,30.8608,1000.0,0.0200126148873
68.0,28.3332,14.5603184284,0.581491,0.0,1000.0,72,99.9956828753,0.579239472532,0.452545,3.0,0.00239509,0.579881430031,72,16.8813559322,-0.648421,0.579226,1000.0,30.9559,1000.0,0.0212794604428
99.0,28.4999,17.9237892819,0.593586,0.0,1000.0,73,99.9956828753,0.591359080808,0.440875,3.0,0.00248107,0.592052506898,73,16.7333333333,-0.662032,0.591332,1000.0,31.1711,1000.0,0.0212206081227
68.0,28.6389,14.0620779435,0.609325,0.0,1000.0,74,99.9956828753,0.607075405899,0.337692,3.0,0.00239248,0.607662685479,74,14.5223880597,-0.682565,0.60694,1000.0,31.3028,1000.0,0.0208944322382
108.0,28.7534,21.9555523687,0.627733,0.0,1000.0,75,99.9956828753,0.625872471266,0.417018,3.0,0.00243894,0.626307135684,75,19.3773584906,-0.703648,0.625849,1000.0,31.3537,1000.0,0.0212111179099
63.0,28.9882,15.5988409082,0.645818,0.0,1000.0,76,99.9956828753,0.643648549714,0.45158,3.0,0.00270508,0.644342608504,76,16.5901639344,-0.724546,0.643633,1000.0,31.4155,1000.0,0.0235123018481
70.0,29.1433,15.8153894422,0.669008,0.0,1000.0,77,99.9956828753,0.666824540849,0.40641,3.0,0.00320976,0.667461148234,77,18.2777777778,-0.752451,0.666701,1000.0,31.544,1000.0,0.0241365611935
