MinEsReturn,MaxEsReturn,AverageDiscountedReturn,AverageY,AverageAbsQ,Epoch,AverageReturn,Iteration,QFunRegParamNorm,MaxReturn,AverageAbsY,StdEsReturn,AverageQ,AverageEsReturn,AveragePolicySurr,AverageAction,AverageQLoss,PolicyRegParamNorm,StdReturn,MinReturn,AverageAbsQYDiff
-465.150544878,-465.150544878,-51.3115624515,1.24785195784,1.24777,57,-572.340046137,57,22.5623,-564.468776191,1.24786145736,0.0,1.24776,-465.150544878,-1.25023,0.999365,0.00116086,27.0726,5.04541270502,-581.807861802,0.0107788377968
-392.315734402,-392.315734402,-12.4718518988,1.23190550232,1.23188,58,-51.1985110862,58,22.7599,-19.5191346506,1.2319182929,0.0,1.23185,-392.315734402,-1.23546,0.999251,0.00174179,27.1474,25.8741218544,-90.3450338226,0.0116912603101
-435.953832222,-435.953832222,-57.3116997749,1.21468884093,1.21458,59,-650.460885445,59,22.9184,-616.820036046,1.21470100968,0.0,1.21456,-435.953832222,-1.21682,0.99519,0.00154964,27.2868,17.5928086,-674.322311296,0.0110517743551
-445.11943034,-445.11943034,-73.3625733078,1.19855380366,1.19856,60,-793.114694412,60,23.1843,-704.543570333,1.19856444163,0.0,1.19853,-445.11943034,-1.20158,0.995955,0.00142835,27.3819,50.0988544075,-875.248354801,0.0105938591024
-436.059412082,-436.059412082,-86.7883644853,1.18101175305,1.18094,61,-966.738144988,61,23.3788,-952.779685627,1.18102455363,0.0,1.18094,-436.059412082,-1.18398,0.996843,0.00151815,27.5101,10.8178581615,-990.21202664,0.0109216669662
-545.389986351,-545.389986351,-52.504604814,1.16578127806,1.16578,62,-583.125606835,62,23.5043,-569.58915136,1.16579213048,0.0,1.16576,-545.389986351,-1.16833,0.995891,0.00124206,27.5749,8.53817112387,-601.449593864,0.01009348821
-437.402246879,-437.402246879,51.1095164195,1.15099909425,1.15105,63,475.63651795,63,23.6476,890.944643566,1.15101122104,0.0,1.15099,-437.402246879,-1.153,0.997481,0.00118644,27.72,356.329235032,-209.229614092,0.0102497193824
-389.79644971,-389.79644971,-61.5063993645,1.13560090078,1.13564,64,-601.564399962,64,23.7786,-599.791318383,1.13561487928,0.0,1.13559,-389.79644971,-1.13893,0.99993,0.00131934,27.78,1.33275997982,-603.989703513,0.0101791893996
-368.477856999,-368.477856999,-2.01198204904,1.12096563333,1.12101,65,99.9204817624,65,23.9204,160.813003373,1.12097654815,0.0,1.12097,-368.477856999,-1.1242,0.994491,0.00133173,27.9142,40.6243989484,28.2673590759,0.0103435438001
-264.036162775,-264.036162775,12.5832145465,1.10694310761,1.10697,66,32.5793344356,66,24.0526,118.999590195,1.10699483358,0.0,1.10693,-264.036162775,-1.10975,0.99899,0.00124648,28.083,140.456774749,-381.663689817,0.0103143584299
-408.696296859,-408.696296859,-7.64842832019,1.09103364867,1.09111,67,-416.806877347,67,24.2126,-22.250211937,1.0910510654,0.0,1.09109,-408.696296859,-1.09315,0.996163,0.00144786,28.271,139.113520145,-524.578134706,0.0104524988077
-182.0776915,-182.0776915,-0.51917591981,1.07701550685,1.07702,68,-56.2280698165,68,24.4133,26.5511975483,1.07702561981,0.0,1.07701,-182.0776915,-1.07987,0.997287,0.00114977,28.3665,55.8398667814,-189.632699581,0.00965011748686
-232.738016408,-232.738016408,-41.6626287647,1.06173303581,1.06181,69,-389.772225388,69,24.5734,-373.250635446,1.0617597108,0.0,1.06177,-232.738016408,-1.06481,0.993042,0.001726,28.5191,11.6866141045,-409.543974728,0.0108210906722
-273.616191749,-273.616191749,-53.959075154,1.049501112,1.04956,70,-529.493948214,70,24.6514,-517.731189415,1.04951171629,0.0,1.04956,-273.616191749,-1.05281,0.997913,0.00113644,28.6152,8.46951056327,-541.881917251,0.0095610412789
-362.648863489,-362.648863489,-58.0092172485,1.0357173282,1.03584,71,-597.740028393,71,24.7866,-591.102773569,1.03572326303,0.0,1.03584,-362.648863489,-1.0387,1.0,0.00114344,28.7266,4.19507640123,-603.092360159,0.00940099890944
-388.040072609,-388.040072609,-58.1159878699,1.02262408066,1.02268,72,-597.928158498,72,24.9573,-591.722052013,1.02264158579,0.0,1.02263,-388.040072609,-1.02579,0.999924,0.00109756,28.7951,3.67206007189,-602.838727607,0.0093843965362
-410.334465758,-410.334465758,-58.9464068203,1.01024287634,1.01036,73,-598.842636006,73,25.1264,-591.878249467,1.01025494368,0.0,1.01031,-410.334465758,-1.01309,1.0,0.00117866,28.8979,3.52981052692,-603.011744627,0.00962808318437
-415.06855123,-415.06855123,-31.2460939256,0.996805457461,0.996895,74,-356.935886749,74,25.2698,-349.883059294,0.996815594228,0.0,0.996851,-415.06855123,-0.998493,0.99996,0.000918622,29.0317,3.15736936194,-360.961391457,0.0085829928371
-452.075135463,-452.075135463,-25.4078811449,0.983062184858,0.98316,75,-331.912114519,75,25.3627,-304.193157959,0.98307285365,0.0,0.983101,-452.075135463,-0.985577,0.999784,0.001045,29.2872,73.1695516478,-551.341310647,0.00894785218085
-385.646555925,-385.646555925,-82.81000656,0.970972206144,0.971015,76,-642.256027944,76,25.5209,-572.474122375,0.970980593015,0.0,0.971015,-385.646555925,-0.973558,0.999533,0.000871882,29.5245,61.8281036539,-739.108742102,0.00870683242403
-401.623663751,-401.623663751,-56.0865380015,0.958625549097,0.958757,77,-595.762731615,77,25.6491,-592.968418696,0.958635563753,0.0,0.958698,-401.623663751,-0.960952,0.99998,0.000853354,29.6107,2.2835486618,-599.869021544,0.0084236020345
-505.770207189,-505.770207189,-6.10893396122,0.946409802668,0.946501,78,-10.4539975808,78,25.7455,342.733685665,0.946419158218,0.0,0.946468,-505.770207189,-0.949077,0.998668,0.00084759,29.7441,251.55038823,-578.340142724,0.00832726524119
-356.282913197,-356.282913197,-52.9527076746,0.933613008483,0.933675,79,-591.456288485,79,25.857,-579.022360623,0.933623808238,0.0,0.933667,-356.282913197,-0.934654,0.999874,0.00104255,30.064,7.28840431665,-603.658242935,0.00879367833758
-518.238476535,-518.238476535,-52.4520598881,0.919636598804,0.919713,80,-590.209234424,80,25.931,-579.999417403,0.919647111572,0.0,0.919679,-518.238476535,-0.92145,0.999916,0.00105579,30.2783,7.96917766895,-605.157699766,0.00863420497727
-419.502199332,-419.502199332,-46.4250507786,0.906998649034,0.907097,81,-572.550167232,81,26.0305,-430.37873453,0.90700946204,0.0,0.907097,-419.502199332,-0.908946,0.999785,0.0008979,30.5002,50.2596725967,-630.667183134,0.00834486252539
-423.416564628,-423.416564628,-44.5036489328,0.894653894955,0.894712,82,-572.959765652,82,26.1602,-546.938972372,0.894664663429,0.0,0.894705,-423.416564628,-0.897635,0.999856,0.000784493,30.7334,11.5331041531,-590.852901349,0.00845754187766
-501.865313275,-501.865313275,-46.7111525573,0.8833464509,0.883413,83,-725.43704539,83,26.2674,-585.892114338,0.88335994383,0.0,0.883413,-501.865313275,-0.887074,0.999326,0.000998185,30.8893,48.2640378207,-761.487980128,0.00867816658171
-438.327527248,-438.327527248,-61.9139261082,0.873191137303,0.873295,84,-659.286347804,84,26.3221,-588.895681712,0.873199859748,0.0,0.873231,-438.327527248,-0.87724,0.999935,0.000705356,31.0718,73.4587069433,-767.798525105,0.00823305579402
-488.298976029,-488.298976029,-47.4534140779,0.863401686382,0.86352,85,-603.395656958,85,26.3877,-564.162101687,0.863410118493,0.0,0.86346,-488.298976029,-0.86713,0.998692,0.000668717,31.2156,28.6264249886,-660.808181258,0.00838746806311
-483.662553943,-483.662553943,-39.6237848061,0.851905812365,0.851968,86,-576.001101393,86,26.4491,-567.736987887,0.851916909019,0.0,0.851968,-483.662553943,-0.855992,0.999976,0.000987847,31.439,9.59247103005,-595.726072153,0.00896199948738
-445.83758817,-445.83758817,-46.2726268177,0.842686487526,0.842793,87,-588.441574573,87,26.5017,-569.151363392,0.842694040339,0.0,0.842751,-445.83758817,-0.84666,0.999964,0.000685174,31.7256,28.4846416606,-666.866057676,0.00842963138598
-404.81491598,-404.81491598,-45.442727151,0.833173065921,0.833324,88,-688.060537086,88,26.5676,-551.877138961,0.833181258776,0.0,0.833246,-404.81491598,-0.837065,0.998544,0.000691101,31.9321,90.0652828663,-837.258497762,0.00846138549672
-572.279944485,-572.279944485,-37.8913174857,0.823030495075,0.823092,89,-571.53328762,89,26.656,-548.74231741,0.823040010273,0.0,0.823092,-572.279944485,-0.82678,0.999661,0.000822269,32.0766,11.4464183205,-586.91856065,0.00882356638056
-552.144348387,-552.144348387,-54.6390426867,0.813415839676,0.813466,90,-586.867870372,90,26.7372,-545.12344005,0.813424632523,0.0,0.813466,-552.144348387,-0.817223,0.997173,0.000736374,32.2285,21.6028200122,-624.438583904,0.00863034247076
-422.797502526,-422.797502526,-40.3912310524,0.803543835678,0.803604,91,-575.175845366,91,26.799,-560.444365622,0.803553758646,0.0,0.803604,-422.797502526,-0.807826,0.999864,0.000753406,32.3611,8.54065144247,-593.549205246,0.00858823822184
-453.626899869,-453.626899869,-44.9595228999,0.794333592457,0.794397,92,-582.725065605,92,26.8777,-570.412151558,0.794346882052,0.0,0.794386,-453.626899869,-0.799068,0.999777,0.000767505,32.451,13.3996054039,-619.513457121,0.00856180651998
-431.574726818,-431.574726818,-63.307174954,0.786015208809,0.786126,93,-727.376968196,93,26.9375,-577.174869982,0.786024957617,0.0,0.786122,-431.574726818,-0.790818,0.999242,0.000733473,32.5727,170.736531829,-1099.18288092,0.00846220976951
-421.047588914,-421.047588914,-41.6342493808,0.777667633277,0.777687,94,-580.096977095,94,27.0094,-559.022974072,0.777673417823,0.0,0.777683,-421.047588914,-0.782169,0.999712,0.000499075,32.696,21.9295378503,-635.762811291,0.00793061159694
-457.69804984,-457.69804984,-35.0646242058,0.769579757133,0.76964,95,-570.834895898,95,27.0765,-554.671396758,0.769588380553,0.0,0.76964,-457.69804984,-0.774141,0.999914,0.000630547,32.8926,8.76058525209,-583.371650102,0.008173009805
-420.612724481,-420.612724481,-32.2352558921,0.760978435494,0.761029,96,-566.395906562,96,27.124,-560.908601085,0.760987579289,0.0,0.761029,-420.612724481,-0.764884,0.999917,0.000677053,33.0077,3.44332994751,-571.385920858,0.00820084857715
-417.933395498,-417.933395498,-34.9469724884,0.752140492779,0.752232,97,-570.303916329,97,27.1631,-554.795227224,0.75215315716,0.0,0.752203,-417.933395498,-0.755995,0.999925,0.000491843,33.1876,6.34379312006,-578.512019872,0.0078119609106
-395.355680981,-395.355680981,-36.7220983155,0.743503955651,0.743555,98,-573.393502217,98,27.2039,-566.06585612,0.743513061639,0.0,0.743555,-395.355680981,-0.748043,0.999779,0.00061258,33.3688,3.86480307122,-578.835269611,0.00802508669507
-458.244011612,-458.244011612,-30.8437588383,0.734640368328,0.734705,99,-564.979638584,99,27.3245,-547.632674244,0.734651121898,0.0,0.734699,-458.244011612,-0.738788,0.99988,0.000589922,33.4922,7.56092990471,-578.30226067,0.00810099844704
-417.102197844,-417.102197844,-36.5585645822,0.726020236997,0.726073,100,-572.737810644,100,27.3711,-559.483867863,0.726029852754,0.0,0.726073,-417.102197844,-0.730801,0.999725,0.000669855,33.6184,6.57917110049,-582.520294667,0.00809195390663
-400.640899452,-400.640899452,-41.0133454165,0.718370048503,0.718399,101,-577.967357859,101,27.4532,-566.698622007,0.718378740693,0.0,0.718399,-400.640899452,-0.723293,0.999848,0.000482211,33.7702,8.16091567781,-592.741659901,0.00773409771027
-416.942894258,-416.942894258,-28.9977921662,0.709894878755,0.709937,102,-561.829115617,102,27.5081,-539.366528103,0.70990610277,0.0,0.709937,-416.942894258,-0.713989,0.999898,0.000672999,33.9217,9.50517877431,-572.35257796,0.00786423508974
-416.833960099,-416.833960099,-35.5569160368,0.702295274748,0.702375,103,-570.791794934,103,27.5413,-562.02034393,0.70230217371,0.0,0.702375,-416.833960099,-0.706282,0.99992,0.00042881,34.0614,9.07301143244,-588.251710352,0.00733967529743
-415.137048087,-415.137048087,-21.5888031579,0.693100035678,0.693139,104,-548.188417423,104,27.5818,-514.809179546,0.693113327358,0.0,0.693127,-415.137048087,-0.697084,0.999908,0.000609694,34.1181,17.6701695774,-569.004273855,0.00793282152567
-408.724030799,-408.724030799,-27.8174730309,0.68303156349,0.683094,105,-555.029392487,105,27.6276,-490.292106338,0.683042622515,0.0,0.683094,-408.724030799,-0.68654,0.999807,0.000590926,34.3589,28.4961563902,-580.822803271,0.00770654524377
-402.094897839,-402.094897839,-36.3443090118,0.675298111181,0.675341,106,-571.065375214,106,27.6574,-540.535202507,0.675308270678,0.0,0.675339,-402.094897839,-0.679301,0.999928,0.000449938,34.4285,13.5258430207,-586.010783049,0.00723677609146
-349.138500186,-349.138500186,-19.6701151166,0.66633814267,0.66639,107,-505.266870426,107,27.7124,-391.162677853,0.666345456852,0.0,0.666386,-349.138500186,-0.669759,0.999148,0.000410939,34.5661,54.1647677893,-579.226496278,0.00724751304489
-410.391434915,-410.391434915,19.610168444,0.657578576691,0.657643,108,79.7675961001,108,27.7815,395.49758391,0.657588903504,0.0,0.657643,-410.391434915,-0.660727,0.996949,0.000555976,34.6802,306.976952095,-432.632108368,0.00759714716165
-386.779808398,-386.779808398,51.7213382814,0.649007776412,0.649048,109,587.262312647,109,27.8365,720.87587588,0.649014999383,0.0,0.649048,-386.779808398,-0.65191,0.996784,0.000367565,34.7933,77.0828008321,476.013603574,0.00703746503956
-388.876816624,-388.876816624,59.9775586228,0.640130411929,0.640159,110,587.167738165,110,27.8744,855.852805105,0.640140769084,0.0,0.640159,-388.876816624,-0.642833,0.997187,0.000514708,34.9916,344.134122589,-262.766118743,0.00741678839396
50.8333437668,50.8333437668,61.4524940935,0.631234252575,0.631312,111,595.903178712,111,27.9296,888.017868417,0.631244072244,0.0,0.631312,50.8333437668,-0.633284,0.996903,0.00049375,35.1241,543.087130501,-1011.44782285,0.0073426862535
-259.894677676,-259.894677676,32.3798602362,0.623649385262,0.623672,112,117.470981606,112,27.9935,730.500661018,0.62365541627,0.0,0.623672,-259.894677676,-0.626664,0.998011,0.000449114,35.2782,475.517621618,-586.957726242,0.00752078247336
-34.0503414246,-34.0503414246,28.8130982251,0.616736412764,0.616774,113,317.754341563,113,28.0405,458.337518124,0.616747237638,0.0,0.616774,-34.0503414246,-0.622117,0.995577,0.000450461,35.3903,64.3750881291,240.169957413,0.00767006667759
-241.460134789,-241.460134789,59.8592512578,0.611085226765,0.61113,114,672.743091373,114,28.0476,738.841319782,0.611093333352,0.0,0.61112,-241.460134789,-0.616112,0.997992,0.000459959,35.4089,30.5520143354,624.16107368,0.00768476446245
101.421226168,101.421226168,72.6213684938,0.605581397162,0.605635,115,865.585592558,115,28.0823,989.87522317,0.605595563858,0.0,0.605635,101.421226168,-0.609558,0.996955,0.000625101,35.501,54.9579929924,813.137606721,0.0080557550086
-298.174593995,-298.174593995,77.1243535223,0.597293054633,0.597301,116,880.271731827,116,28.107,936.17895576,0.597300431327,0.0,0.597301,-298.174593995,-0.601296,0.997732,0.000409179,35.7034,24.7951728856,842.477191133,0.00732440487536
