QFunRegParamNorm,PolicyRegParamNorm,AverageEsReturn,AverageAction,AverageReturn,AverageAbsQYDiff,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,StdEsReturn,AverageQ,StdReturn,Epoch,MaxReturn,AverageAbsY,MinReturn,MaxEsReturn,AveragePolicySurr,Iteration,AverageY
30.4668,39.1408,679.479993509,0.932005,533.754692844,0.0891024410062,0.0244644,77.5038426759,3.23613,679.479993509,0.0,3.23613,81.5715138271,64,745.804139017,3.23719075175,446.153084996,679.479993509,-3.32751,64,3.23711831249
30.7475,39.4341,638.272802195,0.92717,449.285478665,0.0903335078493,0.0259403,69.709002711,3.33077,638.272802195,0.0,3.33077,99.3825104736,65,628.228902468,3.33140105833,208.022799559,638.272802195,-3.42259,65,3.33137757536
31.0505,39.7127,800.694170914,0.943714,779.328166892,0.0916033006518,0.0273816,125.466667801,3.41593,800.694170914,0.0,3.41593,265.203788705,66,1374.34438916,3.41695142744,298.194154041,800.694170914,-3.50802,66,3.41692602742
31.4406,40.0343,818.653146978,0.954128,1033.22575322,0.0927226105743,0.0274252,150.057234697,3.50552,818.653146978,0.0,3.50552,319.4732882,67,1792.50585709,3.50642383142,597.04338421,818.653146978,-3.60108,67,3.50634150266
31.7601,40.3439,880.039174674,0.929191,498.388262417,0.0941354562966,0.0291625,67.6360356774,3.59036,880.039174674,0.0,3.59036,163.04038518,68,737.149394258,3.59135536792,223.723655209,880.039174674,-3.68201,68,3.59130736079
32.0432,40.6115,704.445656096,0.945772,725.885450445,0.0962614441736,0.0320551,99.5798013194,3.67937,704.445656096,0.0,3.67937,228.923944562,69,1005.09487177,3.68037275557,108.229408616,704.445656096,-3.77383,69,3.68028713116
32.3628,40.8469,745.482857063,0.912861,949.840591919,0.0971301999757,0.030538,107.13155511,3.75122,745.482857063,0.0,3.75122,176.567264363,70,1076.52123037,3.75238936184,460.336128156,745.482857063,-3.84749,70,3.75233737721
32.6577,41.12,473.683491917,0.929556,918.416775483,0.0978481171747,0.0340984,122.637358938,3.82389,473.683491917,0.0,3.82389,456.686290641,71,1656.71688815,3.82486130178,-18.8020871125,473.683491917,-3.91589,71,3.82479746885
32.9259,41.3241,680.719084484,0.953144,970.553684412,0.0977903356742,0.0327074,128.940690526,3.91924,680.719084484,0.0,3.91924,388.164431836,72,1725.60709895,3.92037614357,506.382487316,680.719084484,-4.01648,72,3.92030153211
33.2882,41.609,1033.39642709,0.954747,1286.98265448,0.102718367545,0.0369977,132.818586107,4.01745,1033.39642709,0.0,4.01745,323.285996994,73,1758.93033409,4.0186251583,796.931786028,1033.39642709,-4.11342,73,4.01857232918
33.5534,41.9227,883.565896266,0.946267,709.851319904,0.101074460639,0.0346624,88.9877940605,4.10518,883.565896266,0.0,4.10518,194.132269018,74,1083.19084535,4.10661101715,532.702076975,883.565896266,-4.19981,74,4.10653990312
33.8047,42.13,971.682676963,0.923775,856.161042467,0.100991666131,0.0340941,99.9730198629,4.19855,971.682676963,0.0,4.19855,157.808157251,75,1044.4681375,4.1992712525,557.601642719,971.682676963,-4.29244,75,4.19920881824
34.1176,42.3572,658.612136221,0.924833,1118.85905616,0.0994888556708,0.0326996,105.771488182,4.25513,658.612136221,0.0,4.25513,65.8347325951,76,1234.52866247,4.25596429559,1016.38719777,658.612136221,-4.35037,76,4.2559369387
