QFunRegParamNorm,AverageQLoss,StdReturn,AverageAction,AverageQ,AverageY,MaxEsReturn,MinEsReturn,Iteration,AverageAbsY,PolicyRegParamNorm,StdEsReturn,MaxReturn,Epoch,AverageAbsQ,AverageReturn,AverageEsReturn,MinReturn,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr
152.318,1.68954,22.9259196658,0.999721,22.2702,22.2742012448,611.492354246,42.323948653,1937,22.2801670266,119.345,162.583026436,554.720729488,1937,22.2905,382.896916364,276.941608896,354.708092368,169.002108299,0.597043365857,-22.5119
152.355,1.82112,116.417851568,0.999793,22.4331,22.4336909079,395.899521482,95.565871157,1938,22.4395475689,119.317,100.327550015,385.833763847,1938,22.4488,239.469009079,266.93697766,103.72088379,126.237649523,0.59399243288,-22.6665
152.374,1.88235,63.8623683699,0.999874,22.488,22.4921731565,348.356613002,14.1723038873,1939,22.4996504767,119.34,98.9838464665,629.735543872,1939,22.5081,98.1912837516,164.911345535,85.1336204807,71.541342137,0.597247045079,-22.728
152.372,1.84564,42.7081368946,0.999841,22.5487,22.5522322465,596.445246407,78.8004789372,1940,22.5584997183,119.334,166.342027588,598.379928795,1940,22.5682,92.5949559134,229.666900292,85.2923907914,69.5572431608,0.606990839035,-22.7958
152.359,1.68209,50.8699335062,0.999646,22.6771,22.6789805594,629.674783679,54.4089209795,1941,22.6878292142,119.439,181.467862236,718.434237642,1941,22.6985,635.933702719,211.701069413,566.446395784,231.628322405,0.58636855364,-22.9268
152.374,1.72392,120.121907059,0.999823,22.7597,22.7617874321,613.272477089,78.2780722035,1942,22.7702625626,119.447,187.539372199,696.175028959,1942,22.7814,121.776711671,309.190247357,81.0374521469,79.5204009865,0.580790860657,-23.0208
152.376,1.64023,125.69406548,0.99978,22.7852,22.7875023335,689.41056174,62.1291112401,1943,22.7956792736,119.493,235.334940293,715.442564619,1943,22.8035,630.016769289,364.275266141,283.408211915,224.679872051,0.586664922799,-23.0364
152.395,1.97547,153.760929929,0.999693,22.8288,22.8298714643,809.981448121,10.973639167,1944,22.8371190274,119.489,276.896621368,710.254095956,1944,22.8498,588.271314419,363.072756426,286.798686113,217.639616651,0.589114566977,-23.061
152.42,1.81812,193.453699318,0.999788,22.8316,22.8353178517,536.585460979,43.6290467246,1945,22.8459463755,119.532,169.884540697,1236.29112779,1945,22.8534,638.628452782,270.275415785,268.318868962,214.359913809,0.592018522771,-23.0541
152.414,1.98906,571.672805137,0.999777,22.9233,22.9247288903,727.028060142,24.8248266901,1946,22.9354552267,119.558,182.818886775,2898.34135152,1946,22.9457,1036.58319142,310.673244659,688.736200115,237.000582975,0.596275065785,-23.146
152.419,1.63147,390.748072547,0.999742,22.9191,22.9231469794,718.010100704,7.61861690075,1947,22.933515295,119.573,271.418681452,2521.37190857,1947,22.941,1413.70480341,457.906472335,941.49735579,253.252409517,0.587699517685,-23.1515
152.431,1.99039,53.8169377212,0.999736,22.8427,22.8446231344,911.867615968,17.4950957653,1948,22.8579791039,119.562,267.794287921,3140.66161647,1948,22.8709,3020.31436708,496.025262408,2944.54826131,243.348160726,0.610446781432,-23.0545
152.474,2.01624,222.444744952,0.999708,22.864,22.8669069322,902.142117457,12.7807964745,1949,22.8801030662,119.545,288.131718864,1449.66285404,1949,22.8878,974.716743353,232.759293343,651.13412574,245.562900954,0.613837391497,-23.0624
152.51,1.91747,592.109628343,0.999602,22.7919,22.7962961222,1131.00457023,13.7114720393,1950,22.8061691953,119.643,341.105851885,2937.00301624,1950,22.8131,2479.46410648,322.700229644,1337.25770512,236.126593558,0.613552523262,-22.9788
152.53,1.9752,807.742613767,0.999629,22.7914,22.7913911292,2088.63386527,124.970678927,1951,22.8003774168,119.715,826.062324579,2879.71265108,1951,22.8133,2032.53554446,965.882473659,895.944875869,235.345964149,0.606797827305,-23.0026
152.534,1.98567,720.13340197,0.999608,22.7213,22.7214677592,2073.60602729,157.865990078,1952,22.7315600773,119.734,957.870018607,3086.51550019,1952,22.745,1795.75803734,1115.73600869,794.241555087,244.54740693,0.607727777936,-22.9342
152.54,1.8838,707.908830041,0.999607,22.6964,22.6982111147,914.004905504,68.1679940462,1953,22.7099406617,119.801,322.433928714,2618.79919817,1953,22.7227,931.459069581,497.042677138,251.635302436,188.834750076,0.585786610215,-22.9222
152.569,1.60348,490.564935024,0.999618,22.6638,22.664318011,886.756769148,18.7149410024,1954,22.6750465254,119.835,285.872759697,2404.47287586,1954,22.6839,393.073997214,324.66099762,191.268480197,137.026776089,0.548289169596,-22.8964
152.594,1.64001,274.392222431,0.999856,22.7438,22.745988227,1089.1563116,299.316564036,1955,22.7565949293,119.838,324.333160234,1916.40878021,1955,22.7656,301.147125206,669.563297667,194.208655997,136.61972848,0.54012459621,-22.9891
152.617,1.81507,965.255837023,0.999551,22.7361,22.736700503,1252.59601267,123.608487547,1956,22.7468630332,119.813,467.427153802,2634.80943611,1956,22.7576,907.66331535,582.921458957,214.648979544,165.197136518,0.5517219484,-22.9904
152.631,1.64726,528.424746601,0.99975,22.712,22.7138460641,864.682518912,14.5424663298,1957,22.7247403435,119.803,224.79894543,2345.46107577,1957,22.7326,431.043413589,273.602340444,200.830086686,142.535892651,0.531097273713,-22.9415
152.645,1.81141,576.790833036,0.999663,22.7183,22.7192420664,596.14433778,82.1610339002,1958,22.7298361498,119.825,173.365777872,2382.34254925,1958,22.7429,469.587658646,358.902025356,194.824554136,145.400837621,0.538558855031,-22.9403
152.633,1.61214,318.645169691,0.999839,22.7301,22.7317853399,1179.66991329,93.0743491011,1959,22.7457850355,119.847,345.321409768,2120.33834455,1959,22.7548,628.092700347,369.509395115,403.740224187,203.185252495,0.521526122589,-22.9469
152.666,1.47201,739.667832998,0.999775,22.7714,22.7732379767,1145.12429933,30.1048190542,1960,22.7842466729,119.876,362.111556997,2699.05807075,1960,22.7917,898.924872835,358.430949396,271.112910288,196.301003104,0.497582230231,-22.9758
152.672,1.44565,837.601513303,0.999681,22.7356,22.7351678813,728.313068501,48.8847523431,1961,22.7481492007,119.897,210.333782728,2628.61521076,1961,22.758,1399.09321752,320.598147942,269.929304782,210.199870426,0.494621138613,-22.9484
152.734,1.63808,342.253428637,0.9997,22.6365,22.6375979085,798.552559687,294.050899384,1962,22.6541827662,119.878,185.345181474,1797.46924809,1962,22.6626,348.046228484,593.068234038,224.727836611,143.539468019,0.522513207422,-22.8365
152.774,1.61822,663.215758328,0.999898,22.6941,22.6955544225,881.669820732,114.378442904,1963,22.710418839,119.902,285.590335613,2634.25643679,1963,22.7184,644.862849323,440.482486757,246.213707453,167.344514884,0.510646476993,-22.9059
152.803,1.66829,259.543340316,0.999797,22.722,22.7230690969,1103.21799089,192.348609476,1964,22.7328942146,119.857,325.169684542,2517.68214,1964,22.7426,276.36125243,381.356761997,186.445297513,136.588854655,0.511910817505,-22.9145
152.813,1.48071,454.168665754,0.999726,22.6653,22.6669868745,757.821373389,16.6980791164,1965,22.6792527157,119.814,288.984106961,2272.82026748,1965,22.6846,699.26944218,366.606191505,129.107273843,191.580513974,0.504782157854,-22.8845
152.83,1.50157,173.958869588,0.999796,22.603,22.6053500712,759.063511074,83.3152285347,1966,22.6161393327,119.83,215.465889764,1548.08406036,1966,22.6222,203.555160533,292.631549338,111.494403843,110.787611621,0.5082350502,-22.8064
152.826,1.3293,167.063640212,0.999868,22.6417,22.6424462052,1701.36448871,68.4242752341,1967,22.6569971819,119.86,679.785065748,1412.57345272,1967,22.6668,269.034692081,528.19690979,122.996098799,134.647584647,0.483534529559,-22.8301
152.841,1.59954,661.893861123,0.999702,22.5799,22.5816269785,620.002125757,18.1879358868,1968,22.5913606037,119.806,147.686327409,2842.37166173,1968,22.5995,1135.49226049,173.066243815,135.328787986,215.526129966,0.506979040425,-22.7913
152.849,1.45119,436.487259182,0.999733,22.5568,22.5581956269,897.047315135,91.7673682132,1969,22.5692707331,119.872,327.861078277,1605.20933091,1969,22.5807,843.024371207,470.613983555,224.511300358,203.236578335,0.497805273604,-22.7547
152.871,1.43287,246.61413038,0.999838,22.577,22.5780699599,916.965807031,80.9729826959,1970,22.5883509593,119.83,296.414205565,1147.69674617,1970,22.5989,359.159196363,453.868597008,112.37031249,146.444227256,0.48476811257,-22.7578
152.941,1.65913,395.936177795,0.9998,22.5,22.501663293,410.868757646,91.1454631813,1971,22.5115798026,119.9,115.164616877,1717.55523103,1971,22.5183,973.252797383,224.706502755,433.287567131,226.050450615,0.516637940837,-22.6771
152.957,1.58557,550.379674078,0.999847,22.4668,22.4689456665,974.213710279,10.06379729,1972,22.4753046186,119.895,331.041629211,2485.21847777,1972,22.4828,1288.34100826,301.537085128,493.018190193,240.718625366,0.509807114277,-22.6648
153.007,1.67617,844.268240135,0.999825,22.5333,22.5344884707,414.089764265,95.4370778839,1973,22.5483533791,119.877,112.749469442,3040.29983404,1973,22.5575,916.328675957,258.304122953,91.3400568881,188.001785957,0.504619996901,-22.7419
152.997,1.57389,379.744649561,0.999726,22.4981,22.5008540252,395.760067028,14.8972784842,1974,22.512301305,119.926,121.800275108,2577.81210736,1974,22.5198,249.502709639,194.60070791,118.772273908,106.692592674,0.510984123203,-22.7136
153.024,1.59522,696.145409046,0.999811,22.3818,22.3826935363,727.972460341,19.1719319654,1975,22.393831904,119.937,193.509051558,2705.72277015,1975,22.4041,1055.6826254,207.832544994,127.905899866,208.014530399,0.518536823935,-22.577
153.016,1.63073,827.382629962,0.999751,22.3705,22.371588992,664.047522196,65.2732011378,1976,22.3838640208,119.968,211.458926473,3228.49341319,1976,22.392,1230.96063575,257.528094252,140.569193008,211.163694857,0.525415623673,-22.5462
153.049,1.61406,795.45188748,0.999774,22.3753,22.3788207279,717.180872545,43.8719997441,1977,22.3914079364,120.013,263.494033612,3317.74959806,1977,22.3962,1235.65455314,316.06471806,127.89038733,211.644755399,0.523609379124,-22.5651
153.054,1.64877,539.949178163,0.999758,22.3767,22.3777027391,297.009456973,103.588588608,1978,22.3916032618,120.072,49.5063935359,3287.03537153,1978,22.3998,403.409078122,171.143048112,116.194164277,130.270754531,0.538496996528,-22.5041
153.091,1.87802,416.097213165,0.999775,22.2875,22.2893772819,629.734946045,69.1293138952,1979,22.3011059127,120.117,157.464409203,2935.19945137,1979,22.3108,1465.62319151,217.834605537,796.576598834,257.29949155,0.564758031101,-22.4581
153.101,2.09361,181.85668906,0.999897,22.2619,22.2636282362,577.437137601,45.6465240619,1980,22.2766183684,120.13,150.959001583,1257.4695048,1980,22.2844,979.759703765,255.264245771,136.599293898,247.474154832,0.590941940836,-22.4595
153.146,2.35402,105.441713158,0.99994,22.1675,22.1706910582,530.367924395,9.87718424804,1981,22.1805348412,120.155,159.443955804,1125.24262016,1981,22.1886,985.581209596,232.962113999,712.543918528,247.421162613,0.611141530531,-22.336
153.14,2.37276,271.684899869,0.99979,22.1006,22.1054364397,666.328033948,121.048257498,1982,22.1155690915,120.091,174.309588645,1142.504517,1982,22.1211,721.092889247,328.317065837,153.94919166,218.936273837,0.634009582266,-22.3094
153.135,2.07698,115.50403497,0.999772,22.0692,22.0709731109,425.876817653,147.618046998,1983,22.0817885413,120.022,88.4598209746,928.171096287,1983,22.0928,650.334055354,215.63092742,398.980480074,217.708431468,0.612722228898,-22.2265
153.126,2.22989,285.997406639,0.999691,21.9812,21.9836101468,695.163825908,16.3814052534,1984,21.9973591662,120.091,216.614766988,1668.15995576,1984,22.0076,1083.2398759,315.136550553,715.868339783,248.03916801,0.630320543079,-22.1992
153.186,2.15221,278.237118842,0.999855,21.9667,21.9678431005,826.39726614,19.3204710171,1985,21.9823570557,120.191,213.407048983,1196.70084496,1985,21.9928,566.315319319,296.249754896,176.96162647,196.898955607,0.636391805362,-22.2288
153.153,2.27519,132.349567576,0.999812,22.0608,22.0630707545,629.022208435,14.3895900336,1986,22.0773185515,120.18,223.945125935,760.574368884,1986,22.0891,303.902470954,243.690600793,178.568935448,148.481396376,0.6251084524,-22.3029
