AverageReturn,Epoch,AverageAbsY,PolicyRegParamNorm,AverageQ,AveragePolicySurr,StdReturn,MaxEsReturn,QFunRegParamNorm,AverageAbsQYDiff,Iteration,StdEsReturn,AverageAbsQ,MinEsReturn,AverageQLoss,MinReturn,AverageY,AverageAction,AverageEsReturn,MaxReturn,AverageDiscountedReturn
916.109292049,68,2.68250440572,83.9525,2.68163,-2.75629,578.42324557,827.095790838,66.1746,0.0797861435921,68,0.0,2.68163,827.095790838,0.0175554,450.405138348,2.6824472884,0.881036,827.095790838,2336.34553849,95.5468910958
1077.6183226,69,2.76863149094,84.593,2.76761,-2.84245,712.39719465,516.118209694,66.7049,0.0831750267535,69,0.0,2.76761,516.118209694,0.019621,315.364070714,2.76855670307,0.886958,516.118209694,1990.07360118,108.416217794
1680.32871938,70,2.8159575806,85.1638,2.81512,-2.8886,729.17261723,492.907105555,67.226,0.083318412166,70,0.0,2.81517,492.907105555,0.0194374,526.480747369,2.81592038265,0.917862,492.907105555,2511.70829777,180.440962417
558.104895843,71,2.87105036849,85.8088,2.87041,-2.945,245.475098803,597.114144296,67.8328,0.0858902575189,71,0.0,2.87041,597.114144296,0.0221965,319.949669742,2.87096939423,0.878244,597.114144296,911.442822473,92.1011706773
498.464488992,72,2.9633666625,86.427,2.96233,-3.04246,177.243502503,542.169940766,68.3669,0.086091682147,72,0.0,2.96233,542.169940766,0.0206525,237.662812089,2.96331432929,0.891077,542.169940766,826.362451052,84.341526567
1074.41516043,73,3.02433443356,87.0018,3.02325,-3.10304,498.372667713,879.324560135,68.9426,0.0898269075037,73,0.0,3.02325,879.324560135,0.0242324,614.949186345,3.02428353066,0.900497,879.324560135,2064.82838678,136.788683011
841.992444215,74,3.0792318499,87.6602,3.07846,-3.15523,551.137584987,389.571279219,69.4045,0.0873537363099,74,0.0,3.07846,389.571279219,0.0209894,333.878950836,3.07917885593,0.891107,389.571279219,2179.97642366,122.729207314
2178.96066385,75,3.15961428958,88.1848,3.15865,-3.23734,600.221058902,479.178845736,69.9119,0.0903456839044,75,0.0,3.15867,479.178845736,0.0238544,397.759365499,3.15956757714,0.939193,479.178845736,2515.5013278,186.558098683
1983.08420631,76,3.22930136179,88.8656,3.22844,-3.31089,318.178644675,739.017867895,70.3652,0.090703056584,76,0.0,3.22846,739.017867895,0.0232771,1246.28014159,3.22926027132,0.941755,739.017867895,2293.8215103,181.396287095
1342.766958,77,3.32086558127,89.4118,3.31971,-3.40289,754.64211457,609.057619612,70.8729,0.091953057893,77,0.0,3.31971,609.057619612,0.0238582,277.813071493,3.32081446464,0.915668,609.057619612,2722.54963166,166.332254401
1248.65916707,78,3.41283394005,89.9126,3.41217,-3.49333,608.021502247,1522.2248718,71.4029,0.0927368438301,78,0.0,3.41217,1522.2248718,0.0241769,136.2336153,3.41277254213,0.915226,1522.2248718,2191.42246077,159.768838818
2275.58322867,79,3.49206327944,90.5006,3.49117,-3.57035,394.716887823,378.024117425,71.9238,0.0964174417867,79,0.0,3.49117,378.024117425,0.0292993,1572.10005851,3.49199723332,0.931015,378.024117425,2746.14925899,209.1981697
1963.15761121,80,3.55613224956,91.1035,3.55515,-3.63643,655.940406624,1023.49342746,72.3854,0.0970435445794,80,0.0,3.55526,1023.49342746,0.0277708,347.625544509,3.55605924782,0.931506,1023.49342746,2445.32606789,200.388464997
1412.51028825,81,3.64525788937,91.6785,3.64454,-3.7254,653.443038829,729.347585022,72.8547,0.0940359243943,81,0.0,3.64454,729.347585022,0.026105,462.689270206,3.6451865791,0.904535,729.347585022,2587.45885219,200.501123801
1036.70077666,82,3.77883929885,92.2513,3.77788,-3.86215,840.768498065,1669.99126514,73.3613,0.0993412857247,82,0.0,3.77788,1669.99126514,0.0305654,264.509602895,3.77879168415,0.900343,1669.99126514,2899.18524806,168.083754234
1351.64813274,83,3.91585579209,92.9277,3.91488,-4.00054,886.624342633,1675.2530354,73.8548,0.101347892184,83,0.0,3.91488,1675.2530354,0.0310686,330.374592976,3.91576962327,0.910429,1675.2530354,2668.1794223,187.552529399
2799.28565901,84,4.03305973674,93.5254,4.03179,-4.11854,783.81161329,1696.36329525,74.378,0.103600497701,84,0.0,4.03179,1696.36329525,0.0333775,584.688029287,4.03301106131,0.951929,1696.36329525,3328.67245066,252.18184435
2311.03572669,85,4.12833147929,94.1099,4.12709,-4.2139,899.558394067,2102.49907401,74.955,0.10674412187,85,0.0,4.12709,2102.49907401,0.0377743,862.629475614,4.12829931098,0.910878,2102.49907401,3201.91935254,249.148135018
3525.04324462,86,4.26135784406,94.6927,4.26058,-4.34765,61.8272255358,593.506468229,75.4522,0.108658627413,86,0.0,4.26058,593.506468229,0.0404888,3384.53664534,4.2612883448,0.982249,593.506468229,3609.55423687,292.24527852
3344.83486977,87,4.37706320141,95.3059,4.37607,-4.46736,45.1846563514,2003.49098418,75.9559,0.10837530843,87,0.0,4.37607,2003.49098418,0.0381635,3230.44408293,4.37701649764,0.964066,2003.49098418,3399.29634884,278.888050366
2820.79577126,88,4.51311369813,95.9043,4.5119,-4.60513,402.533787753,1681.3702135,76.4277,0.11379627593,88,0.0,4.5119,1681.3702135,0.0435076,1668.47138571,4.51307769385,0.960793,1681.3702135,3086.4894909,237.203352187
2302.12553723,89,4.6441677809,96.4552,4.64331,-4.74117,816.650333509,1949.78962363,76.8928,0.114431649743,89,0.0,4.64331,1949.78962363,0.0423377,694.575129246,4.64410244787,0.948107,1949.78962363,3086.43150007,212.26117327
2809.75661951,90,4.82812343235,97.0718,4.82682,-4.92901,448.567682186,2333.44511553,77.3326,0.122051675578,90,0.0,4.82682,2333.44511553,0.0577359,1527.2325525,4.82807808098,0.959493,2333.44511553,3187.74697176,242.594544199
3242.29249432,91,4.95244898133,97.6678,4.95131,-5.05221,698.974873587,1938.45520356,77.7891,0.116933450339,91,0.0,4.95139,1938.45520356,0.0455372,1287.82166379,4.95240411831,0.97178,1938.45520356,3610.49694625,291.560301359
