AverageAbsY,AverageQLoss,PolicyRegParamNorm,StdReturn,AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,Iteration,MaxReturn,AveragePolicySurr,QFunRegParamNorm,Epoch,AverageEsReturn,StdEsReturn,AverageDiscountedReturn,MinReturn,AverageY
108.64008529,32.4043,41.2543,30.8821324767,2.50793380779,448.205399042,108.617,0.726929,36.7116944991,108.712,284.943901654,77,360.600114868,-112.461,66.4186,77,329.936737484,126.833318393,151.242939854,215.423640658,108.625781923
110.644043295,31.9628,41.505,14.1947371593,2.52088461762,473.896610709,110.615,0.717782,19.6235027833,110.719,325.818297211,78,377.916671359,-114.511,66.8959,78,225.048319146,125.663524033,163.267720406,290.536761893,110.624499844
112.453581952,34.4076,41.7494,54.6216781247,2.58146154898,436.074426174,112.428,0.679804,24.6048410603,112.521,384.151145075,79,552.946012234,-116.353,67.454,79,228.489317934,133.204361155,178.897922118,321.7776098,112.440539753
114.34519156,35.6735,41.9801,25.1661523856,2.60886167583,337.649256613,114.316,0.688699,11.8010997372,114.419,367.178386497,80,480.204350105,-118.268,67.9148,80,191.965396105,122.132577559,174.902623351,318.121148323,114.324940373
116.146634598,35.9714,42.2258,79.9013081578,2.67389132406,407.119239022,116.119,0.702571,11.2875994201,116.229,441.927829489,81,739.116101902,-120.04,68.4234,81,271.74766084,117.201503755,192.047195178,296.89659906,116.125565482
117.729674521,37.6375,42.4451,101.686532372,2.70806189662,591.841854024,117.69,0.705523,24.8469387851,117.811,575.744142082,82,710.317268953,-121.659,69.0131,82,222.583874238,186.981695663,212.239582765,367.301594543,117.706503353
119.818677456,35.6334,42.6421,49.6747442919,2.71062228691,644.662297466,119.789,0.713821,131.067325863,119.905,427.922115004,83,644.99914269,-123.784,69.5646,83,335.91947933,179.17383274,191.532302402,365.917266946,119.796120284
121.524640943,37.6139,42.8922,97.6508008574,2.74433760964,592.914857633,121.489,0.717259,106.094440901,121.617,373.921363683,84,754.69935898,-125.518,70.0964,84,301.754721336,168.473764312,173.666163535,218.456190967,121.500818095
123.436451355,38.1616,43.1384,205.712427646,2.76396926896,417.902589035,123.404,0.719671,10.2907115148,123.525,521.221821702,85,1356.94440422,-127.475,70.6422,85,235.86085603,142.652188312,200.77386114,193.721797888,123.416202475
125.545516324,41.3804,43.3499,159.575400502,2.82147758987,380.514594574,125.517,0.755908,18.8296228767,125.633,477.547281302,86,1036.69831306,-129.629,71.1926,86,221.036060972,143.189102941,199.785719262,391.646280047,125.526371587
127.314142425,40.8695,43.5473,322.582591451,2.85124270618,547.264738008,127.284,0.773693,65.2984436743,127.409,972.649134309,87,1707.83160806,-131.43,71.6726,87,281.541077568,137.793430226,236.078940572,429.977989019,127.29488944
128.935383945,42.414,43.7872,113.67124156,2.88530032665,568.744408145,128.906,0.711508,109.732432701,129.034,506.001533543,88,1078.48594586,-133.126,72.1257,88,344.144452931,134.366176818,207.436548851,398.572372903,128.917197717
131.214277166,42.492,43.945,103.498075145,2.90739829398,479.31693266,131.185,0.712395,9.14513681936,131.302,597.687711333,89,968.227694973,-135.428,72.6101,89,208.074680728,159.997975729,223.017695416,462.919175217,131.196222309
133.231501382,48.462,44.1283,10.5006606987,3.00619087482,573.684870561,133.201,0.672114,9.7900940591,133.326,378.444899052,90,411.835914801,-137.468,73.1061,90,204.111949214,181.394819922,179.492798952,360.474347698,133.213410988
134.999494497,44.497,44.3458,99.849156172,2.95063093023,589.796368322,134.966,0.697469,7.98577577984,135.091,446.780401887,91,835.464153615,-139.245,73.5774,91,219.169287117,209.594660882,192.682394251,365.665835095,134.977461552
136.59736545,48.3674,44.5013,154.981008725,3.03582468579,574.944077812,136.569,0.709589,14.5080488538,136.703,619.319283359,92,1129.29263732,-140.954,74.081,92,279.858677672,193.80757366,225.107873847,433.286926455,136.580913855
138.783734912,47.0206,44.6963,55.3524736938,3.0016382605,457.383374693,138.754,0.708176,12.8576887903,138.885,416.303118666,93,617.36387097,-143.109,74.5501,93,203.43152822,154.506349534,189.678213727,365.836112358,138.762484967
140.62868162,50.6549,44.8645,129.706966146,3.11386552141,510.695204,140.598,0.731594,14.3189070139,140.734,570.567993115,94,936.454580717,-145.043,75.0389,94,217.438792893,156.217279447,210.859674446,367.742446202,140.610881792
142.510140446,49.9119,45.0235,97.663138968,3.11207554705,505.279902036,142.483,0.645738,7.06367951791,142.617,535.633310976,95,820.873457683,-146.957,75.4787,95,231.381675185,203.854588202,211.371885558,374.211327778,142.491594446
144.166466459,54.8803,45.1967,57.7592004967,3.18516936211,652.043745685,144.13,0.705079,96.6558316036,144.275,476.42448576,96,578.812899822,-148.666,75.9501,96,318.155947076,196.15311694,203.443897583,372.874415368,144.142240354
146.29965114,52.8536,45.3224,184.232983097,3.17249016009,599.64708931,146.263,0.709625,8.73503785598,146.412,647.93728982,97,1185.17514301,-150.83,76.3933,97,290.502290152,187.87356098,218.881618167,500.817704337,146.27533743
148.153502424,53.5555,45.4757,73.1853800606,3.21119466497,550.604466898,148.114,0.684398,15.3372942352,148.264,518.736551507,98,613.479677887,-152.677,76.7709,98,283.588763939,162.630417589,204.449374741,384.609857632,148.126308701
150.232888768,56.8382,45.6289,58.0403376702,3.27134251668,608.433453416,150.193,0.705054,10.4578891899,150.334,492.891668315,99,698.337813037,-154.975,77.2318,99,202.208905983,169.391448575,204.875211162,343.281408671,150.204827492
151.863510092,60.3285,45.7386,34.9622579618,3.30157742559,356.014812886,151.825,0.723567,17.0272279293,151.984,421.936914807,100,496.161284973,-156.618,77.6127,100,213.401107028,125.967061707,190.292400866,362.420985771,151.835259778
