AverageY,StdReturn,AverageQ,Iteration,MaxReturn,StdEsReturn,AverageEsReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageAbsQ,AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageAction,MaxEsReturn,AverageQLoss,MinReturn,AverageAbsY,AverageReturn
22.0173031099,3.91648884813,22.0151,57,36.3873611791,0.0,39.2186906261,39.2186906261,57,27.9541,22.0151,20.794582028,-22.3617,0.457657040662,32.3439,0.930716,39.2186906261,1.4069,25.2454444888,22.0174415728,29.3969329257
22.1905099991,1.09691295375,22.1877,58,10.1386018836,0.0,14.2269063871,14.2269063871,58,28.1222,22.1877,16.5260580292,-22.5275,0.450168314613,32.5508,0.853888,14.2269063871,1.50234,6.68600121073,22.1908698045,8.51495308421
22.3768710223,1.20354211157,22.3749,59,23.0177208267,0.0,60.9058819314,60.9058819314,59,28.2239,22.3749,17.8959934719,-22.6864,0.478426261446,32.7082,0.874774,60.9058819314,1.8005,18.7141398829,22.3770553739,20.5307976386
22.3644851451,4.10203594406,22.3631,60,21.703244335,0.0,49.5764974757,49.5764974757,60,28.3434,22.3631,19.3747864368,-22.6585,0.419606634511,32.8693,0.952469,49.5764974757,1.34146,10.7263044304,22.3647495118,15.6188608533
22.3101718015,5.29960469589,22.3089,61,54.5008388951,0.0,46.8178596389,46.8178596389,61,28.4496,22.3089,18.4431256348,-22.6095,0.441492707795,33.1025,0.96751,46.8178596389,1.5878,39.0446928638,22.3103722189,49.33962998
22.6030867987,0.647079570957,22.6008,62,13.4032066211,0.0,75.5648934787,75.5648934787,62,28.5819,22.6008,13.5278256969,-22.8958,0.413408437649,33.2538,0.989946,75.5648934787,1.3566,11.688590956,22.6033191066,12.6344155701
22.5143295061,0.939680700972,22.5106,63,24.169694592,0.0,67.2996773716,67.2996773716,63,28.6899,22.5106,19.1213109148,-22.8066,0.467767115409,33.4491,0.994021,67.2996773716,1.93202,21.1476997952,22.5145465776,22.4322904143
22.7493594071,0.928673154742,22.7488,64,28.1697129742,0.0,19.8896272089,19.8896272089,64,28.8528,22.7488,20.6417997216,-23.0584,0.446535590599,33.6298,0.87795,19.8896272089,1.63544,24.898745269,22.7495746703,26.6308638723
22.604352289,3.70176647518,22.6029,65,36.4838453868,0.0,65.0503129514,65.0503129514,65,28.8753,22.6029,23.6257388765,-22.889,0.402022396594,33.83,0.533489,65.0503129514,1.24914,25.996579175,22.6047519884,30.5198103603
22.644943602,3.80709547385,22.6446,66,51.5768259234,0.0,104.897936007,104.897936007,66,29.122,22.6446,18.5311841781,-22.9357,0.47148377724,34.0711,0.558997,104.897936007,2.01213,37.0533280334,22.6452242261,46.4402466556
22.6103570518,9.76667543826,22.6075,67,54.2319886618,0.0,58.0070631089,58.0070631089,67,29.3333,22.6075,22.9050544203,-22.8995,0.435584521737,34.2714,0.231842,58.0070631089,1.48312,21.6463421889,22.6106079648,43.5952456314
22.6637078845,2.14070939767,22.6621,68,38.1920186746,0.0,42.4814452406,42.4814452406,68,29.5229,22.6621,25.3467779411,-22.9601,0.426235220237,34.4626,0.701123,42.4814452406,1.38997,30.1898691084,22.6640743297,36.1051141792
22.8334004196,7.48676174215,22.8338,69,41.9100168878,0.0,81.3033292078,81.3033292078,69,29.7573,22.8338,23.0371077861,-23.1446,0.431536316525,34.6563,0.803174,81.3033292078,1.53817,21.4227234589,22.8336723202,35.5816200464
22.8279585937,10.2090539085,22.8251,70,47.9496047304,0.0,82.2130339529,82.2130339529,70,29.9301,22.8251,24.2697019952,-23.158,0.438064188243,34.8289,0.551864,82.2130339529,1.49135,11.7405560274,22.8283781085,42.0347085026
22.8886975173,5.40790520988,22.8852,71,45.4935382251,0.0,99.2334642186,99.2334642186,71,30.1153,22.8852,18.8219141928,-23.2339,0.464275712154,35.0699,0.716458,99.2334642186,1.90556,26.7259588264,22.8891018974,37.5927630255
22.996817828,7.14067844789,22.9966,72,56.9266167533,0.0,77.6299667933,77.6299667933,72,30.3165,22.9966,5.70771541648,-23.3408,0.445958926047,35.2797,0.90724,77.6299667933,1.82251,31.4832842628,22.9971497363,50.0268242631
22.8817240026,2.94454781258,22.8792,73,43.3372722499,0.0,73.5038183463,73.5038183463,73,30.4951,22.8792,21.1245737917,-23.2167,0.421995617333,35.4664,0.760074,73.5038183463,1.5675,32.652581349,22.8818776443,38.4890754451
23.1308356167,5.20307211621,23.1302,74,43.5758121162,0.0,65.7218977684,65.7218977684,74,30.6808,23.1302,15.8286467168,-23.4465,0.422238438318,35.62,0.869725,65.7218977684,1.51575,28.1952976935,23.1311237977,36.5937449657
23.1480900675,1.53443405793,23.1458,75,-6.99576161472,0.0,75.6314190087,75.6314190087,75,30.8815,23.1458,-6.93049928525,-23.4544,0.472860024626,35.8843,0.516015,75.6314190087,2.18437,-11.6258234718,23.1483588987,-9.53854849502
