2017-05-05 00:54:14.805657 EDT | MinReturn                   3.13782
2017-05-05 00:54:14.806220 EDT | AverageEsReturn             0.985134
2017-05-05 00:54:14.806786 EDT | StdEsReturn                 0.0629261
2017-05-05 00:54:14.807363 EDT | MaxEsReturn                 1.97813
2017-05-05 00:54:14.807926 EDT | MinEsReturn                 0.189373
2017-05-05 00:54:14.808485 EDT | AverageDiscountedReturn     5.77469
2017-05-05 00:54:14.809047 EDT | AverageQLoss                0.0179076
2017-05-05 00:54:14.809604 EDT | AveragePolicySurr           5.01722
2017-05-05 00:54:14.810158 EDT | AverageQ                    0.00675516
2017-05-05 00:54:14.810712 EDT | AverageAbsQ                 0.00725918
2017-05-05 00:54:14.811269 EDT | AverageY                    0.006662
2017-05-05 00:54:14.811758 EDT | AverageAbsY                 0.0137557
2017-05-05 00:54:14.812225 EDT | AverageAbsQYDiff            0.00935831
2017-05-05 00:54:14.812693 EDT | AverageAction               1.47214e+07
2017-05-05 00:54:14.813162 EDT | PolicyRegParamNorm       2330.14
2017-05-05 00:54:14.813625 EDT | QFunRegParamNorm            7.86522
2017-05-05 00:54:14.814088 EDT | AverageForwardProgress      0.00149686
2017-05-05 00:54:14.814554 EDT | MaxForwardProgress          0.0385364
2017-05-05 00:54:14.815016 EDT | MinForwardProgress         -0.0393488
2017-05-05 00:54:14.815500 EDT | StdForwardProgress          0.0106918
2017-05-05 00:54:14.815963 EDT | AveragePolicyStd            1e-06
2017-05-05 00:54:14.816425 EDT | -----------------------  --------------
2017-05-05 00:54:14.817091 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #15 | Training started
2017-05-05 00:58:18.520017 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #15 | Training finished
2017-05-05 00:58:18.523470 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #15 | Collecting samples for evaluation
2017-05-05 00:58:37.054591 EDT | -----------------------  --------------
2017-05-05 00:58:37.055471 EDT | Epoch                      15
2017-05-05 00:58:37.055830 EDT | AverageReturn               4.46764
2017-05-05 00:58:37.056178 EDT | StdReturn                   0.515252
2017-05-05 00:58:37.056522 EDT | MaxReturn                   7.69724
2017-05-05 00:58:37.056863 EDT | MinReturn                   3.11958
2017-05-05 00:58:37.057204 EDT | AverageEsReturn             0.984478
2017-05-05 00:58:37.057545 EDT | StdEsReturn                 0.0440319
2017-05-05 00:58:37.057884 EDT | MaxEsReturn                 1.76527
2017-05-05 00:58:37.058225 EDT | MinEsReturn                 0.174265
2017-05-05 00:58:37.058565 EDT | AverageDiscountedReturn     4.39502
2017-05-05 00:58:37.058904 EDT | AverageQLoss                0.0235314
