StdReturn,AverageDiscountedReturn,AverageEsReturn,AverageReturn,AverageQ,QFunRegParamNorm,Iteration,MinEsReturn,MaxReturn,AverageAbsQYDiff,AveragePolicySurr,MaxEsReturn,Epoch,AverageQLoss,PolicyRegParamNorm,AverageAbsQ,MinReturn,AverageAction,AverageAbsY,AverageY,StdEsReturn
0.0,99.9956828753,17.2542372881,1000.0,3.35477,39.9622,52,3.0,1000.0,0.0896426232645,-3.70669,58.0,52,0.0546012,29.2277,3.35989,1000.0,0.59894,3.35567150134,3.35494820053,13.2339998954
0.0,99.9956828753,21.1739130435,1000.0,3.4435,40.4029,53,3.0,1000.0,0.0922809206383,-3.78335,86.0,53,0.0569929,29.4341,3.44882,1000.0,0.574729,3.44502942251,3.44372198459,17.7228719184
0.0,99.9956828753,23.2954545455,1000.0,3.52995,40.6274,54,3.0,1000.0,0.0925149927885,-3.87846,77.0,54,0.0565532,29.5663,3.5365,1000.0,0.556696,3.53134346133,3.53055796535,19.7318150405
0.0,99.9956828753,26.5675675676,1000.0,3.57267,40.9197,55,3.0,1000.0,0.0914634371734,-3.93905,78.0,55,0.0625374,29.6324,3.57816,1000.0,0.59694,3.57351160992,3.57269086187,22.1488094251
0.0,99.9956828753,19.0566037736,1000.0,3.64099,41.2704,56,3.0,1000.0,0.0887533528697,-4.00124,58.0,56,0.0599793,29.7627,3.64722,1000.0,0.64521,3.64261250815,3.64131885246,16.1973851772
0.0,99.9956828753,16.0634920635,1000.0,3.71243,41.5065,57,3.0,1000.0,0.0931832321946,-4.08216,132.0,57,0.0602099,29.938,3.71939,1000.0,0.624175,3.71362528583,3.7125884405,19.2699066446
0.0,99.9956828753,18.4423076923,1000.0,3.79731,41.7641,58,3.0,1000.0,0.0965025894469,-4.15946,62.0,58,0.0671298,30.0859,3.80395,1000.0,0.617281,3.79872676556,3.79764449233,15.6296235763
0.0,99.9956828753,20.8979591837,1000.0,3.86913,42.0045,59,3.0,1000.0,0.0898977789613,-4.23326,110.0,59,0.0599765,30.1945,3.8751,1000.0,0.57631,3.8704015994,3.86946003251,22.0261856203
0.0,99.9956828753,21.6382978723,1000.0,3.91566,42.2806,60,3.0,1000.0,0.105395945475,-4.29495,70.0,60,0.0781647,30.3712,3.92261,1000.0,0.600103,3.91668744107,3.91584230282,17.9294427201
0.0,99.9956828753,21.5217391304,1000.0,4.00871,42.545,61,3.0,1000.0,0.0948491792322,-4.37867,92.0,61,0.0694082,30.5339,4.01411,1000.0,0.491958,4.0096588348,4.0089932605,20.1868867579
