StdReturn,MinReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AveragePolicySurr,AverageAbsY,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageQ,PolicyRegParamNorm,AverageAction,AverageY,AverageEsReturn,Epoch,StdEsReturn,Iteration,MaxReturn,AverageQLoss
139.022404498,533.264689315,788.689007475,28.1929,668.015085909,-3.26941,3.15882667054,0.0908017802692,668.015085909,101.359899467,3.1581,3.1581,31.3509,0.918295,3.15877586528,668.015085909,57,0.0,57,1096.62268503,0.0197574
185.35705702,869.689350522,1049.3478252,28.5135,523.537058812,-3.36157,3.24763215399,0.0963979671738,523.537058812,118.301006102,3.24669,3.24669,31.62,0.884171,3.2475685124,523.537058812,58,0.0,58,1412.6685709,0.0265869
310.525429835,895.900591898,1373.84279922,28.785,673.67627343,-3.45724,3.34655397668,0.0943981483136,673.67627343,144.524897025,3.34579,3.34579,31.9689,0.851243,3.34648649503,673.67627343,59,0.0,59,1776.18261551,0.024219
161.062781168,683.7197655,902.666312605,29.1365,844.950069899,-3.54736,3.43715206231,0.0982280026329,844.950069899,110.602835689,3.43635,3.43635,32.2666,0.926343,3.43712808335,844.950069899,60,0.0,60,1248.60314081,0.0277421
98.069525515,839.973505989,956.342272614,29.4443,862.842692217,-3.65087,3.53606008548,0.0984513629508,862.842692217,136.843574614,3.53506,3.53506,32.594,0.945297,3.53599768002,862.842692217,61,0.0,61,1162.7233157,0.0284386
658.634217372,-298.330476378,1193.40877153,29.7811,638.887488483,-3.73352,3.61807977038,0.0993629484958,638.887488483,141.412820411,3.61718,3.61718,32.8891,0.912906,3.61802643866,638.887488483,62,0.0,62,2201.01964912,0.027499
129.827608635,763.951944096,978.441993565,30.0681,729.868993813,-3.82858,3.71493447838,0.102130994629,729.868993813,114.910196558,3.71393,3.71393,33.1641,0.929335,3.71487049586,729.868993813,63,0.0,63,1201.08167038,0.0309379
118.045258914,640.834518851,908.631245459,30.3266,833.945565969,-3.92904,3.8121220039,0.103055463919,833.945565969,74.6122599873,3.81125,3.81125,33.4242,0.941571,3.81205241758,833.945565969,64,0.0,64,1069.20908439,0.0306118
619.81600376,-590.023251306,932.258272205,30.5637,1002.38488935,-4.04291,3.92347882664,0.104036087128,1002.38488935,138.327414793,3.92239,3.92239,33.6643,0.937092,3.92343266322,1002.38488935,65,0.0,65,2058.05146868,0.0303248
667.392880444,962.306292064,2215.35270454,30.907,690.361409067,-4.13497,4.01647627007,0.104230077454,690.361409067,205.974919328,4.01535,4.01535,33.924,0.912473,4.01644748052,690.361409067,66,0.0,66,2886.07483838,0.0330971
966.595615213,-488.500247091,1509.83883038,31.1888,816.431154132,-4.23688,4.11119602599,0.105442890699,816.431154132,173.848340541,4.1106,4.1106,34.1629,0.902924,4.11112784185,816.431154132,67,0.0,67,2795.0584131,0.0344795
343.045220669,433.842283472,1177.38356123,31.4469,661.64318677,-4.34027,4.22043228655,0.105902986377,661.64318677,168.841187494,4.21942,4.21942,34.4215,0.885119,4.22039611116,661.64318677,68,0.0,68,1855.54227414,0.0326127
172.229908299,499.842780576,833.704756223,31.7698,1148.87473768,-4.45509,4.32542325826,0.111967188122,1148.87473768,89.6389352665,4.32436,4.32436,34.7023,0.923867,4.32534304076,1148.87473768,69,0.0,69,1119.30329004,0.0409983
131.502861438,867.850595169,1021.64206837,31.9696,625.002003605,-4.56686,4.43470919645,0.108317449722,625.002003605,127.888018971,4.43381,4.43381,34.9061,0.930688,4.43464434435,625.002003605,70,0.0,70,1331.03787972,0.0343636
494.833464083,-414.961394139,1044.13069595,32.2354,846.797741002,-4.64828,4.52127879105,0.111768760622,846.797741002,151.805925106,4.52032,4.52032,35.2241,0.924386,4.52123141404,846.797741002,71,0.0,71,1392.70573478,0.0405847
254.584736007,232.200338383,654.386808908,32.5296,567.380149703,-4.75889,4.63650549182,0.111400678565,567.380149703,105.316094903,4.63525,4.63525,35.4915,0.93023,4.6364603435,567.380149703,72,0.0,72,930.791708821,0.0399528
438.906934352,151.455800234,702.627430475,32.7833,1027.53833053,-4.8855,4.75986219228,0.114402861286,1027.53833053,146.541483953,4.75886,4.75886,35.7247,0.889082,4.7598035837,1027.53833053,73,0.0,73,1375.35631157,0.0439468
693.850012356,-579.766923681,646.0117076,33.0534,715.444940096,-4.96216,4.83727269099,0.112423082531,715.444940096,119.749777195,4.83606,4.83606,35.9741,0.933572,4.83720806738,715.444940096,74,0.0,74,1407.99257269,0.0421794
184.719385436,768.981358785,944.53699125,33.3054,845.332294942,-5.03933,4.91690117917,0.113129295431,845.332294942,133.620903635,4.91587,4.91587,36.2212,0.916495,4.9168430087,845.332294942,75,0.0,75,1335.63443043,0.0407228
623.325823113,-564.901981251,678.590928452,33.5636,706.257774704,-5.1498,5.02605328262,0.114814182201,706.257774704,99.474140747,5.02485,5.02485,36.4459,0.912194,5.02600730903,706.257774704,76,0.0,76,1282.25214509,0.0443335
704.957613104,-563.309588396,326.749102624,33.7626,653.107516179,-5.25361,5.13331107371,0.11179099417,653.107516179,72.2834736025,5.13255,5.13255,36.6997,0.968611,5.13323920496,653.107516179,77,0.0,77,1368.1472114,0.037166
677.295093627,-521.068424611,513.770920741,34.0337,1295.65120295,-5.35643,5.2328852926,0.117002280501,1295.65120295,64.2196132044,5.23171,5.2317,36.9237,0.925532,5.23284370552,1295.65120295,78,0.0,78,1100.39701184,0.0487549
653.340404241,-576.19154633,735.172943617,34.3766,720.141030875,-5.46034,5.33729316088,0.124254852992,720.141030875,77.4527800236,5.33622,5.33622,37.1518,0.919864,5.33724859247,720.141030875,79,0.0,79,1158.8315003,0.0563241
1009.86732738,-569.128039897,1913.79526504,34.6669,854.551464819,-5.53869,5.40991506868,0.121545696659,854.551464819,189.049925096,5.40888,5.40888,37.4172,0.898787,5.40985227469,854.551464819,80,0.0,80,2780.9279763,0.0544525
550.523883352,-566.138661983,997.680784198,34.9181,900.40269426,-5.64776,5.51689166123,0.121743953322,900.40269426,156.464635034,5.51559,5.51559,37.6521,0.921606,5.51684199015,900.40269426,81,0.0,81,1487.61208065,0.0504294
312.671872867,512.906266563,1144.91166432,35.1205,812.931391041,-5.75571,5.63287786754,0.126359820828,812.931391041,157.292390985,5.63163,5.63163,37.9034,0.915554,5.63284839592,812.931391041,82,0.0,82,1622.07073902,0.0552411
237.917996877,995.118059145,1332.70492073,35.372,-92.9892163773,-5.85212,5.73349334128,0.13313203213,-92.9892163773,189.481403817,5.73192,5.73192,38.1013,0.915425,5.73341630496,-92.9892163773,83,0.0,83,1883.86072226,0.0679854
167.748732375,924.84205985,1174.40461965,35.6006,1661.60065709,-6.01598,5.89378314993,0.125593789934,1661.60065709,152.816411393,5.89242,5.89242,38.3138,0.918713,5.89374591251,1661.60065709,84,0.0,84,1472.43148726,0.0587373
473.259471082,-588.13330173,747.55288869,35.7627,1636.34499846,-6.14065,6.02068502736,0.125017835481,1636.34499846,91.6075993856,6.0197,6.0197,38.4944,0.941032,6.02063931696,1636.34499846,85,0.0,85,1103.55224174,0.0518477
406.710576826,897.233512876,1298.50837484,36.0067,991.86061253,-6.22913,6.1104372096,0.130688121783,991.86061253,170.937274489,6.10953,6.10953,38.6713,0.933394,6.11039958135,991.86061253,86,0.0,86,2405.40024674,0.0682141
568.061786433,991.627080186,1805.48560441,36.1685,1728.50279605,-6.35371,6.23247807405,0.130935371747,1728.50279605,185.427551556,6.23115,6.23115,38.8688,0.90085,6.23244521316,1728.50279605,87,0.0,87,2554.81090272,0.059638
93.041350507,1079.24841964,1190.53440702,36.3756,1208.78615875,-6.49314,6.37164801277,0.128725400543,1208.78615875,159.095281964,6.37059,6.37059,39.0958,0.922969,6.37157365257,1208.78615875,88,0.0,88,1377.81038129,0.0552994
