Epoch,AverageDiscountedReturn,AverageQLoss,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,AverageAbsY,MaxEsReturn,Iteration,AverageReturn,MinReturn,AverageAction,QFunRegParamNorm,AverageQ,AveragePolicySurr,AverageEsReturn,StdReturn,AverageAbsQYDiff,MaxReturn
64,54.5185151446,36.2314,5.46310329114,82.168951954,33.5331,82.2556,63.996918441,82.2563598792,263.386249145,64,811.967825272,341.309312232,0.748859,43.9708,82.1446,-86.5721,101.547465635,150.942059918,3.48837434612,930.855307559
65,81.9163699657,36.944,2.27895025372,84.3588300224,33.6608,84.4552,53.5555032084,84.4463034182,156.508928516,65,133.778624089,99.8523513035,0.775084,44.3605,84.341,-88.8577,72.2379304647,16.4582503005,3.51408740935,183.281067792
66,48.8898880309,39.0775,39.1795322239,86.2728916252,33.794,86.365,50.2664532471,86.3552350369,169.969652604,66,161.386668202,85.5116973815,0.917596,44.7382,86.2496,-90.8987,111.645375943,49.2891839427,3.64151231642,301.197993296
67,64.5416923201,38.8599,2.83880686133,88.3987096569,33.9075,88.4847,137.273630791,88.4785945012,472.901201902,67,99.2769379271,89.7477421077,0.864799,45.1036,88.3746,-93.0438,144.224317449,9.21180690131,3.68703735889,198.837475093
68,21.6846655008,42.648,-2.44099544476,90.3652362929,34.0493,90.4687,63.0712950824,90.4454964455,184.282947997,68,21.4475260618,12.2505737088,0.878123,45.4524,90.3462,-95.0617,86.2376020491,4.33937788595,3.81429545585,40.5461700662
69,69.5604640235,41.708,-177.035825759,92.6266369352,34.2,92.7204,95.3113000558,92.7056243479,109.644022696,69,127.513510605,-35.6757625567,0.820412,45.8447,92.6061,-97.3643,38.2004656134,49.2512216725,3.8292280456,293.60824348
70,55.3219191741,43.0216,-24.6804691989,94.2498413055,34.335,94.3486,61.1996447063,94.3295290103,165.574900453,70,106.333700715,-104.058487434,0.783762,46.1869,94.2255,-98.9901,72.0585097089,91.9171753522,3.85894138478,251.264719876
71,61.2443896395,42.5592,-8.88360890785,95.9429661931,34.4963,96.0387,59.3073763488,96.0207839442,191.405482058,71,105.412116874,76.4435269027,0.818516,46.4897,95.9208,-100.717,106.19674413,36.5153087155,3.8809568967,346.926235179
72,91.5849955678,45.826,33.9572598578,98.1749713523,34.6353,98.2624,159.101223051,98.2437913361,504.976913334,72,163.367997187,9.65610056542,0.720768,46.8406,98.1554,-102.892,189.477870829,68.3741802689,3.95712463547,447.44152963
73,83.2767832503,47.4041,1.3915286478,100.007064448,34.8293,100.097,95.3008075533,100.086443674,311.012995818,73,131.713915228,98.8214294933,0.755728,47.1859,99.984,-104.805,140.846800772,43.6308363641,4.07579682692,324.649756602
