AverageAction,AverageY,StdReturn,MaxReturn,MaxEsReturn,AverageAbsQ,AverageEsReturn,AverageDiscountedReturn,AverageAbsY,Iteration,QFunRegParamNorm,MinReturn,AverageQ,MinEsReturn,AverageAbsQYDiff,Epoch,PolicyRegParamNorm,AverageQLoss,StdEsReturn,AveragePolicySurr,AverageReturn
0.999064,32.9306781424,841.711355517,4144.24675525,2391.08515098,32.935,2391.08515098,333.573300829,32.9334178503,1957,167.797,1653.04824785,32.9323,2391.08515098,0.278048882834,1957,165.219,1.00704,0.0,-33.0475,3119.77971977
0.998373,32.8848709196,905.483718277,3932.08983339,2840.80963339,32.8856,2840.80963339,277.564201942,32.8866592015,1958,167.844,622.797547035,32.8837,2840.80963339,0.284569152029,1958,165.198,1.11529,0.0,-33.0035,3208.26278105
0.998681,32.9268498088,719.107235857,3801.55717454,355.007041946,32.9298,355.007041946,296.61304784,32.9289587061,1959,167.864,1406.90517202,32.9276,355.007041946,0.300220127987,1959,165.241,1.47912,0.0,-33.0526,3157.45760585
0.999144,32.9806647659,1484.69057991,4466.99213165,2606.0998638,32.9798,2606.0998638,272.308877976,32.9826901076,1960,167.89,472.159560305,32.9778,2606.0998638,0.299700844293,1960,165.349,1.27543,0.0,-33.11,2562.9880513
0.999011,33.0388471764,1119.81830605,3983.92497996,2591.9517612,33.041,2591.9517612,291.853843564,33.0404876879,1961,167.891,503.341694501,33.0394,2591.9517612,0.290775365201,1961,165.366,1.18916,0.0,-33.161,2644.36345487
0.998588,33.0089685755,807.479690403,4014.30378334,2558.45034371,33.0114,2558.45034371,315.170201699,33.0107420522,1962,167.952,1887.54894136,33.0095,2558.45034371,0.305613440892,1962,165.35,1.51886,0.0,-33.1229,3216.81425305
0.998879,32.9105959364,1264.22729639,3897.66373791,2705.40218088,32.9105,2705.40218088,253.906110956,32.9124683565,1963,167.959,28.8123457738,32.9087,2705.40218088,0.300088081859,1963,165.38,1.31324,0.0,-33.0317,2605.03790176
0.998636,32.8811407742,1144.08354381,4262.00557685,1287.89984521,32.8848,1287.89984521,316.267875793,32.8827002312,1964,168.024,1056.36551566,32.8831,1287.89984521,0.311794345393,1964,165.428,1.3443,0.0,-32.9856,3212.03480146
0.999361,32.9862405342,640.272615159,2346.90231908,2555.50198375,32.9894,2555.50198375,245.702644441,32.9881041103,1965,168.103,213.891137807,32.9873,2555.50198375,0.309779628893,1965,165.684,1.36292,0.0,-33.1029,1288.1575597
0.999447,32.9101534287,1384.37223471,3740.99992741,2392.65298882,32.909,2392.65298882,227.956445199,32.911855846,1966,168.148,-266.651663702,32.9073,2392.65298882,0.304612530566,1966,165.73,1.2031,0.0,-33.0261,1390.84684198
0.998752,32.9756221358,1494.93053113,4092.77192169,2915.95536544,32.9768,2915.95536544,302.120611521,32.9769057517,1967,168.198,58.7302763837,32.9754,2915.95536544,0.3118668557,1967,165.685,1.42832,0.0,-33.1006,2971.70446388
0.998985,32.9327860079,908.511381369,3352.42474136,2364.36635868,32.9347,2364.36635868,255.706922126,32.9347204312,1968,168.247,924.6535771,32.9324,2364.36635868,0.29847917472,1968,165.718,1.25069,0.0,-33.0564,2479.0445698
0.998808,33.0032901115,1272.19348477,4263.31598903,2428.11235659,33.0052,2428.11235659,324.648039449,33.0056386405,1969,168.262,956.475685356,33.0028,2428.11235659,0.297402934035,1969,165.749,1.106,0.0,-33.1237,3133.63178216
0.998475,32.956343905,358.133542604,3170.63054314,2449.22030162,32.9589,2449.22030162,262.785521013,32.9584852597,1970,168.291,2017.94509351,32.9567,2449.22030162,0.311278986447,1970,165.871,1.52953,0.0,-33.0811,2595.40944409
0.998175,33.0714927023,349.586360782,4122.95231929,2308.6597863,33.0734,2308.6597863,313.076150907,33.074205043,1971,168.329,2920.18982844,33.0707,2308.6597863,0.304919774684,1971,165.862,1.32026,0.0,-33.1854,3850.36719892
0.998251,32.9982577588,296.462453279,3923.25144679,2523.50420155,33.0001,2523.50420155,296.835638354,33.0006698886,1972,168.361,2808.5400435,32.9977,2523.50420155,0.30020868563,1972,165.89,1.20621,0.0,-33.1067,3537.81797906
0.998967,33.0537102668,1067.45381802,3739.19821531,2329.12743373,33.056,2329.12743373,300.063369166,33.0556690685,1973,168.411,285.859910194,33.0541,2329.12743373,0.298549041192,1973,165.986,1.06675,0.0,-33.1692,2808.37627294
0.998681,33.0561875361,1229.24625278,3966.94778243,2448.37660811,33.0578,2448.37660811,319.228185213,33.0582748599,1974,168.496,370.114305611,33.0557,2448.37660811,0.303393593843,1974,166.001,1.40206,0.0,-33.1775,3133.88530688
0.998501,33.0474804191,1067.93171287,3775.02554345,2639.05325536,33.0494,2639.05325536,300.996361674,33.0494979769,1975,168.539,339.198494583,33.0474,2639.05325536,0.310321087486,1975,166.094,1.41204,0.0,-33.1665,3049.48316483
0.999325,33.1421921508,1247.27114659,4039.4274382,2784.3551625,33.1422,2784.3551625,302.117743866,33.1439063028,1976,168.529,126.110166179,33.1405,2784.3551625,0.284952868947,1976,166.182,1.12904,0.0,-33.2598,2563.19981752
0.999081,33.1303089909,1115.90744114,3404.32412506,2838.16920003,33.1355,2838.16920003,255.257517107,33.1325681937,1977,168.545,-130.413767188,33.1331,2838.16920003,0.285173143862,1977,166.311,1.13997,0.0,-33.2461,1769.73820104
0.999415,33.1362585417,650.091612803,2519.56239833,2664.45260513,33.1364,2664.45260513,198.369487869,33.1387074056,1978,168.624,443.054710609,33.1341,2664.45260513,0.306122097453,1978,166.437,1.36608,0.0,-33.2533,1139.09121586
0.998921,32.9595621923,856.637786281,4537.01101161,2519.49696306,32.9605,2519.49696306,345.473552511,32.9626540673,1979,168.699,1961.54861023,32.9573,2519.49696306,0.294268489295,1979,166.354,1.3589,0.0,-33.0807,3794.48429897
0.997743,33.1330883119,904.610774982,4340.32193981,2747.68796885,33.1357,2747.68796885,313.253469335,33.1353434383,1980,168.744,884.116445378,33.1334,2747.68796885,0.291336398669,1980,166.392,1.18408,0.0,-33.2497,3494.24941911
0.998646,33.0827636545,1173.31714506,3790.15069381,2882.97576952,33.0846,2882.97576952,284.007375036,33.0855172687,1981,168.772,590.304132052,33.082,2882.97576952,0.284810261137,1981,166.439,1.24736,0.0,-33.2061,2248.50050331
0.998056,33.0826844674,106.258895305,4050.19444392,2860.36712742,33.0853,2860.36712742,306.424164352,33.0855355505,1982,168.797,3686.19889346,33.0824,2860.36712742,0.291578394438,1982,166.451,1.28219,0.0,-33.1952,3839.46086886
0.998674,33.1647400838,1009.75454823,4367.62812858,2489.93783896,33.1678,2489.93783896,345.6139647,33.1682012343,1983,168.85,852.249901409,33.1643,2489.93783896,0.298897057534,1983,166.485,1.40286,0.0,-33.2897,3809.91983004
0.998639,33.125971406,712.255548358,3689.98413112,2700.9828921,33.129,2700.9828921,281.338534322,33.1295098866,1984,168.894,1309.48092676,33.1256,2700.9828921,0.261828992318,1984,166.559,0.877938,0.0,-33.254,3171.32498118
0.998906,33.0859522496,1031.70885588,3289.46179249,2607.58178855,33.089,2607.58178855,266.750995871,33.0894664122,1985,168.939,336.889748682,33.0856,2607.58178855,0.289373704742,1985,166.584,1.31405,0.0,-33.2064,2221.27220909
0.99832,33.1588192868,484.829185889,3433.55963076,2633.03139723,33.1612,2633.03139723,271.914652007,33.161714423,1986,168.948,1670.11270275,33.1583,2633.03139723,0.274200130853,1986,166.651,1.08809,0.0,-33.2759,3096.92861349
0.999163,33.1047847622,1234.35617492,3413.12718445,2815.61218544,33.108,2815.61218544,248.545790917,33.1081254816,1987,168.99,260.979098712,33.1047,2815.61218544,0.294295977239,1987,166.667,1.35108,0.0,-33.2195,2125.50145781
0.998394,33.1538379949,763.098956051,4143.2427832,2421.95785783,33.1567,2421.95785783,311.615541496,33.1569289545,1988,169.031,1444.6229331,33.1536,2421.95785783,0.296549124206,1988,166.804,1.39342,0.0,-33.2601,3650.04725929
0.999133,33.1774925683,741.905236026,4348.66639137,2785.94682306,33.1796,2785.94682306,332.982585312,33.1801697121,1989,169.083,1752.90403565,33.177,2785.94682306,0.297293642909,1989,166.884,1.44898,0.0,-33.2833,3767.46370106
0.998211,33.0768708633,79.8493775331,3862.51480339,3020.93076767,33.0797,3020.93076767,281.379853089,33.0801750323,1990,169.118,3580.88189373,33.0764,3020.93076767,0.291329624362,1990,166.942,1.30123,0.0,-33.1772,3708.54554027
0.998558,33.0805985917,1501.33021412,4967.82123004,2725.16100234,33.0846,2725.16100234,342.684594542,33.0847723106,1991,169.215,69.8272318164,33.0804,2725.16100234,0.29071170108,1991,166.967,1.15703,0.0,-33.1819,3835.98742314
0.998093,33.0483572668,1038.4862074,4453.07656534,2420.55572506,33.0521,2420.55572506,317.351258641,33.0526872165,1992,169.207,696.534881986,33.0479,2420.55572506,0.281880896701,1992,167.014,1.06815,0.0,-33.1636,3707.46501218
0.998397,33.116656667,531.019333589,4647.28481864,2818.12715886,33.1189,2818.12715886,332.283074699,33.1195271871,1993,169.237,2792.07931098,33.1158,2818.12715886,0.294047563513,1993,167.029,1.42523,0.0,-33.2246,4151.3975057
0.997892,33.0361535467,167.456897127,4302.50719647,2805.71505583,33.0399,2805.71505583,300.315207329,33.0399667485,1994,169.302,3717.51172238,33.036,2805.71505583,0.292877010156,1994,167.095,1.30479,0.0,-33.1541,3934.60232271
0.997853,33.0783875084,226.021866858,4421.18447911,2860.12647157,33.0842,2860.12647157,324.03296396,33.0827643861,1995,169.315,3687.95889068,33.0797,2860.12647157,0.295839595272,1995,167.162,1.34741,0.0,-33.1809,4023.81586304
0.998417,33.1563051933,179.656305669,4338.12577545,2582.21015626,33.1577,2582.21015626,327.043139856,33.1601487308,1996,169.39,3780.1441033,33.1539,2582.21015626,0.279016255315,1996,167.173,0.956144,0.0,-33.2638,4076.63277658
0.99829,33.0880432523,169.18926163,3997.61785243,2909.47849873,33.0928,2909.47849873,314.479191694,33.0925296899,1997,169.419,3358.12751353,33.0883,2909.47849873,0.289554083992,1997,167.317,1.28799,0.0,-33.1992,3774.19825645
0.998836,33.1018477268,119.253329341,4094.96870654,2762.74624573,33.1069,2762.74624573,313.196734783,33.1063941732,1998,169.438,3733.06435039,33.1023,2762.74624573,0.277354855847,1998,167.423,1.00829,0.0,-33.2169,3944.58028182
0.998237,33.056732453,204.798142649,3796.66448057,2757.25810103,33.0606,2757.25810103,292.000347505,33.0611974512,1999,169.458,3216.81539526,33.056,2757.25810103,0.306575670186,1999,167.442,1.61823,0.0,-33.1835,3510.53862559
0.997841,33.1689890498,97.0637704452,4458.01843807,2877.7056902,33.1749,2877.7056902,347.187338853,33.175053281,2000,169.521,4152.04109199,33.1687,2877.7056902,0.282768490637,2000,167.425,1.16677,0.0,-33.295,4322.66931203
0.998104,33.0420319564,104.228859394,4620.33479833,2776.65541665,33.0472,2776.65541665,357.524364981,33.0470994208,2001,169.626,4223.56680133,33.0419,2776.65541665,0.293836211652,2001,167.476,1.37509,0.0,-33.1638,4452.96333034
0.997116,33.0795509284,163.101886134,4254.08291912,2795.14971156,33.0841,2795.14971156,324.579668503,33.0846236044,2002,169.671,3783.54685076,33.079,2795.14971156,0.28335259183,2002,167.478,1.1301,0.0,-33.181,4057.04142613
0.998282,33.0874814795,154.021109525,4212.60682904,2653.67573451,33.0925,2653.67573451,348.419764135,33.0921996207,2003,169.737,3775.37780451,33.0881,2653.67573451,0.28588601986,2003,167.548,1.09423,0.0,-33.2115,4050.95627473
0.998519,33.1674980841,236.699407653,4249.11543077,2827.70663011,33.1704,2827.70663011,316.963669184,33.1719073232,2004,169.814,3490.28920996,33.1659,2827.70663011,0.300026889111,2004,167.569,1.34768,0.0,-33.2915,3893.73911175
0.998715,33.0650897523,150.139323889,3677.63456282,2954.88362241,33.07,2954.88362241,297.647729077,33.0693160044,2005,169.91,3079.20981515,33.0657,2954.88362241,0.303509948471,2005,167.693,1.44478,0.0,-33.1789,3398.7132496
0.998951,33.2005371038,121.004244722,4557.51030217,2722.01421167,33.2067,2722.01421167,356.930830908,33.2063553218,2006,169.927,4180.60265567,33.2006,2722.01421167,0.300771273165,2006,167.71,1.43698,0.0,-33.3217,4345.46521686
0.998361,33.180830849,116.940550598,4353.53823415,2615.53127063,33.1856,2615.53127063,337.065084211,33.1867190807,2007,169.969,3896.19534821,33.1798,2615.53127063,0.311498573291,2007,167.747,1.47478,0.0,-33.3063,4090.80705903
0.998793,33.1811718292,79.1949994888,4551.13702512,3024.38292698,33.1868,3024.38292698,358.853576406,33.1866648735,2008,170.019,4221.14192981,33.1813,3024.38292698,0.286615265257,2008,167.757,1.12109,0.0,-33.2953,4356.6669924
0.998983,33.1260999873,1050.68268398,4456.92064457,2782.66310357,33.1309,2782.66310357,339.64209952,33.1309195007,2009,170.081,624.729751054,33.126,2782.66310357,0.284549835625,2009,167.83,1.02249,0.0,-33.2597,3738.883049
0.99906,33.1402678584,348.428404214,4556.20176234,3268.12829414,33.1448,3268.12829414,342.302283837,33.1457936421,2010,170.119,3327.99122107,33.1393,3268.12829414,0.316456612522,2010,167.85,1.70711,0.0,-33.2728,4215.12652457
0.999151,33.2585003248,1094.39182643,4047.84341157,2705.77249166,33.2629,2705.77249166,308.905851685,33.2632198597,2011,170.157,1188.19293424,33.2582,2705.77249166,0.305225153986,2011,167.894,1.40604,0.0,-33.3858,2878.6271079
