StdEsReturn,Epoch,PolicyRegParamNorm,MaxReturn,AverageDiscountedReturn,AverageQLoss,StdReturn,AverageAction,AverageY,MaxEsReturn,AverageAbsQYDiff,AverageQ,AveragePolicySurr,QFunRegParamNorm,AverageAbsY,MinEsReturn,MinReturn,AverageAbsQ,Iteration,AverageEsReturn,AverageReturn
179.522838215,91,47.217,556.328612942,198.827133081,77.504,60.2443746363,0.830806,167.590960124,515.122322699,3.96012778388,167.572,-171.582,82.7407,167.67063063,22.2351645778,151.700568367,167.769,91,265.576410478,451.046420442
115.005017378,92,47.3913,581.684022025,180.244525438,84.0061,88.6618902894,0.844455,169.01620463,402.660741324,4.06465178114,169.011,-173.186,83.2742,169.100575168,16.085504965,152.687939352,169.224,92,188.330527337,384.186542541
153.126040688,93,47.5385,604.711394745,201.319583081,80.5141,99.5872104992,0.810529,171.450202987,459.332614152,4.00274132312,171.435,-175.586,83.7242,171.535329866,40.8401802485,69.9114682248,171.64,93,246.402200465,484.584443442
130.726387924,94,47.7232,795.506932478,198.729254719,85.0124,165.395789458,0.766856,173.257361122,412.523952764,4.12350882762,173.247,-177.391,84.2541,173.343540427,11.3150813678,252.229919549,173.465,94,169.076382249,545.636461281
101.190185375,95,47.8927,493.05316603,155.469713111,84.9261,119.09170704,0.865506,175.31166093,469.908608964,4.08970095905,175.303,-179.38,84.709,175.402232155,153.828378995,42.7655884775,175.517,95,318.251803152,306.822825773
183.65486985,96,48.0465,601.370449938,201.423037597,86.3725,46.4978924677,0.776777,177.153231544,634.568302047,4.18034312154,177.141,-181.34,85.2434,177.242836786,77.2022766251,398.972214887,177.363,96,301.969166777,465.953553438
212.040666204,97,48.2355,713.872842827,227.993736311,87.2069,15.9671271697,0.742418,178.999327482,586.30299627,4.18016337606,178.989,-183.244,85.8187,179.106746238,36.325480807,604.075828419,179.229,97,222.816569068,683.433881042
94.7691152481,98,48.3554,976.105244895,223.501516209,90.8755,133.062273109,0.761591,180.994304435,352.364507126,4.2610045617,180.977,-185.289,86.3458,181.091802369,38.467978206,445.502277173,181.228,98,259.759540101,651.227420741
185.366316388,99,48.4949,675.473352596,200.856605559,98.5606,110.784050014,0.793806,182.889751401,568.62234474,4.35816257195,182.881,-187.217,86.8665,182.991367199,31.3125269986,341.589437228,183.124,99,231.792530081,493.533277612
160.006483602,100,48.6185,901.231171916,211.747869011,93.9221,112.200918436,0.785142,185.098638251,555.608078024,4.27870396084,185.089,-189.352,87.3135,185.222445017,61.2940688323,321.216237468,185.367,100,345.379889287,575.379701403
143.96840301,101,48.7425,949.818451535,227.636317037,99.135,118.174164658,0.805075,186.953474876,434.990107026,4.41122526775,186.94,-191.379,87.7838,187.081019785,12.6649655366,432.12572909,187.22,101,217.029966437,729.688068535
204.849130267,102,48.8618,990.35949536,222.109546521,91.7114,168.399332819,0.79242,189.102877227,597.1104732,4.32264880723,189.09,-193.506,88.2242,189.223645848,26.0131184025,282.510205522,189.367,102,264.806692379,800.937436589
172.044794112,103,48.9652,914.056026624,221.0199329,103.785,88.3964223082,0.808879,191.429421023,480.784472741,4.46142608847,191.417,-195.836,88.7591,191.528458867,60.5866368899,282.648204023,191.674,103,303.652393877,715.68160843
250.820019343,104,49.1017,1118.20551755,224.870989141,104.428,174.668642608,0.83884,193.26971063,801.277224489,4.46312581712,193.254,-197.759,89.2394,193.404746615,36.2903668793,386.589844306,193.54,104,328.571799599,790.000964347
203.943420533,105,49.2512,1636.30203423,221.950339925,95.6816,303.941925171,0.816214,195.240035524,650.485379281,4.40388441255,195.226,-199.718,89.6585,195.349486431,47.121728071,280.935148468,195.49,105,276.753933565,886.246643928
258.424186386,106,49.3577,965.428920217,221.245289427,109.317,176.597084792,0.830715,196.814214023,778.857424537,4.54918696213,196.799,-201.377,90.1384,196.928715254,20.9085575697,281.184296368,197.066,106,295.598546476,800.621245921
185.069134225,107,49.4747,1551.70128207,198.178198639,106.298,327.663041443,0.838623,199.111007047,531.747482942,4.52353385997,199.098,-203.643,90.5706,199.222575073,8.02452032391,257.487374465,199.376,107,250.808377652,667.731033621
168.076800992,108,49.6107,1237.46092574,223.770170331,114.809,163.995648703,0.820045,201.091524075,571.340635346,4.62575554205,201.075,-205.671,91.0604,201.190348263,18.7716128674,285.030334131,201.331,108,173.846610226,826.270762233
186.000248559,109,49.7576,1006.53385375,233.068357664,110.031,172.899809036,0.792873,203.135033539,660.027544335,4.52399380679,203.12,-207.713,91.4755,203.22576822,58.1562532179,351.14274648,203.357,109,227.333982031,832.468037807
188.896870978,110,49.9082,1711.83711685,241.296362399,112.202,297.542058699,0.802956,205.149374607,546.730018404,4.63180472721,205.138,-209.835,91.9722,205.244691234,24.7373236497,527.07839471,205.388,110,280.268110829,1121.32352396
211.325645017,111,50.0514,1447.85445839,223.247924917,118.969,179.027650711,0.783965,206.764992201,578.203496324,4.60385798548,206.751,-211.519,92.4733,206.851517809,17.5031196067,327.377233565,206.988,111,233.364860108,893.9454566
210.405273154,112,50.1713,998.842772244,231.932745355,115.921,119.246729426,0.816215,208.753726771,778.304907917,4.60591455312,208.733,-213.576,92.8973,208.830401254,35.9075718463,632.359513822,208.955,112,310.434303117,843.977359624
228.518108281,113,50.3106,1021.6918194,232.20886333,114.877,89.5916768467,0.79522,210.783799677,629.053435386,4.56744188916,210.777,-215.547,93.2626,210.857031597,16.4439822511,609.172328733,211.004,113,349.672748834,885.03673326
183.027577039,114,50.4511,1335.68390047,225.847480055,127.831,179.490147768,0.818331,212.315333185,621.357917559,4.79902779971,212.301,-217.076,93.67,212.380345205,21.9045838831,580.999045881,212.517,114,239.165367113,778.02188692
218.242375459,115,50.5878,1295.76161674,235.549767537,123.256,137.502224042,0.790674,214.580650975,644.58144807,4.72721469329,214.56,-219.295,94.1054,214.651502786,28.1362703821,427.779101389,214.796,115,362.482714543,943.791998221
234.122123099,116,50.7271,1543.02019329,227.818067777,121.675,238.047058369,0.807238,216.202451259,662.578694401,4.70029047877,216.186,-220.89,94.5307,216.274889816,17.8646708201,418.091688838,216.412,116,307.142650803,938.833140427
186.446773884,117,50.8654,1270.1956356,230.46003367,117.976,167.128625932,0.808291,217.953378981,596.386512654,4.66481618337,217.943,-222.651,94.9647,218.02401022,31.3827694945,544.004160927,218.166,117,193.463473767,877.488209853
173.747048334,118,51.017,1383.67669926,237.125169927,113.679,177.300417028,0.824571,219.649737943,461.236969999,4.65089061329,219.632,-224.389,95.3391,219.722304005,40.3116763488,435.348008911,219.867,118,293.243800044,903.126627101
140.559117348,119,51.1047,1146.21108868,216.979533287,120.31,133.732024983,0.853426,221.37593038,529.761553713,4.76040541053,221.362,-226.195,95.7523,221.455682667,144.570942251,604.413557272,221.593,119,344.606201621,784.780946058
226.00136014,120,51.2722,1322.8305895,220.732343047,127.246,171.12137068,0.850047,222.929013798,720.5136883,4.7880312708,222.916,-227.711,96.1319,223.006365475,21.0469443604,628.77534051,223.153,120,418.665501273,835.530460419
207.849275078,121,51.3545,1295.50120092,232.42669966,127.218,81.4993663263,0.852209,224.363176405,736.455219067,4.80347154776,224.348,-229.195,96.4735,224.428747556,155.367702873,825.720303252,224.584,121,556.16598086,936.02401742
280.974537316,122,51.4559,1423.98145656,234.13335961,127.17,152.517317662,0.822815,226.078392084,756.22075898,4.90207289502,226.058,-230.864,96.8854,226.139225521,18.3293195827,644.803172154,226.289,122,255.677436796,966.272187735
269.050290322,123,51.5886,1836.57555412,235.790761576,142.033,316.41273464,0.824021,227.581371324,632.491872859,5.04288761567,227.571,-232.504,97.3061,227.640874689,31.5322049076,913.209954291,227.796,123,318.341592568,1197.25412427
195.046825363,124,51.7666,2010.36970322,226.916334167,133.132,311.386421132,0.814321,228.930604148,554.985303945,5.00174285197,228.918,-233.791,97.7176,229.010808364,30.0703284263,347.673343685,229.169,124,207.916957052,967.148705855
