MaxReturn,PolicyRegParamNorm,AverageY,AverageAbsQYDiff,MinEsReturn,AverageQ,MaxEsReturn,Iteration,StdReturn,AverageAbsY,AverageQLoss,StdEsReturn,AverageAbsQ,AverageAction,MinReturn,QFunRegParamNorm,AverageEsReturn,AverageReturn,AverageDiscountedReturn,AveragePolicySurr,Epoch
3508.43803791,38.3813,67.4947899273,1.46381897364,2237.79271185,67.4837,2237.79271185,72,969.237965431,67.4952750492,6.90226,0.0,67.4837,0.854696,-154.766647291,40.9613,2237.79271185,1507.64322916,256.759081448,-68.9352,72
3588.64181954,38.6405,69.2420854612,1.460061222,2159.04952708,69.2315,2159.04952708,73,639.982631624,69.2426214069,7.66169,0.0,69.2315,0.850828,1390.82326676,41.2999,2159.04952708,3220.8393041,295.513788486,-70.6721,73
3539.37841507,38.9735,70.9256333628,1.42712878911,1285.51305622,70.9143,1285.51305622,74,1030.87894069,70.9258999302,5.38294,0.0,70.9143,0.852609,212.810871085,41.6011,1285.51305622,2941.21555944,262.757581402,-72.3674,74
3669.42566524,39.2389,72.8209824096,1.49482738486,2003.83988127,72.8076,2003.83988127,75,57.7589720923,72.8216845358,7.93467,0.0,72.8076,0.851058,3467.23565015,41.8991,2003.83988127,3578.64540892,301.48920315,-74.25,75
3165.647714,39.5015,74.8785925622,1.501405585,2396.56203492,74.8666,2396.56203492,76,781.642256729,74.879136615,7.47977,0.0,74.8666,0.852088,933.415930005,42.1688,2396.56203492,2278.20601666,269.244024941,-76.3226,76
3439.60069233,39.7275,76.0988004439,1.53036139767,1744.97166294,76.0866,1744.97166294,77,63.6394808857,76.0994793507,8.43025,0.0,76.0866,0.839904,3248.58353393,42.4982,1744.97166294,3353.81801662,278.1240564,-77.5666,77
3366.47859583,39.9787,77.8438556576,1.57063021036,940.552658102,77.8292,940.552658102,78,1285.23508768,77.8443424753,9.52292,0.0,77.8292,0.872088,-48.2616563896,42.8552,940.552658102,2540.55906466,266.395036543,-79.3199,78
3680.34381193,40.2462,79.7640954983,1.53510488172,2455.68338811,79.7543,2455.68338811,79,1155.41319424,79.7644911355,8.04665,0.0,79.7543,0.861837,471.15498633,43.1081,2455.68338811,2936.34434544,274.550721796,-81.2305,79
3559.92502251,40.4774,81.3320203262,1.53658602197,1146.00889439,81.3195,1146.00889439,80,1283.18375113,81.332530679,7.78468,0.0,81.3195,0.868868,172.146053671,43.3947,1146.00889439,1748.32212434,235.939019683,-82.8459,80
3438.423655,40.7352,83.1692517201,1.58503265682,2377.80945284,83.1584,2377.80945284,81,95.9986791399,83.1697586426,9.17396,0.0,83.1584,0.873988,3087.59538731,43.6941,2377.80945284,3306.98954965,276.568062893,-84.6856,81
3305.07295942,40.9964,85.2341352405,1.56851906057,2421.658754,85.2238,2421.658754,82,373.627081287,85.234713091,8.47928,0.0,85.2238,0.846729,2001.6528309,43.9642,2421.658754,3115.94744716,266.582406192,-86.7703,82
3606.16634726,41.2155,87.0089052394,1.6299599427,2171.10523168,86.9936,2171.10523168,83,485.793424991,87.0094211647,9.83119,0.0,86.9936,0.859354,1911.0175793,44.2629,2171.10523168,3358.70532832,296.674276893,-88.5374,83
3791.53872863,41.4557,88.6114860265,1.67775899779,951.414603574,88.5979,951.414603574,84,1225.21246146,88.611915352,11.0061,0.0,88.5979,0.87705,108.268788206,44.5921,951.414603574,2848.96344513,282.133322891,-90.1489,84
3806.40349537,41.673,89.805129515,1.72997929003,1071.72494287,89.7915,1071.72494287,85,951.750692389,89.8057840668,11.9694,0.0,89.7915,0.868362,502.077378066,44.894,1071.72494287,3336.36570297,303.964868661,-91.3979,85
