StdReturn,Epoch,MaxReturn,AverageAbsQ,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,MinReturn,MaxEsReturn,MinEsReturn,PolicyRegParamNorm,AverageAbsY,StdEsReturn,AverageQLoss,AverageReturn,AverageY,Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageAbsQYDiff
659.895761513,94,2493.36628195,80.1686,206.658057066,1262.58536432,45.6529,171.047706622,1262.58536432,1262.58536432,40.909,80.1848938963,0.0,9.259,1644.3565341,80.1847691808,94,0.928828,-81.4736,80.1686,1.57208295427
494.6376298,95,2694.8421116,81.1808,209.109081263,965.435266601,45.9422,1239.87875655,965.435266601,965.435266601,41.0964,81.1933633418,0.0,10.3101,2028.79100836,81.1932493867,95,0.932388,-82.495,81.1808,1.58998104347
431.069946107,96,2827.33171844,82.2491,224.097505734,1214.78564179,46.1749,1431.89673076,1214.78564179,1214.78564179,41.3102,82.2651604996,0.0,10.2703,2452.29509347,82.2648397615,96,0.936303,-83.6064,82.2491,1.56969690771
498.924028226,97,1567.48488547,83.5303,143.65009773,907.033622956,46.4591,-337.467076364,907.033622956,907.033622956,41.4652,83.5442149578,0.0,9.10935,925.674661323,83.5441059052,97,0.934806,-84.8672,83.5303,1.55444710538
554.078163383,98,2866.13652157,84.488,206.47347914,1128.37605278,46.7527,1180.78641157,1128.37605278,1128.37605278,41.6972,84.4991211594,0.0,10.6222,1828.80900693,84.4987235947,98,0.939214,-85.8302,84.488,1.59750189372
108.680139555,99,1452.18802472,85.8961,170.182720925,814.772879987,47.0215,1122.75665296,814.772879987,814.772879987,41.9014,85.9117018533,0.0,11.3459,1260.73385364,85.9115614801,99,0.927633,-87.2689,85.8961,1.65185902821
486.25960181,100,2654.55202538,87.4531,167.366379206,2145.74473897,47.3146,1140.62766304,2145.74473897,2145.74473897,42.0505,87.4675225451,0.0,12.044,1644.65934284,87.4670970399,100,0.93985,-88.8142,87.4531,1.63384960089
546.330168187,101,2724.02946375,88.5697,210.217853627,1464.71651789,47.5391,414.293779302,1464.71651789,1464.71651789,42.2138,88.580888953,0.0,11.8316,1296.66598552,88.5806784086,101,0.932622,-89.9062,88.5697,1.6360098396
700.880368816,102,3357.30088684,89.9764,230.32674496,2031.38244917,47.9544,1059.4797729,2031.38244917,2031.38244917,42.3718,89.9937411487,0.0,14.7695,1812.79470436,89.9932629011,102,0.937012,-91.3237,89.9764,1.75025281241
424.070494268,103,2844.73627209,91.6123,225.138386523,939.315930351,48.1791,1586.94217219,939.315930351,939.315930351,42.5986,91.6261279399,0.0,10.2436,2269.61152373,91.6259904956,103,0.944433,-93.0037,91.6123,1.62880469594
343.588029442,104,2268.19059337,92.4519,196.510587266,1574.93727489,48.4466,1040.55312631,1574.93727489,1574.93727489,42.8621,92.4690214255,0.0,15.1546,1461.19355596,92.4686776319,104,0.935027,-93.8656,92.4519,1.77361020121
572.348572793,105,2932.89025693,93.5848,194.487280843,899.796140808,48.702,721.373965558,899.796140808,899.796140808,43.0604,93.598830883,0.0,12.7354,1451.32389607,93.5983527998,105,0.937841,-94.9773,93.5848,1.67371275319
903.680553122,106,3423.81241529,94.7448,237.801306489,1324.17169311,49.002,1018.52825654,1324.17169311,1324.17169311,43.2714,94.7591596801,0.0,13.7323,2249.45743596,94.7588110586,106,0.932339,-96.1332,94.7448,1.71820843719
