StdEsReturn,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,MaxEsReturn,AverageAbsY,MinReturn,AverageQLoss,AverageQ,Epoch,AverageAbsQYDiff,AverageAction,Iteration,QFunRegParamNorm,AverageAbsQ,MinEsReturn,StdReturn,AverageEsReturn,AverageReturn,AverageY,PolicyRegParamNorm
90.7960906066,-13.0724,181.203037902,373.037529716,377.240268564,12.7423395939,363.257245612,0.652699,12.7369,76,0.350878024239,0.650772,76,32.9532,12.7486,92.1265615927,2.21657530695,232.966157554,367.691322445,12.7381133729,35.688
105.3255955,-13.2608,155.532095207,308.507457653,327.86753968,12.9201679926,259.453062246,0.631298,12.9134,77,0.356248093627,0.661831,77,33.2265,12.9265,47.1329780341,13.9605612245,192.661816251,287.403672166,12.9157751887,35.8283
98.6910530692,-13.4676,166.11827532,381.432871237,355.114184686,13.1285413226,253.931789803,0.568674,13.1226,78,0.340921925999,0.696146,78,33.4118,13.1366,69.2297247518,56.3036157586,190.481962525,327.288446637,13.1248350737,36.0044
127.849058905,-13.6794,121.351568515,345.521304517,384.681323043,13.3303938277,117.789258293,0.632007,13.3237,79,0.356558934279,0.766932,79,33.6505,13.3348,7.30056452139,41.8341979594,156.716390169,200.710869275,13.3260715888,36.2493
117.771193474,-13.793,184.390522027,410.149681874,409.464280321,13.4542787659,302.567069366,0.670187,13.4479,80,0.357991753394,0.692238,80,33.8799,13.4602,15.9659145035,10.3350138681,185.317405101,381.093598814,13.4499634418,36.4004
135.457613963,-13.9595,188.299025174,456.26684176,444.140830797,13.6042083892,362.108651277,0.636072,13.598,81,0.353775313624,0.669669,81,34.117,13.6095,6.71061096463,34.129822866,238.266857247,413.507935595,13.6001744842,36.5659
110.196754817,-14.1586,107.221944437,428.401849389,360.567028539,13.8035050902,118.843816602,0.661184,13.7982,82,0.361277118816,0.735408,82,34.3008,13.8105,45.145429176,82.7934340699,190.598194319,170.510252964,13.8001283168,36.7517
133.80982922,-14.313,156.740564123,342.370948061,422.498826064,13.9494826048,262.323630242,0.722003,13.9431,83,0.380060686761,0.637138,83,34.5143,13.9531,12.2305523077,14.3740696999,220.655190845,293.672965806,13.9460633884,36.9788
100.301382425,-14.5565,153.387762721,404.678974915,391.393580379,14.1942201307,222.583909237,0.706294,14.1897,84,0.366267935409,0.69517,84,34.7333,14.2013,25.381842829,44.0253655097,192.49420885,286.713112932,14.1913414842,37.1533
112.3359197,-14.6181,182.482678788,499.858118777,400.746014223,14.2452176883,320.498349489,0.772169,14.2401,85,0.38315503998,0.663429,85,35.0104,14.2525,8.67180829168,65.0988615842,169.208866323,427.261889149,14.2424146347,37.313
106.817824555,-14.8341,161.528294172,455.2892356,357.119619584,14.4534744492,250.129713067,0.717252,14.4478,86,0.377320477099,0.669275,86,35.2277,14.4584,7.05428645168,51.3618640173,135.658675742,326.515834817,14.4497882647,37.5367
141.303941767,-14.9049,163.377783928,505.571567075,404.651135723,14.525733134,226.082776744,0.843289,14.5195,87,0.39462952215,0.683284,87,35.4736,14.5335,16.2089457394,86.742374693,191.872662406,341.685977824,14.5219204198,37.669
115.714395967,-15.1622,186.274270018,455.086466461,372.961728027,14.7850889008,338.326302626,0.795378,14.7787,88,0.389053503368,0.683234,88,35.6924,14.7893,13.5714940945,32.3896918168,143.790765576,399.757111131,14.7817455771,37.8874
104.74904261,-15.2618,181.423992308,433.160512669,377.649381708,14.8763758562,294.445151078,0.722753,14.8716,89,0.390050136238,0.673396,89,35.8744,14.8834,18.639040769,37.2306670153,187.393920733,381.471197501,14.8741591674,38.0467
128.338478142,-15.4426,167.700875105,446.285306769,372.591014455,15.0643834904,240.497188339,0.818892,15.0592,90,0.393275730379,0.716475,90,36.096,15.0712,8.15141905685,25.7296517242,176.764586469,339.728198534,15.0616164878,38.248
72.4720735498,-15.5951,193.994935266,468.903111179,299.99655629,15.2263653699,368.00329338,0.790407,15.2218,91,0.389049474016,0.675171,91,36.3194,15.2335,47.7034633459,18.4451432928,175.187292672,432.602474908,15.2235537466,38.4494
96.0481705684,-15.6934,191.318482326,503.412852296,334.594581306,15.3241326753,267.484169931,0.882839,15.3184,92,0.404630281977,0.674157,92,36.588,15.3298,30.8743819327,56.4151430723,180.919862928,415.851941694,15.3211393175,38.6901
112.237541552,-15.918,192.652645705,427.016258084,452.628072871,15.5614385025,386.776564693,0.803374,15.556,93,0.392622397727,0.71207,93,36.7982,15.5682,59.5634666079,9.28970663361,195.660337778,415.573562227,15.5587036889,38.8415
133.08619417,-16.0364,195.077629552,487.048805907,448.626047365,15.6716508445,345.948232078,0.908392,15.6665,94,0.4065040537,0.676832,94,37.0218,15.6792,7.48497050101,36.5958839563,186.094058803,435.293947803,15.6681016823,38.9933
107.42354767,-16.1414,187.246416723,579.612636189,369.819118576,15.7676439492,336.68136147,0.846992,15.7596,95,0.41407741189,0.684721,95,37.2557,15.775,75.1355470306,49.5936887769,208.041973773,428.147308536,15.7634229495,39.148
116.861773021,-16.3364,189.630181055,497.729240565,354.72555174,15.9676062283,63.7003250378,0.888165,15.962,96,0.418765456967,0.707216,96,37.5128,15.9744,36.0706650749,100.368781543,163.760328449,432.545286289,15.9646487832,39.4069
137.02810258,-16.4203,172.605602807,482.244539143,462.272140881,16.0455485768,69.7162065342,0.912839,16.04,97,0.421082254958,0.696586,97,37.7064,16.0538,10.8275464774,154.421209353,203.893017552,383.863808033,16.0429691942,39.5521
127.457383234,-16.5466,166.618364974,468.580881122,370.910545577,16.1741366439,243.124727536,0.957714,16.1677,98,0.418744732207,0.652757,98,37.9025,16.18,14.9675050492,59.2348740301,196.132936559,329.49453384,16.1710342038,39.7394
154.561358453,-16.6917,154.498759591,494.506168803,530.37313424,16.3077833477,140.992228024,0.933713,16.3031,99,0.422793201767,0.669309,99,38.0979,16.3148,5.49140673535,71.7691047456,160.868532923,289.456397011,16.3049617257,39.9786
115.999505255,-16.8486,193.171406891,459.075609085,474.393417985,16.4781498303,368.110103484,0.843974,16.4724,100,0.41874431982,0.713389,100,38.2812,16.4853,71.7245821453,25.55803531,230.122268139,416.02828466,16.4754096827,40.1211
92.9239419613,-16.9361,173.838310135,461.844780098,339.892891593,16.5554609666,279.002080762,0.962939,16.55,101,0.435297721317,0.679354,101,38.5057,16.5629,38.7245408199,67.7867472735,145.400791917,352.527726811,16.5526477067,40.2608
117.342796639,-17.0459,165.891541282,485.790255588,437.682006891,16.6680185431,274.571557687,1.06738,16.6619,102,0.447755037217,0.71513,102,38.7194,16.6734,13.9426672873,72.8197474708,148.759908314,346.202479877,16.664769847,40.4032
158.594574828,-17.1792,191.492107678,438.973341332,541.165625348,16.794567719,386.639898385,0.896645,16.7887,103,0.422983156755,0.700085,103,38.9201,16.8017,8.41934005418,10.7365113596,203.616203809,417.404845288,16.7909584144,40.5246
127.824512534,-17.3217,192.687093498,446.051971721,431.029069016,16.942028177,405.114701895,1.04012,16.9346,104,0.453314550188,0.718536,104,39.1157,16.9528,6.37737900967,8.64948268946,183.34689942,424.399573648,16.9372268912,40.6037
132.257375424,-17.4423,212.977367097,723.534372931,510.095709964,17.0656279754,430.279259194,1.07153,17.0578,105,0.444036786134,0.712028,105,39.2952,17.0732,77.2462228286,98.871777899,196.311864637,574.153122488,17.0601583961,40.7701
151.558306048,-17.5684,201.021635363,456.887360526,583.567975869,17.1583458579,430.910367549,0.99323,17.1502,106,0.440937248107,0.69544,106,39.4924,17.1675,39.3025725065,4.70489678617,176.431627981,444.437633944,17.1522054404,40.8884
106.94996308,-17.7765,205.834986224,533.551862927,402.853731987,17.3641029148,389.381472515,0.990665,17.3577,107,0.447467003994,0.682653,107,39.7143,17.373,4.5377243766,45.1108350323,151.120701052,490.217422288,17.3599443201,40.9883
120.808122386,-17.894,116.001769071,286.158953386,347.341437993,17.4831954261,152.719933437,1.18584,17.4767,108,0.476674693135,0.713018,108,39.9003,17.4901,9.78228730892,40.0176878237,193.378741768,186.237899297,17.4795973562,41.1245
118.766427991,-18.0609,212.539311351,690.124571265,407.261165339,17.6593397081,395.735303092,1.05225,17.6533,109,0.456348798317,0.606523,109,40.0665,17.667,10.5099663492,43.987583852,164.25358848,566.390048235,17.6552946519,41.23
116.659173606,-18.2372,195.432124281,443.717211223,437.423819221,17.8174199113,416.266778326,1.26582,17.8121,110,0.483799743639,0.705407,110,40.2569,17.8238,41.3623290809,5.53607269624,202.274937654,429.947471675,17.8147983805,41.3135
166.334641612,-18.3298,223.248921881,667.383947358,479.362682965,17.915221072,589.678167252,1.00582,17.9088,111,0.461265887957,0.651374,111,40.4099,17.9251,37.9743421934,24.977389552,255.760485061,623.650560882,17.9105060077,41.4512
169.273591355,-18.4682,223.215726179,674.481071306,506.447382631,18.070005895,619.996876772,1.18298,18.0602,112,0.476168032305,0.594725,112,40.5626,18.0781,16.7427335313,13.938019998,191.235310194,641.228792969,18.0628269254,41.6182
180.298135118,-18.621,231.910883818,732.722886483,587.194887054,18.2171064023,626.066388444,1.18149,18.2076,113,0.477185676554,0.664188,113,40.6974,18.2261,11.5338511503,31.478872818,301.51237717,691.910482076,18.2111243648,41.7462
161.658505448,-18.7679,235.868042003,751.564749906,493.561295204,18.3870692492,512.887149063,1.24633,18.3811,114,0.483981355934,0.684033,114,40.8635,18.3973,3.32430111465,47.7485155231,204.900643002,712.17973969,18.3823375789,41.9444
179.701037526,-18.8673,231.598064502,747.36419294,463.727387182,18.4721553459,688.35224905,1.00236,18.4657,115,0.458681940146,0.667935,115,41.0339,18.4804,8.00113132572,13.6727450945,278.268923681,715.927635228,18.4674270722,42.1063
226.188770576,-19.0251,109.48644856,681.594301828,707.919150561,18.6487667704,72.8469519471,1.13686,18.6399,116,0.483877047422,0.698872,116,41.2268,18.6571,50.3659108512,236.271790645,291.405775975,227.194702892,18.6432003275,42.2402
107.378174212,-19.084,202.853351597,491.971654718,368.247773627,18.6848553968,465.272680438,1.28112,18.678,117,0.488898854649,0.687088,117,41.368,18.6925,39.2090601029,6.49320778712,186.110062771,473.400567777,18.6802397753,42.4643
75.6033039934,-19.2013,202.288337194,498.841561452,544.485788292,18.8176545048,452.051971422,1.31709,18.8059,118,0.499636618826,0.727059,118,41.5336,18.8249,283.146909487,10.7281484085,388.80233058,471.617437763,18.8087339988,42.6177
247.478376223,-19.294,234.521553237,1094.36649056,897.090515681,18.8972437885,269.741811234,1.23043,18.8889,119,0.473856538383,0.673307,119,41.6578,18.905,52.6676930514,247.693050408,299.270730664,873.521859986,18.8915449625,42.7704
120.414702557,-19.4432,127.118597746,511.847556436,531.505283802,19.0334649397,92.5289839098,1.34597,19.0258,120,0.496096343551,0.723405,120,41.8558,19.0396,62.1368152804,50.3869025671,289.506695758,214.539985757,19.0288448481,42.9514
132.7563596,-19.5637,244.708857474,857.293518508,486.046653834,19.167907654,515.061406754,1.23312,19.1619,121,0.488459817142,0.670678,121,42.0317,19.1759,56.1570149141,51.4855463693,222.896634746,780.851427991,19.1629067474,43.1657
