StdEsReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AverageQ,AverageY,AveragePolicySurr,AverageQLoss,MinReturn,PolicyRegParamNorm,MaxEsReturn,MaxReturn,Epoch,AverageEsReturn,AverageAbsY,AverageAction,AverageAbsQYDiff,StdReturn,Iteration,AverageAbsQ,AverageDiscountedReturn
0.0,2201.03263279,41.4599,1709.21605479,54.3133,54.3322897374,-55.5977,5.77526,1004.09712222,35.8092,1709.21605479,3447.29795483,72,1709.21605479,54.3328412655,0.905834,1.33532685769,995.000328785,72,54.3133,246.544242547
0.0,2846.8150771,41.8311,2121.64667265,55.9955,56.0092782818,-57.319,7.6182,1363.31580423,36.0639,2121.64667265,3402.369661,73,2121.64667265,56.010067614,0.899293,1.40854214246,636.125299299,73,55.9955,264.274938974
0.0,1789.44613401,42.2412,757.632585594,56.5892,56.6071450877,-57.8483,6.98347,817.27297041,36.2475,757.632585594,2958.7626218,74,757.632585594,56.6077548939,0.912935,1.39028217998,602.659042264,74,56.5892,264.687465983
0.0,2965.43027102,42.6011,473.094035014,57.7203,57.7337516581,-58.965,6.75153,1195.49104255,36.4367,473.094035014,3395.29921127,75,473.094035014,57.7344108074,0.917556,1.3817717467,695.579153221,75,57.7203,259.404365923
0.0,3128.27800737,42.9131,1179.94891938,59.4186,59.4306147039,-60.714,7.18041,1642.94823982,36.6419,1179.94891938,3441.22634502,76,1179.94891938,59.4308988347,0.938731,1.3720028249,508.676202874,76,59.4186,253.4239835
0.0,2894.08037366,43.2512,2411.94066458,60.8727,60.8833740212,-62.1328,5.68663,1056.59674861,36.8744,2411.94066458,3430.63042418,77,2411.94066458,60.8837275666,0.924332,1.33797992262,798.447151347,77,60.8727,264.597319489
0.0,1335.61167758,43.63,1787.78644579,62.5638,62.5761516544,-63.8319,7.98819,977.54036059,37.0898,1787.78644579,2237.29115555,78,1787.78644579,62.5765829354,0.885905,1.44316200165,384.535477031,78,62.5638,238.128178567
0.0,1281.16246239,44.0452,1178.3353809,64.3108,64.3264050036,-65.6003,8.81962,807.617636341,37.3257,1178.3353809,2259.33206393,79,1178.3353809,64.3269508768,0.916342,1.45846425018,461.978170032,79,64.3108,240.076622795
0.0,2363.84160243,44.3909,2331.7712664,65.4445,65.4565791334,-66.7257,9.24956,833.928960364,37.6017,2331.7712664,3866.34027651,80,2331.7712664,65.4570679969,0.912714,1.50241182949,961.909706513,80,65.4445,291.22631286
0.0,1400.71190453,44.7509,804.360910324,66.8514,66.8644978258,-68.1809,9.10559,712.588127411,37.8863,804.360910324,2262.99333323,81,804.360910324,66.8650317359,0.925462,1.50612947058,550.673123018,81,66.8514,247.407655849
