PolicyRegParamNorm,AveragePolicySurr,MaxReturn,AverageAction,AverageQLoss,Epoch,AverageReturn,AverageY,AverageAbsY,AverageAbsQYDiff,Iteration,MinEsReturn,MinReturn,AverageAbsQ,StdEsReturn,AverageEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,QFunRegParamNorm,MaxEsReturn
61.6307,-6.5501,1000.0,0.196046,0.188453,100,1000.0,6.01871996225,6.01977978855,0.159226470488,100,4.0,1000.0,6.03037,18.5688184979,23.6428571429,0.0,6.01848,99.9956828753,69.6934,86.0
61.8279,-6.60037,1000.0,0.267732,0.197068,101,1000.0,6.08257765364,6.08442082539,0.155546036273,101,3.0,1000.0,6.09633,17.0725027039,21.6170212766,0.0,6.08225,99.9956828753,69.9017,78.0
62.0042,-6.62432,1000.0,0.187238,0.214098,102,1000.0,6.1079202515,6.10965915861,0.16840049612,102,3.0,1000.0,6.12264,19.5962455462,22.1777777778,0.0,6.10735,99.9956828753,70.2103,82.0
62.1621,-6.67411,1000.0,0.201635,0.17081,103,1000.0,6.15905608049,6.16046746416,0.147242127405,103,4.0,1000.0,6.17157,15.4394786181,24.65,0.0,6.15882,99.9956828753,70.4494,70.0
62.2987,-6.7395,1000.0,0.162683,0.194686,104,1000.0,6.21825004881,6.21947339031,0.154886424531,104,3.0,1000.0,6.23224,16.7402713954,19.6153846154,0.0,6.21854,99.9956828753,70.6008,96.0
62.3774,-6.80601,1000.0,0.274122,0.196036,105,1000.0,6.26250399056,6.26318874493,0.156454329096,105,3.0,1000.0,6.27643,20.4908215369,24.8461538462,0.0,6.26217,99.9956828753,71.1559,82.0
62.481,-6.83811,1000.0,0.251564,0.236624,106,1000.0,6.3028169876,6.30336570303,0.176307022064,106,3.0,1000.0,6.31731,12.9358028224,19.2830188679,0.0,6.30241,99.9956828753,71.5202,61.0
62.5397,-6.86913,1000.0,0.362173,0.198262,107,573.166666667,6.3437747116,6.34486366957,0.151841597279,107,3.0,209.0,6.35553,15.0373684194,17.8571428571,258.669082892,6.34353,97.8481602497,71.8091,84.0
62.6424,-6.92083,1000.0,0.252324,0.204954,108,1000.0,6.3957023421,6.39664287068,0.160245475901,108,3.0,1000.0,6.40996,13.7730421191,18.9622641509,0.0,6.39579,99.9956828753,72.034,70.0
62.76,-6.96737,1000.0,0.237351,0.196198,109,1000.0,6.41625960136,6.41673678571,0.159054456746,109,3.0,1000.0,6.42921,11.8080793196,17.0172413793,0.0,6.416,99.9956828753,72.2756,68.0
62.8632,-6.99483,1000.0,0.266156,0.227799,110,977.818181818,6.455607407,6.45659155664,0.16724725738,110,3.0,791.0,6.47128,11.9153829331,16.393442623,59.9193673073,6.45548,99.9927032786,72.6622,80.0
