AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageY,AverageReturn,Iteration,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,AveragePolicySurr,MinReturn,StdEsReturn,QFunRegParamNorm,AverageQLoss,Epoch,AverageAction,MaxReturn,PolicyRegParamNorm,AverageAbsY,StdReturn,AverageEsReturn
0.0597301505091,556.038934997,1.66123,1.66175438384,729.638692122,59,51.2411032389,1.66123,556.038934997,-1.74445,338.703325769,0.0,24.5055,0.00886749,59,0.848492,830.180724812,30.3657,1.66179200312,142.74755883,556.038934997
0.0609737383555,505.342039734,1.72903,1.72964652951,902.780859535,60,54.0274102646,1.72903,505.342039734,-1.8121,702.887115565,0.0,24.7353,0.00950446,60,0.907227,976.159774725,30.5747,1.7296879882,72.9205410247,505.342039734
0.0617474288425,500.874809729,1.79795,1.79852347942,780.740275122,61,26.7682033982,1.79795,500.874809729,-1.88198,477.692019293,0.0,24.948,0.0103173,61,0.85332,921.392550001,30.8134,1.79855891113,120.925093918,500.874809729
0.0614847526481,467.007407771,1.8709,1.87145055588,748.023907222,62,52.8353847423,1.8709,467.007407771,-1.95129,664.062928232,0.0,25.2095,0.0096111,62,0.858493,819.295535028,31.0221,1.87148553119,40.8268133926,467.007407771
0.060828743515,533.307450127,1.93674,1.93713875154,741.503688785,63,56.837965691,1.93674,533.307450127,-2.01712,667.09042318,0.0,25.391,0.00975093,63,0.83601,821.395079752,31.1975,1.93718902046,45.3748173842,533.307450127
0.0623609611461,601.38247227,2.00646,2.00699819534,709.135448254,64,50.5034185337,2.00646,601.38247227,-2.08909,613.24980082,0.0,25.6314,0.0104833,64,0.815682,788.7102448,31.451,2.00704794462,56.8610010032,601.38247227
0.0643619334857,543.015731193,2.06991,2.07061070549,727.386560649,65,63.5263956719,2.06991,543.015731193,-2.15141,30.0447374818,0.0,25.7987,0.0115928,65,0.849377,847.312073678,31.6569,2.07063865359,239.204640249,543.015731193
0.0636994507316,596.898381107,2.14238,2.14302471765,591.684335713,66,23.7637189853,2.14238,596.898381107,-2.22449,173.240724173,0.0,26.0268,0.0116299,66,0.855585,782.275648815,31.8623,2.14306046216,176.338405825,596.898381107
0.0638151635825,574.05573297,2.20992,2.21023601487,860.466399796,67,59.7288293711,2.20992,574.05573297,-2.29499,722.496444735,0.0,26.267,0.0118693,67,0.859755,1001.00253098,32.0644,2.21029218214,95.1446854833,574.05573297
0.0649890757208,396.950444717,2.28291,2.283538894,740.166785409,68,65.7034125983,2.28291,396.950444717,-2.36619,696.736740767,0.0,26.4567,0.0120146,68,0.896395,808.618348855,32.3308,2.28356925169,32.9579573982,396.950444717
0.0669009661378,570.996898923,2.34996,2.35056004128,899.782053747,69,71.6318217255,2.34996,570.996898923,-2.43512,779.148969356,0.0,26.6304,0.0146997,69,0.877288,1014.31713406,32.6418,2.35061212735,71.5305222519,570.996898923
0.0649175502906,573.521428114,2.42587,2.42632675406,793.145146143,70,70.8316011274,2.42587,573.521428114,-2.50833,708.280893388,0.0,26.829,0.0124543,70,0.909606,887.446595851,32.8779,2.4263832715,61.2762398828,573.521428114
0.0673955361926,702.602526924,2.49526,2.49577110616,564.944460073,71,41.6436676421,2.49526,702.602526924,-2.57799,137.992882469,0.0,27.0378,0.0146502,71,0.86644,816.819254706,33.0608,2.49580304111,233.681312734,702.602526924
0.0678121388644,591.001635109,2.56776,2.56843955402,789.475228138,72,73.1014899911,2.56776,591.001635109,-2.65056,650.118693006,0.0,27.2416,0.0142068,72,0.895715,995.837542089,33.309,2.5684815302,93.7927893573,591.001635109
0.0696676150124,513.774832477,2.64396,2.64460518673,675.473890502,73,36.1272779606,2.64396,513.774832477,-2.72895,437.572446371,0.0,27.4451,0.0158991,73,0.893412,868.512923172,33.5315,2.64464891821,135.038325596,513.774832477
0.0698028642499,507.583932623,2.71439,2.71498023287,817.052054413,74,63.5463870649,2.71439,507.583932623,-2.79852,723.899949226,0.0,27.6322,0.0152421,74,0.889704,888.556446387,33.7424,2.71500230668,51.3338715318,507.583932623
0.0708235112326,593.065361367,2.78123,2.78178104233,757.890232726,75,70.2800555375,2.78123,593.065361367,-2.86372,489.148571164,0.0,27.8386,0.0160396,75,0.875818,856.24710096,33.9748,2.78180716035,95.5974900741,593.065361367
0.0708889088196,628.341794194,2.8476,2.84818559295,821.354823318,76,74.7178383697,2.8476,628.341794194,-2.9305,656.647100721,0.0,28.0701,0.0159977,76,0.877418,934.865572241,34.268,2.84820871591,87.6413245791,628.341794194
0.0727437721443,578.690611091,2.92322,2.9240147304,848.905569658,77,50.4149876894,2.92322,578.690611091,-3.00719,705.92825687,0.0,28.266,0.015723,77,0.881446,985.967839164,34.4961,2.92403454411,78.4495169437,578.690611091
0.0773415373176,710.255523087,2.99971,3.00047273959,748.091417161,78,67.1053193691,2.99971,710.255523087,-3.08597,519.925179865,0.0,28.4753,0.0197473,78,0.914735,876.9803679,34.7054,3.00049698401,92.828099813,710.255523087
0.0777769973755,262.144809476,3.08021,3.08113707659,1004.81638327,79,69.8022405218,3.08021,262.144809476,-3.16826,906.109933702,0.0,28.6877,0.0216452,79,0.883086,1086.16960594,34.9106,3.08119199905,59.2311291392,262.144809476
0.0764970428982,542.427252803,3.15155,3.15225463928,947.124674047,80,76.0934483859,3.15155,542.427252803,-3.24064,884.32097114,0.0,28.9058,0.0210635,80,0.922044,1033.21223201,35.1604,3.15229453348,44.3836502662,542.427252803
