AverageAbsY,AverageQ,AverageAbsQ,AverageQLoss,MinReturn,Iteration,AverageDiscountedReturn,AverageReturn,AverageEsReturn,MaxEsReturn,AverageY,PolicyRegParamNorm,StdReturn,StdEsReturn,AveragePolicySurr,MaxReturn,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageAction,Epoch
4.18805110392,4.18542,4.19426,0.101287,54.0,59,90.4066722578,842.5,16.3709677419,58.0,4.1859156872,29.0768,352.180943077,13.9101191653,-4.6488,1000.0,0.123733225955,43.667,3.0,0.316394,59
4.24947003985,4.24596,4.25644,0.113316,1000.0,60,99.9956828753,1000.0,17.5263157895,62.0,4.24640002567,29.3142,0.0,16.7521721693,-4.73136,1000.0,0.132429353656,44.1149,3.0,0.34724,60
4.35353404811,4.3494,4.36108,0.117286,1000.0,61,99.9956828753,1000.0,14.3529411765,67.0,4.35000595461,29.4881,0.0,14.4921527507,-4.85007,1000.0,0.134334380182,44.4843,3.0,0.265321,61
4.46780587278,4.46465,4.47546,0.122197,1000.0,62,99.9956828753,1000.0,18.0178571429,96.0,4.46512175522,29.6612,0.0,18.707801153,-4.93712,1000.0,0.136449340747,44.8422,3.0,0.210517,62
4.55295517076,4.55013,4.56171,0.126478,1000.0,63,99.9956828753,1000.0,22.4772727273,71.0,4.55043875328,29.9446,0.0,21.4925871326,-5.04178,1000.0,0.140817515064,45.2393,3.0,0.285345,63
4.63079014899,4.62756,4.64027,0.128996,1000.0,64,99.9956828753,1000.0,19.3773584906,88.0,4.62807729354,30.1807,0.0,17.9098649059,-5.13531,1000.0,0.140914108921,45.5896,3.0,0.442277,64
4.72308067716,4.72003,4.73178,0.126656,1000.0,65,99.9956828753,1000.0,16.3770491803,56.0,4.72049393614,30.3383,0.0,13.6131131748,-5.21881,1000.0,0.138540866555,45.9436,3.0,0.360007,65
4.78388649885,4.78062,4.79318,0.141574,1000.0,66,99.9956828753,1000.0,17.5454545455,76.0,4.78116965098,30.5999,0.0,15.4670537617,-5.28231,1000.0,0.147545045945,46.2086,3.0,0.377838,66
4.89804014369,4.89483,4.90774,0.144207,1000.0,67,99.9956828753,1000.0,14.5352112676,46.0,4.89558447739,30.7825,0.0,11.3792880615,-5.39743,1000.0,0.146946330193,46.5807,3.0,0.377119,67
4.9452980139,4.94167,4.95386,0.15359,1000.0,68,99.9956828753,1000.0,17.8518518519,57.0,4.94191785245,30.9453,0.0,14.9535173707,-5.46901,1000.0,0.150007597727,46.9714,3.0,0.570641,68
5.03485935839,5.03078,5.04374,0.145394,1000.0,69,99.9956828753,1000.0,18.0877192982,73.0,5.03152416449,31.0939,0.0,17.9631989315,-5.5646,1000.0,0.149095778309,47.4625,3.0,0.428733,69
5.09383651069,5.09029,5.10352,0.157195,1000.0,70,99.9956828753,1000.0,17.3275862069,75.0,5.09054096169,31.2998,0.0,14.8223828079,-5.62512,1000.0,0.151783180557,47.6388,3.0,0.320657,70
5.17909809798,5.1764,5.1897,0.16029,1000.0,71,99.9956828753,1000.0,12.0,56.0,5.17668720238,31.5468,0.0,10.5522224005,-5.72788,1000.0,0.153610287514,48.0319,3.0,0.270815,71
5.29155529914,5.28889,5.30068,0.164731,1000.0,72,99.9956828753,1000.0,12.1585365854,63.0,5.28971659788,31.7424,0.0,12.4091523189,-5.82349,1000.0,0.154361989774,48.3605,3.0,0.374072,72
5.33869808487,5.33651,5.35023,0.177478,1000.0,73,99.9956828753,1000.0,13.3026315789,64.0,5.33688030093,31.9177,0.0,13.7046090373,-5.88614,1000.0,0.161971704613,48.7137,2.0,0.358055,73
5.39952640722,5.3954,5.409,0.181963,1000.0,74,99.9956828753,1000.0,15.7301587302,85.0,5.39608171855,32.1286,0.0,18.459054946,-5.9527,1000.0,0.157112673674,49.0241,3.0,0.343671,74
5.47399302969,5.47056,5.48452,0.173235,1000.0,75,99.9956828753,1000.0,16.0,86.0,5.47070301833,32.2355,0.0,16.0821304756,-6.02784,1000.0,0.154194783271,49.4224,3.0,0.295708,75
5.56675062413,5.56328,5.57742,0.165584,1000.0,76,99.9956828753,1000.0,15.625,56.0,5.56368547636,32.4601,0.0,13.415825543,-6.12097,1000.0,0.152730047803,49.694,3.0,0.307455,76
5.63805579956,5.63385,5.64933,0.176772,1000.0,77,99.9956828753,1000.0,14.5,49.0,5.63425202577,32.6113,0.0,11.6801742533,-6.1935,1000.0,0.157998404829,50.0396,3.0,0.226657,77
5.69179447335,5.68635,5.70192,0.196889,1000.0,78,99.9956828753,1000.0,14.4428571429,67.0,5.68708736459,32.7542,0.0,11.9099426822,-6.24949,1000.0,0.169988640441,50.3172,3.0,0.289951,78
5.75662224799,5.75147,5.76766,0.198035,1000.0,79,99.9956828753,1000.0,11.4204545455,69.0,5.75198893112,32.914,0.0,11.2671299795,-6.31809,1000.0,0.166314370225,50.6102,3.0,0.277818,79
5.8231878944,5.8185,5.83596,0.203909,1000.0,80,99.9956828753,1000.0,13.0657894737,52.0,5.81861357671,33.0905,0.0,9.9964934988,-6.4077,1000.0,0.168685602286,50.9074,2.0,0.281555,80
5.91514369646,5.91089,5.92633,0.186901,1000.0,81,99.9956828753,1000.0,11.7093023256,59.0,5.91155543752,33.2798,0.0,10.4668538609,-6.49091,1000.0,0.161214506056,51.1249,3.0,0.323516,81
5.96286811474,5.9587,5.97393,0.203042,1000.0,82,99.9956828753,1000.0,11.7058823529,43.0,5.95905220645,33.4805,0.0,9.88620373154,-6.55998,1000.0,0.167274370864,51.5419,2.0,0.313173,82
6.03790932167,6.03538,6.05083,0.214889,1000.0,83,99.9956828753,1000.0,11.9642857143,53.0,6.03578501546,33.6667,0.0,10.1927219933,-6.62062,1000.0,0.173287287693,51.8156,3.0,0.0749068,83
6.09499712044,6.09253,6.10805,0.208958,1000.0,84,99.9956828753,1000.0,8.875,35.0,6.09315435599,33.8971,0.0,7.01544851432,-6.70663,1000.0,0.175695636671,52.2027,2.0,0.243705,84
6.17211548027,6.1701,6.18649,0.225942,1000.0,85,99.9956828753,1000.0,11.0444444444,40.0,6.1700841661,34.0103,0.0,9.25192005431,-6.81219,1000.0,0.18361196051,52.4853,3.0,0.231188,85
6.28548147674,6.28323,6.30025,0.256807,1000.0,86,99.9956828753,1000.0,11.5465116279,65.0,6.28410884587,34.0848,0.0,11.8700884352,-6.96422,1000.0,0.199583273161,52.7252,2.0,0.120176,86
6.40831022589,6.4065,6.42058,0.234294,103.0,87,96.767340662,918.454545455,15.9047619048,64.0,6.4070958706,34.2092,257.869369197,13.9120985211,-7.1112,1000.0,0.188998287621,53.165,3.0,0.00834073,87
6.57456134073,6.57242,6.58704,0.246329,1000.0,88,99.9956828753,1000.0,15.4090909091,110.0,6.57316276496,34.3308,0.0,19.6607417419,-7.2871,1000.0,0.189783325447,53.5627,3.0,0.0551523,88
6.69618303778,6.6944,6.7114,0.286424,1000.0,89,99.9956828753,1000.0,12.9868421053,96.0,6.69443810643,34.4641,0.0,15.8666261968,-7.42129,1000.0,0.201100041134,53.8272,2.0,0.278908,89
6.79194357919,6.78804,6.8044,0.266132,1000.0,90,99.9956828753,1000.0,22.75,135.0,6.78962880984,34.588,0.0,24.4271877219,-7.53392,1000.0,0.195505176014,54.2078,3.0,0.0522614,90
6.95241407711,6.94935,6.9663,0.296528,1000.0,91,99.9956828753,1000.0,16.5593220339,131.0,6.94986486105,34.6706,0.0,23.5453195798,-7.69444,1000.0,0.210106866824,54.4139,3.0,0.413212,91
7.07798430882,7.07476,7.0924,0.310684,1000.0,92,99.9956828753,1000.0,15.2058823529,59.0,7.07555720446,34.7155,0.0,14.7982101695,-7.85718,1000.0,0.216656559249,54.7521,3.0,0.0134629,92
7.1798451313,7.17677,7.19527,0.322458,1000.0,93,99.9956828753,1000.0,15.1363636364,68.0,7.17759631308,34.8576,0.0,15.5455209993,-7.99165,1000.0,0.221226126839,55.258,3.0,0.0141626,93
7.32149511106,7.31725,7.33316,0.330147,1000.0,94,99.9956828753,1000.0,16.7586206897,74.0,7.31844564306,34.9949,0.0,17.4862609564,-8.14917,1000.0,0.219593036324,55.6617,3.0,0.00912245,94
7.48401640503,7.48025,7.49965,0.352976,1000.0,95,99.9956828753,1000.0,13.8356164384,75.0,7.48171389777,35.1559,0.0,13.8029316904,-8.28358,1000.0,0.229508808785,55.8783,3.0,0.0206907,95
7.62442616623,7.6218,7.63991,0.354596,1000.0,96,99.9956828753,1000.0,13.2207792208,72.0,7.62225022084,35.354,0.0,14.9550177277,-8.42514,1000.0,0.222226139346,56.2169,3.0,0.00820805,96
7.70383787241,7.70176,7.71806,0.363203,1000.0,97,99.9956828753,1000.0,15.1875,68.0,7.70204078987,35.4404,0.0,14.9821508386,-8.52667,1000.0,0.226275712969,56.3975,3.0,0.00843765,97
7.83901913056,7.83577,7.85482,0.38294,1000.0,98,99.9956828753,1000.0,17.3220338983,82.0,7.83676298569,35.5433,0.0,15.9569767728,-8.6855,1000.0,0.239317188568,56.6862,3.0,0.0230032,98
7.97340602626,7.97108,7.98831,0.373942,1000.0,99,99.9956828753,1000.0,17.1551724138,73.0,7.97143427284,35.6661,0.0,18.4276794469,-8.81745,1000.0,0.230824262162,57.041,3.0,0.0116213,99
8.07330009454,8.06932,8.0884,0.400588,1000.0,100,99.9956828753,1000.0,15.3181818182,104.0,8.07103601819,35.8098,0.0,19.4111488512,-8.92327,1000.0,0.237326479612,57.3134,3.0,0.00421357,100
