Iteration,AverageReturn,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,AveragePolicySurr,AverageEsReturn,MaxReturn,StdReturn,MinEsReturn,PolicyRegParamNorm,Epoch,StdEsReturn,AverageDiscountedReturn,MinReturn,AverageAction,AverageY,AverageQ,AverageAbsQ
78,-751.973584913,-591.456245622,0.605330855181,0.00186371733834,21.9919,0.000330418,-0.605453,-591.456245622,-693.057609165,38.6290613886,-591.456245622,24.9822,78,0.0,-69.4624594593,-822.079046062,0.983562,0.605330013023,0.605348,0.605351
79,-707.779760311,-562.326665868,0.598236960016,0.00224741559157,22.0755,0.000405751,-0.598389,-562.326665868,-676.211856543,23.9645084689,-562.326665868,25.1361,79,0.0,-65.5493712524,-762.295395794,0.987971,0.598236080987,0.598265,0.598266
80,-1247.04300761,-558.371007377,0.591527177667,0.00226779882377,22.0887,0.000403988,-0.591766,-558.371007377,-1195.26898653,32.8328807599,-558.371007377,25.4382,80,0.0,-112.359257964,-1305.22884592,0.991088,0.591526210624,0.591553,0.591553
81,-597.342734817,-563.374844523,0.584837333347,0.00194521803473,22.1231,0.00035437,-0.585107,-563.374844523,-595.872375545,0.958316862632,-563.374844523,25.5534,81,0.0,-57.4159044353,-599.307400816,0.999925,0.584834137666,0.584863,0.584863
82,-600.905325818,-584.052944718,0.578281762989,0.00187532204107,22.1229,0.000315145,-0.578481,-584.052944718,-594.724438191,5.1489215941,-584.052944718,25.6911,82,0.0,-61.3662061439,-611.891891471,0.998336,0.578281024306,0.578299,0.578322
83,-1375.42045907,-408.076122506,0.571565337542,0.00213057061452,22.1134,0.000383198,-0.571832,-408.076122506,-1235.07850918,66.705977016,-408.076122506,25.8074,83,0.0,-115.585608427,-1484.32095093,0.99333,0.57156435007,0.571604,0.571632
84,-598.93023638,-456.540562763,0.565130006091,0.00178288283913,22.1183,0.00027257,-0.565322,-456.540562763,-592.907248808,4.56660526927,-456.540562763,25.9251,84,0.0,-58.9293731309,-608.292762918,0.999868,0.565129239716,0.565134,0.565134
85,-879.736923567,-698.658485753,0.558861121994,0.0018355835412,22.1357,0.000262192,-0.55906,-698.658485753,-610.957617882,134.895945274,-698.658485753,26.0129,85,0.0,-85.4951880068,-959.046564515,0.997799,0.55886026335,0.558887,0.558887
86,-597.110780471,-508.030775282,0.552156874814,0.00214084832209,22.1641,0.000363485,-0.552272,-508.030775282,-595.5118843,1.10596234427,-508.030775282,26.0448,86,0.0,-57.2114010053,-599.055774318,0.999974,0.552155751095,0.552171,0.552171
87,-600.292009047,-508.222449574,0.545776105443,0.00176954609053,22.2189,0.000249293,-0.545932,-508.222449574,-598.359399591,2.06608787184,-508.222449574,26.0339,87,0.0,-60.1824234209,-605.479884306,0.999975,0.545775403436,0.545806,0.54581
88,-1076.33286573,-384.367205053,0.539521732287,0.00169549400894,22.2185,0.000243002,-0.539604,-384.367205053,-599.279316058,168.472158223,-384.367205053,26.1018,88,0.0,-99.3244685195,-1234.14148848,0.997075,0.539520996788,0.539531,0.539574
89,-701.142218546,-676.238060294,0.53315943937,0.00191466278707,22.2474,0.000304634,-0.533173,-676.238060294,-598.571902083,126.64038382,-676.238060294,26.123,89,0.0,-91.3411862171,-1036.62499715,0.998999,0.533158574432,0.533196,0.533196
90,-1088.37473494,-780.75951818,0.527035473295,0.00189525001978,22.2667,0.000280269,-0.527056,-780.75951818,-1044.43518569,29.7301513031,-780.75951818,26.1548,90,0.0,-103.031041103,-1129.19577266,0.995048,0.527034820385,0.527033,0.527033
91,-1036.27380753,-951.817594776,0.520909912363,0.00175851748595,22.3213,0.00024602,-0.521028,-951.817594776,-1015.68874164,16.5509041639,-951.817594776,26.2042,91,0.0,-100.240873961,-1056.78941269,0.99478,0.520909241723,0.520942,0.520942
92,-1047.61081558,-860.002617608,0.514907268896,0.00189745397662,22.3307,0.000277685,-0.515016,-860.002617608,-1018.88851596,16.1793313311,-860.002617608,26.2672,92,0.0,-101.35759622,-1071.00377344,0.99156,0.514906251252,0.514914,0.514921
93,-571.057530192,-808.020875192,0.508988805622,0.00180805079873,22.3574,0.000249352,-0.509145,-808.020875192,-564.455782308,3.78979902732,-808.020875192,26.3705,93,0.0,-56.6935699424,-575.613819956,0.998528,0.508987775369,0.509041,0.509041
94,-573.124332722,-525.860381507,0.503330363245,0.00153633544565,22.3843,0.000173856,-0.503382,-525.860381507,-566.565468786,3.8472851424,-525.860381507,26.3685,94,0.0,-57.0347601372,-577.749939281,0.997775,0.503329846618,0.503318,0.503318
95,-577.296282629,-420.526381522,0.497427596958,0.00173762930434,22.3956,0.000226744,-0.49736,-420.526381522,-569.630537997,5.5306049032,-420.526381522,26.3666,95,0.0,-56.6432814458,-586.02392147,0.998942,0.497426763359,0.497442,0.497442
96,-575.284916066,-423.026222771,0.491407899213,0.00166472797684,22.4292,0.000238944,-0.491351,-423.026222771,-568.552532871,4.57825701192,-423.026222771,26.3665,96,0.0,-56.7215648954,-583.907110893,0.999083,0.491406958277,0.491425,0.491425
97,-600.006582568,-393.76280162,0.485909919369,0.00143378644543,22.4561,0.000163085,-0.485925,-393.76280162,-598.979772213,0.753098543021,-393.76280162,26.3603,97,0.0,-60.0136120518,-601.202813998,0.999972,0.485909253582,0.485922,0.485922
98,-600.012770925,-434.287784191,0.480197233347,0.00168939942777,22.4926,0.000217173,-0.480243,-434.287784191,-599.012954072,1.01663203938,-434.287784191,26.3526,98,0.0,-60.0233699948,-601.71308198,0.999957,0.480196298343,0.480204,0.480242
99,-548.781393747,-405.937935566,0.474462128407,0.00171346706767,22.5068,0.000219382,-0.474521,-405.937935566,-542.767797418,3.86303576291,-405.937935566,26.3319,99,0.0,-54.3435139535,-555.041057833,0.982749,0.474461215315,0.474484,0.474484
100,-591.771880822,-420.141407225,0.468888564298,0.00178461458292,22.5201,0.000243316,-0.469046,-420.141407225,-589.95545065,0.896534261948,-420.141407225,26.3327,100,0.0,-59.013839018,-593.240761941,0.982368,0.468887431709,0.468912,0.468917
101,-590.8749837,-429.917355509,0.463738568098,0.00155496412791,22.5601,0.000177983,-0.463815,-429.917355509,-588.010055412,1.24917656485,-429.917355509,26.3332,101,0.0,-58.5301844909,-593.082053948,0.98175,0.463737871616,0.463733,0.463733
102,-591.196006965,-409.94445584,0.458058421067,0.00187601623298,22.5998,0.000247478,-0.458155,-409.94445584,-589.289535369,1.25945636639,-409.94445584,26.3331,102,0.0,-58.8349953346,-593.221494528,0.981939,0.458057362337,0.458083,0.458083
103,-591.387668188,-441.283211737,0.452964964277,0.0013324925112,22.5983,0.000150709,-0.453022,-441.283211737,-589.295995677,1.47083634732,-441.283211737,26.3325,103,0.0,-58.4473502044,-593.700512519,0.982011,0.452964314781,0.452993,0.452993
104,-592.219114377,-427.708897868,0.447397926301,0.00175706335147,22.6455,0.000236073,-0.447353,-427.708897868,-590.567658545,1.56906434159,-427.708897868,26.3331,104,0.0,-58.6603339786,-595.84233258,0.981759,0.447396877445,0.4474,0.4474
105,-592.052142792,-422.635735278,0.441995349129,0.00165910103641,22.6377,0.000204316,-0.44198,-422.635735278,-589.694615486,1.30045668291,-422.635735278,26.333,105,0.0,-58.6740815839,-594.64418619,0.981685,0.441994220104,0.442007,0.442009
106,-592.416382636,-417.033619796,0.436911722395,0.00141230677243,22.6415,0.00016937,-0.436906,-417.033619796,-589.879695725,1.60425319716,-417.033619796,26.333,106,0.0,-58.8255288815,-594.210299017,0.981595,0.436911170463,0.436928,0.436928
107,-580.010311583,-417.562652899,0.431811852234,0.00144291120783,22.6634,0.000154547,-0.43185,-417.562652899,-574.367595373,3.90092339387,-417.562652899,26.4934,107,0.0,-58.6559122912,-588.00740094,0.998499,0.431810982427,0.431822,0.431822
108,-675.430407493,-492.817246265,0.426613657314,0.00161870533529,22.6905,0.000206159,-0.426652,-492.817246265,-664.982110692,7.52418965101,-492.817246265,26.551,108,0.0,-68.1554152559,-688.049910688,0.992668,0.426612694155,0.426636,0.426636
109,-743.32410449,-481.579371454,0.421741238902,0.0013190545763,22.7226,0.000128179,-0.421752,-481.579371454,-734.196490359,6.61784825006,-481.579371454,26.5449,109,0.0,-72.6975251574,-757.667744168,0.989039,0.421740602418,0.421743,0.421743
110,-599.136144039,-492.388762061,0.416485536363,0.00155016193315,22.7495,0.000180003,-0.416461,-492.388762061,-597.894833598,0.83688586105,-492.388762061,26.8974,110,0.0,-59.1279118736,-600.456674031,1.0,0.416484580017,0.416496,0.416496
111,-598.729403709,-435.188863796,0.411477720627,0.00157161720665,22.7836,0.000168443,-0.411556,-435.188863796,-597.716567467,0.789838478894,-435.188863796,26.9092,111,0.0,-58.7294906271,-599.904305801,1.0,0.411476954588,0.411485,0.411485
112,-599.165487476,-480.739186391,0.406756980506,0.00153365697083,22.8105,0.000149087,-0.406818,-480.739186391,-598.328200875,0.630004498625,-480.739186391,26.9092,112,0.0,-59.1573650622,-600.54239685,1.0,0.406756151433,0.406769,0.406769
113,-598.684728053,-458.122739318,0.401780222698,0.00160000938765,22.87,0.000166594,-0.401817,-458.122739318,-598.09296852,0.309620053691,-458.122739318,26.9092,113,0.0,-58.6744201588,-599.284289824,1.0,0.40177928657,0.401794,0.401794
114,-598.467347097,-488.245617177,0.397002616157,0.00149866315002,22.869,0.000160543,-0.396962,-488.245617177,-597.171818828,0.679802390116,-488.245617177,26.9092,114,0.0,-58.4740398495,-599.464046687,1.0,0.39700177178,0.397013,0.397013
115,-598.724677205,-473.516258143,0.391908931705,0.00177275483827,22.917,0.000216132,-0.391813,-473.516258143,-597.771822367,0.529720368127,-473.516258143,26.9092,115,0.0,-58.7338076813,-599.495720333,1.0,0.39190770136,0.391937,0.391937
