Iteration,AveragePolicySurr,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,AverageAbsQ,AverageAction,QFunRegParamNorm,MaxReturn,AverageAbsY,StdReturn,MaxEsReturn,AverageReturn,StdEsReturn,AverageY,MinReturn,AverageEsReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageQLoss
97,-7.24721,99.9956828753,0.185921873267,6.56955,6.58368,0.262957,56.6658,1000.0,6.57096258812,0.0,43.0,1000.0,9.03702692965,6.57004812229,1000.0,11.4137931034,3.0,97,36.948,0.260221
98,-7.30059,99.9956828753,0.187403173824,6.62728,6.64164,0.294377,57.0546,1000.0,6.62885826202,0.0,39.0,1000.0,8.32237963226,6.62774095918,1000.0,12.4814814815,3.0,98,37.1207,0.243948
99,-7.39871,99.9956828753,0.186768748312,6.71439,6.72838,0.30638,57.3752,1000.0,6.71565095359,0.0,75.0,1000.0,15.2279963645,6.71451693905,1000.0,14.9545454545,2.0,99,37.3721,0.246542
100,-7.44541,99.9956828753,0.198873070386,6.75418,6.76959,0.279811,57.4796,1000.0,6.75558811977,0.0,73.0,1000.0,14.886101459,6.7545147799,1000.0,17.0862068966,3.0,100,37.5373,0.285799
101,-7.51405,99.9956828753,0.192088597734,6.81237,6.82574,0.274195,57.8303,1000.0,6.81273679994,0.0,74.0,1000.0,11.0330591887,6.81226515577,1000.0,12.5555555556,3.0,101,37.7899,0.26975
102,-7.57362,99.9956828753,0.207277756982,6.87003,6.88509,0.28252,58.2695,1000.0,6.87213862596,0.0,64.0,1000.0,12.889272025,6.87157395545,1000.0,13.4,3.0,102,37.9506,0.314706
103,-7.63987,99.9956828753,0.200208395995,6.93086,6.94647,0.25976,58.5215,1000.0,6.93183069396,0.0,88.0,1000.0,13.790032946,6.93120875518,1000.0,14.6617647059,2.0,103,38.0674,0.284906
104,-7.70228,99.9956828753,0.201228190278,7.00008,7.01423,0.277859,58.7118,1000.0,7.0008082686,0.0,55.0,1000.0,11.9990274169,7.00014643727,1000.0,13.9027777778,2.0,104,38.1983,0.294626
105,-7.7409,99.9956828753,0.181486915626,7.0596,7.07251,0.265097,59.0325,1000.0,7.06153073739,0.0,90.0,1000.0,13.8577393097,7.06040485952,1000.0,14.1857142857,3.0,105,38.3862,0.254042
106,-7.80889,99.9956828753,0.20114576723,7.10568,7.12139,0.27657,59.2826,1000.0,7.10725430163,0.0,36.0,1000.0,6.44689040108,7.10631129471,1000.0,9.89108910891,3.0,106,38.4989,0.299453
107,-7.85709,99.9956828753,0.189999306632,7.15687,7.1724,0.263703,59.4991,1000.0,7.15860445127,0.0,53.0,1000.0,10.8930840343,7.15688210551,1000.0,13.1578947368,3.0,107,38.6563,0.280798
108,-7.9087,99.9956828753,0.201741311027,7.20859,7.22652,0.236863,59.7563,1000.0,7.21132159891,0.0,47.0,1000.0,8.69728034888,7.20913652818,1000.0,12.6582278481,3.0,108,38.7879,0.298519
109,-7.95395,99.9956828753,0.205497909887,7.23722,7.25442,0.290223,60.0701,1000.0,7.24107207899,0.0,53.0,1000.0,10.503512061,7.23807834872,1000.0,12.2804878049,3.0,109,38.8251,0.309954
110,-8.03498,99.9956828753,0.209820399656,7.30863,7.32823,0.317717,60.3116,1000.0,7.31177434729,0.0,42.0,1000.0,8.39834225947,7.30892407396,1000.0,11.734939759,3.0,110,38.9713,0.331466
111,-8.10125,99.9956828753,0.20883688416,7.3652,7.38193,0.331327,60.5416,1000.0,7.36748023089,0.0,80.0,1000.0,16.5571986292,7.36509931854,1000.0,18.3090909091,3.0,111,39.1264,0.323494
112,-8.1283,99.9956828753,0.20788044681,7.40875,7.42899,0.349286,60.8516,1000.0,7.41327205041,0.0,90.0,1000.0,13.4824365259,7.41006971224,1000.0,15.7076923077,3.0,112,39.2291,0.316349
113,-8.19147,99.9956828753,0.208184298059,7.46771,7.48622,0.326359,61.1402,1000.0,7.47143842075,0.0,117.0,1000.0,20.2993089477,7.46783319284,1000.0,18.7735849057,3.0,113,39.3156,0.310723
114,-8.23229,99.9956828753,0.213239130219,7.48435,7.50148,0.372676,61.414,1000.0,7.48727666015,0.0,32.0,1000.0,7.71901117001,7.48442580887,1000.0,11.0337078652,3.0,114,39.5008,0.346856
115,-8.32322,99.9956828753,0.207247488409,7.56782,7.58513,0.420088,61.7703,1000.0,7.57080285361,0.0,69.0,1000.0,11.1705721799,7.568294761,1000.0,12.8552631579,3.0,115,39.4968,0.341725
116,-8.36041,99.9956828753,0.200756861975,7.60633,7.6234,0.34573,62.0853,1000.0,7.60882646408,0.0,67.0,1000.0,12.2394939691,7.60669219191,1000.0,12.8518518519,3.0,116,39.629,0.303029
117,-8.41454,99.9956828753,0.214831697717,7.64866,7.66831,0.462763,62.2926,1000.0,7.65185839352,0.0,68.0,1000.0,11.4650925468,7.64886303472,1000.0,14.7727272727,3.0,117,39.7491,0.333698
118,-8.47337,99.9956828753,0.21243991665,7.71868,7.7386,0.324971,62.5338,1000.0,7.7215918251,0.0,58.0,1000.0,13.5686149891,7.71887833542,1000.0,17.5689655172,3.0,118,39.84,0.340368
119,-8.5232,99.9956828753,0.209617559461,7.733,7.75175,0.454219,62.901,1000.0,7.73696363703,0.0,105.0,1000.0,16.9543083942,7.73423402466,1000.0,16.7068965517,3.0,119,39.9783,0.338477
120,-8.5628,99.9956828753,0.210881899943,7.79886,7.81671,0.35516,63.0707,1000.0,7.8026258907,0.0,105.0,1000.0,24.8823792619,7.79909367459,1000.0,21.6739130435,3.0,120,40.1201,0.329109
121,-8.64101,99.9956828753,0.204008180673,7.86512,7.88511,0.324638,63.2636,1000.0,7.86937876476,0.0,121.0,1000.0,24.4521653001,7.86555036282,1000.0,25.487804878,3.0,121,40.2314,0.323749
122,-8.72109,98.3124125684,0.20537849536,7.93146,7.95034,0.323448,63.5418,1000.0,7.9346510349,308.625028414,93.0,724.142857143,14.7552543775,7.93150833844,230.0,14.7910447761,3.0,122,40.4214,0.336044
123,-8.77817,99.9956828753,0.215574083376,7.97994,8.00182,0.366253,63.7616,1000.0,7.98509993131,0.0,112.0,1000.0,22.4214740565,7.98050666068,1000.0,20.1489361702,3.0,123,40.5667,0.340694
124,-8.81895,99.9956828753,0.215337087124,8.02639,8.04773,0.346548,64.1204,1000.0,8.03292604079,0.0,78.0,1000.0,17.7532078478,8.02711380436,1000.0,17.4166666667,3.0,124,40.6404,0.36883
125,-8.85124,99.9956828753,0.219348869949,8.07794,8.10166,0.339771,64.457,1000.0,8.08285437468,0.0,165.0,1000.0,26.4073618586,8.07856179562,1000.0,18.1818181818,3.0,125,40.7324,0.373658
126,-8.90979,99.9956828753,0.213035393541,8.13416,8.1548,0.331581,64.6722,1000.0,8.13885097614,0.0,87.0,1000.0,18.5623155018,8.13394858759,1000.0,16.4210526316,3.0,126,40.8791,0.362435
127,-8.95378,99.9956828753,0.212498248822,8.1624,8.18247,0.317159,64.9056,1000.0,8.16808081474,0.0,84.0,1000.0,18.9703193403,8.16366590385,1000.0,17.0,3.0,127,40.9552,0.350504
128,-9.01532,99.9956828753,0.217592504692,8.23143,8.25294,0.45132,65.1594,1000.0,8.23401255102,0.0,66.0,1000.0,15.854447214,8.23095034485,1000.0,17.5964912281,3.0,128,41.1016,0.368753
