Iteration,MaxEsReturn,Epoch,AveragePolicySurr,AverageReturn,AverageQ,MinReturn,AverageAbsQ,AverageAbsY,MinEsReturn,StdReturn,AverageQLoss,AverageY,QFunRegParamNorm,StdEsReturn,AverageAbsQYDiff,AverageEsReturn,MaxReturn,PolicyRegParamNorm,AverageAction,AverageDiscountedReturn
113,100967.524824,113,-4978.5,98280.0490499,4967.88,69232.9878545,4967.94,4968.55100286,100967.524824,17916.5791495,36970.8,4968.49275636,242.181,0.0,84.7229851414,100967.524824,117574.092927,16.9466,1.0,7622.39342418
114,100426.082356,114,-5019.63,105557.081685,5009.0,69707.6191103,5009.0,5009.46631952,100426.082356,15975.71727,31373.9,5009.38036177,243.302,0.0,80.8829676715,100426.082356,117795.224084,16.9466,1.0,7978.20596908
115,83116.7802261,115,-5047.47,91284.2947569,5037.04,69652.5625254,5037.13,5037.71501301,83116.7802261,22322.9519112,37847.0,5037.69728473,244.198,0.0,84.3225251106,83116.7802261,117626.115958,16.9466,1.0,7334.21702117
116,70038.3114247,116,-5053.69,100698.811511,5043.44,69210.9195504,5043.66,5044.35964761,70038.3114247,21355.5701399,44741.8,5044.07988213,245.204,0.0,88.6026559973,70038.3114247,117681.621673,16.9466,1.0,7732.33234638
117,65598.6402105,117,-5076.54,96108.4478754,5066.41,69732.8034543,5066.76,5067.19487511,65598.6402105,19754.8856617,27670.6,5066.88564216,246.077,0.0,78.2339706237,65598.6402105,117709.200343,16.9466,1.0,7589.54882876
118,92335.5890342,118,-5137.51,98510.9649978,5127.31,69640.2596653,5127.92,5128.42347732,92335.5890342,17711.7583846,49190.8,5127.8558038,247.305,0.0,92.4314986533,92335.5890342,117559.9068,16.9466,1.0,7711.38118928
119,96313.382223,119,-5144.51,101082.481154,5134.48,69702.819403,5134.71,5135.20926571,96313.382223,18266.1173916,42901.5,5135.02585931,248.319,0.0,86.736770898,96313.382223,117848.542333,16.9466,1.0,7862.43387154
120,97665.2141377,120,-5196.0,81605.4120481,5186.14,69273.3915879,5186.17,5186.80137298,97665.2141377,19193.4351786,34364.8,5186.70703291,249.145,0.0,82.4555506304,97665.2141377,117630.383105,16.9466,1.0,6831.30148841
121,100202.117487,121,-5219.81,103112.433168,5209.81,69931.5749241,5210.15,5210.65716497,100202.117487,18979.5224424,40724.2,5210.45916211,250.21,0.0,88.580608941,100202.117487,117617.240618,16.9466,1.0,7851.71771846
122,55804.7941133,122,-5225.73,93674.9732659,5215.84,69159.0473063,5215.85,5216.6140803,55804.7941133,21348.7033489,38647.4,5216.6140803,251.299,0.0,86.6864764969,55804.7941133,117720.132025,16.9466,1.0,7434.02228168
