AverageDiscountedReturn,StdEsReturn,MaxEsReturn,MaxReturn,AveragePolicySurr,MinReturn,AverageReturn,Epoch,AverageAction,AverageQ,AverageAbsQYDiff,AverageAbsY,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,AverageY,MinEsReturn,QFunRegParamNorm,AverageAbsQ,Iteration,StdReturn
99.9956828753,11.0233962079,67.0,1000.0,-58.8155,1000.0,1000.0,74,0.54115,53.4273,1.62734462473,53.4231801035,14.7051,36.7246,12.7922077922,53.4172418027,3.0,75.5008,53.5262,74,0.0
99.9646805883,12.6903144812,86.0,1000.0,-59.6841,564.0,960.363636364,75,0.66314,54.2057,1.60421217497,54.2056400516,13.6664,36.8748,14.3142857143,54.1967778601,3.0,76.0904,54.3021,75,125.341187258
99.9956828753,10.1986013281,48.0,1000.0,-60.7147,1000.0,1000.0,76,0.728497,55.3027,1.63460809328,55.3057650641,14.2578,37.0375,13.3246753247,55.297361424,3.0,76.7132,55.3939,76,0.0
99.9956828753,13.1264508127,60.0,1000.0,-61.6739,1000.0,1000.0,77,0.692533,56.2094,1.6389004198,56.2078827407,15.154,37.2137,15.40625,56.1993982133,3.0,77.225,56.3062,77,0.0
99.9956828753,14.4319819444,72.0,1000.0,-62.5586,1000.0,1000.0,78,0.657059,56.8452,1.6997681695,56.8460488743,15.3401,37.38,16.4576271186,56.8381385785,3.0,77.6374,56.9441,78,0.0
99.9956828753,9.59191618253,52.0,1000.0,-63.345,1000.0,1000.0,79,0.555461,57.609,1.70191033658,57.6050450445,16.3109,37.4074,11.1290322581,57.5977546296,3.0,78.1018,57.7047,79,0.0
99.9956828753,17.3132896932,68.0,1000.0,-64.2192,1000.0,1000.0,80,0.471709,58.4228,1.68328091919,58.4225303042,15.8698,37.4078,25.0,58.4138471353,3.0,78.6156,58.5298,80,0.0
99.9956828753,18.9344854493,89.0,1000.0,-64.9447,1000.0,1000.0,81,0.579685,59.1734,1.80190102451,59.1723928826,17.7489,37.5297,23.0952380952,59.1644477829,3.0,79.2517,59.2816,81,0.0
99.9956828753,16.4940705681,67.0,1000.0,-65.6852,1000.0,1000.0,82,0.556117,59.9243,1.8078265907,59.9220677478,17.7426,37.5548,19.9423076923,59.9136639654,3.0,79.7718,60.0352,82,0.0
99.9956828753,13.755413053,73.0,1000.0,-66.5735,1000.0,1000.0,83,0.635676,60.7089,1.80801797414,60.7143908882,19.3316,37.7766,15.7936507937,60.7054219868,3.0,80.4877,60.8147,83,0.0
99.9956828753,15.9412683945,64.0,1000.0,-67.2593,1000.0,1000.0,84,0.724952,61.2086,1.86344599622,61.2134871944,19.241,37.9286,21.2978723404,61.1997921547,4.0,81.0562,61.3261,84,0.0
99.9956828753,16.3490830632,96.0,1000.0,-68.0946,1000.0,1000.0,85,0.476083,62.0261,1.85335641022,62.0348825147,19.0688,37.968,14.9047619048,62.0204550874,3.0,81.683,62.1379,85,0.0
99.9956828753,14.112072735,69.0,1000.0,-69.0791,1000.0,1000.0,86,0.561848,62.9177,1.83652204031,62.9112362385,19.5451,38.0782,15.9696969697,62.9012060746,3.0,82.2045,63.0199,86,0.0
99.9956828753,12.718817656,57.0,1000.0,-70.0967,1000.0,1000.0,87,0.464188,63.9089,1.93336936893,63.9161399711,20.4712,38.1623,14.8059701493,63.9024756472,3.0,82.8356,64.0308,87,0.0
99.9956828753,11.3888886327,48.0,1000.0,-71.022,1000.0,1000.0,88,0.431225,64.7607,1.84881050608,64.763748237,20.1309,38.307,14.7246376812,64.7508259031,3.0,83.3876,64.8783,88,0.0
99.9956828753,12.3839050757,67.0,1000.0,-71.691,1000.0,1000.0,89,0.452795,65.3816,1.92878092181,65.3923061767,21.3399,38.4726,14.8358208955,65.3769137747,3.0,83.953,65.4979,89,0.0
99.9956828753,12.80163835,65.0,1000.0,-72.7166,1000.0,1000.0,90,0.484956,66.2731,1.96145677252,66.2780212074,22.1218,38.6437,13.9166666667,66.2686797481,3.0,84.6289,66.3961,90,0.0
99.9956828753,11.2816016398,63.0,1000.0,-73.4883,1000.0,1000.0,91,0.585702,67.0101,2.04017153224,67.011575644,24.5719,38.8221,13.7671232877,66.9974154673,3.0,85.2284,67.1366,91,0.0
99.9956828753,11.5814712335,58.0,1000.0,-74.6949,1000.0,1000.0,92,0.487898,68.3124,1.94870185474,68.3110904295,22.144,38.8171,11.6627906977,68.3020159104,3.0,85.8927,68.4278,92,0.0
99.9956828753,10.6865401468,53.0,1000.0,-75.4548,1000.0,1000.0,93,0.440972,68.8204,2.05985139348,68.829805732,25.111,38.9171,11.0689655172,68.8169209794,3.0,86.606,68.9479,93,0.0
99.9956828753,9.98400080673,46.0,1000.0,-76.4545,1000.0,1000.0,94,0.495096,69.8423,2.09204726987,69.8474179567,26.067,39.0649,12.2857142857,69.8340535314,3.0,87.0851,69.9695,94,0.0
99.9956828753,9.31872138751,51.0,1000.0,-76.9934,1000.0,1000.0,95,0.457942,70.2298,2.03942375273,70.2405146511,24.4173,39.1447,12.8378378378,70.2236869801,3.0,87.4908,70.359,95,0.0
99.9956828753,10.8295023639,59.0,1000.0,-78.0058,1000.0,1000.0,96,0.477266,71.1671,2.07695886228,71.1792990335,25.3323,39.2696,11.808988764,71.1619158822,3.0,88.0478,71.2977,96,0.0
99.9956828753,8.57385060095,53.0,1000.0,-78.6918,1000.0,1000.0,97,0.396098,71.6638,2.15139054943,71.6678811886,29.1747,39.29,10.4526315789,71.6468478332,3.0,88.4497,71.8075,97,0.0
99.9956828753,11.7097138344,58.0,1000.0,-79.5206,1000.0,1000.0,98,0.463405,72.4653,2.25176571222,72.4780197846,27.5985,39.388,14.9552238806,72.4605594118,3.0,89.0129,72.625,98,0.0
99.9956828753,17.2027183319,76.0,1000.0,-80.5172,1000.0,1000.0,99,0.585157,73.5386,2.14225399178,73.5406395364,27.4088,39.5572,17.4736842105,73.5272743486,3.0,89.5023,73.6755,99,0.0
99.9956828753,12.7376410689,61.0,1000.0,-81.3581,1000.0,1000.0,100,0.593737,74.4884,2.1945186192,74.4943463262,28.811,39.6217,16.45,74.4858195275,3.0,90.0675,74.6235,100,0.0
99.9956828753,13.0772849193,69.0,1000.0,-81.9516,1000.0,1000.0,101,0.608562,75.1293,2.2333017751,75.1341911479,30.0844,39.5966,16.015625,75.1205114105,3.0,90.6211,75.2663,101,0.0
