AverageAction,StdReturn,PolicyRegParamNorm,QFunRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MinReturn,AverageAbsQ,AverageQLoss,Epoch,StdEsReturn,AverageAbsY,AverageReturn,AverageQ,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr,MinEsReturn,MaxReturn,AverageY
0.679245,2.64464991224,38.6221,62.0867,370.497286972,76,246.029672459,381.211456269,144.188,75.1802,76,98.7371179953,144.140444793,387.001879563,144.11,187.143410403,3.75236888822,-147.711,6.84587189648,393.319324062,144.127802977
0.747307,7.9991565149,38.8083,62.5326,335.922788702,77,238.924694185,363.376380923,146.182,68.1742,77,93.1784680554,146.110362409,387.596644367,146.085,188.044674056,3.73823595058,-149.819,37.8694584423,402.591899018,146.102505196
0.699312,4.44726904242,39.0044,63.0445,392.218035435,78,205.75132581,386.898398691,147.978,76.9834,78,128.125204184,147.899071484,394.831113153,147.867,188.583811224,3.92879429349,-151.628,27.8226423643,405.139693125,147.886291147
0.724746,3.96335448852,39.1796,63.6305,399.258517845,79,289.793549416,380.820923031,149.645,81.7009,79,83.0157240943,149.560938898,393.058926374,149.523,189.569536884,4.01867237814,-153.376,148.253798951,401.145541255,149.544131485
0.74798,4.70088326113,39.3526,63.9558,376.047185998,80,239.126509946,380.316522373,151.99,63.6134,80,97.9754151509,151.912300357,396.783022723,151.892,190.265663726,3.73906806982,-155.772,47.6026453794,403.345490258,151.900428751
0.741482,2.93091703653,39.5159,64.4498,376.498504444,81,255.484685875,381.961863277,153.14,79.0382,81,129.310250056,153.072366003,387.433886308,153.036,186.847241178,4.00029802273,-156.805,6.70036339638,398.977734749,153.059500138
0.733286,2.9689364401,39.6925,64.8473,367.639289647,82,203.704591399,364.832421227,155.429,88.0487,82,122.688335569,155.350312576,373.738758477,155.317,184.13731468,4.09880636722,-159.125,7.85714468719,381.697060008,155.33898299
0.692278,6.91783043917,39.8547,65.3014,375.781171676,83,270.543328591,373.306003052,157.242,86.5516,83,104.129786441,157.183618601,386.388031292,157.142,187.807395102,4.18539030607,-161.02,47.5482365902,401.37625239,157.168632536
0.759109,3.98092582946,40.0929,65.7892,385.980951003,84,248.386464651,359.539478588,159.44,88.5847,84,107.636668506,159.341144796,370.616381131,159.32,181.234338032,4.15146752472,-163.096,66.6971886672,381.697384179,159.328845777
0.715339,4.75807754718,40.3152,66.2229,420.540902644,85,253.410396372,360.917237544,160.248,95.7525,85,122.002263115,160.175277359,372.764807214,160.145,183.675171219,4.26237258827,-163.948,40.7422253199,393.648068819,160.165579926
0.693192,2.8032077946,40.4648,66.5947,425.799573291,86,264.86446423,379.557686454,162.218,77.4145,86,130.830641285,162.136964743,388.3961788,162.111,185.450880922,4.10161559023,-166.056,12.787723329,395.690363914,162.123829547
0.722165,4.03058668888,40.6545,67.061,450.598567654,87,214.520238971,395.776635226,163.839,83.3325,87,141.523077432,163.762633061,404.167226059,163.718,190.490337953,4.20549347416,-167.777,14.1187302471,414.168274582,163.74458893
0.719138,9.59952580982,40.8903,67.4867,377.501982469,88,253.817366744,341.818829533,166.062,107.07,88,121.065741909,165.975856176,386.788673162,165.939,186.133995851,4.52869092959,-169.92,38.4948117661,399.748565197,165.959511553
