AverageY,Iteration,Epoch,AverageQLoss,AverageAction,PolicyRegParamNorm,MaxEsReturn,AverageQ,MinEsReturn,AveragePolicySurr,AverageAbsY,StdReturn,MaxReturn,StdEsReturn,AverageAbsQ,MinReturn,AverageReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm
40.6040140465,59,59,3.8282,0.890854,32.7291,1748.75379642,40.5949,1748.75379642,-41.9455,40.6045000056,547.989475827,2900.99014745,0.0,40.5949,1094.77945305,2612.48848182,1.04550096992,241.859602208,1748.75379642,36.5343
42.65208431,60,60,4.7589,0.869257,33.0216,1822.32867494,42.6376,1822.32867494,-43.9842,42.65239391,486.935252986,2970.06939127,0.0,42.6376,1622.63505291,2498.05841829,1.10190765165,240.233566717,1822.32867494,36.8167
44.0394475243,61,61,4.76519,0.881755,33.2421,1862.3400492,44.0278,1862.3400492,-45.3764,44.0397332182,92.6278824107,3100.6811688,0.0,44.0278,2779.41278851,2955.72507708,1.12901272232,250.39482844,1862.3400492,37.1084
46.5625948638,62,62,4.79678,0.863788,33.5242,1681.4462809,46.552,1681.4462809,-47.9126,46.5628933282,860.457073163,3132.83308902,0.0,46.552,792.540027235,2101.69615502,1.13865368372,241.928210827,1681.4462809,37.425
48.2837612542,63,63,4.57525,0.907566,33.799,2128.33886886,48.2716,2128.33886886,-49.6417,48.2843487336,154.611055654,3344.38049181,0.0,48.2716,2788.71673808,3230.78456036,1.139289665,272.46397752,2128.33886886,37.8252
49.6741916446,64,64,5.53051,0.879944,34.0805,1461.05272326,49.6595,1461.05272326,-51.0321,49.6745452235,571.866294211,3105.03872769,0.0,49.6595,1033.5230299,2725.3888747,1.20161161198,248.832834757,1461.05272326,38.1859
50.9204800659,65,65,6.56317,0.883261,34.3357,469.413982975,50.9078,469.413982975,-52.2792,50.9208221024,578.447467939,2524.3190364,0.0,50.9078,1120.06600691,1898.9266283,1.23296039967,203.232199569,469.413982975,38.5075
52.3531595551,66,66,6.06492,0.880931,34.5501,1754.49164132,52.3394,1754.49164132,-53.6585,52.3534321403,642.844060611,3277.59765211,0.0,52.3394,942.600182905,2840.60234535,1.20710504797,263.427016615,1754.49164132,38.8463
54.7144995584,67,67,6.22582,0.908511,34.8369,1872.49401641,54.7029,1872.49401641,-56.108,54.7150176783,586.660568506,3332.8603142,0.0,54.7029,1414.41159811,2848.20633537,1.23310907004,252.634563907,1872.49401641,39.1488
56.8161289327,68,68,5.23285,0.894739,35.0892,2136.9389982,56.803,2136.9389982,-58.2591,56.8165178725,865.315867589,3544.44804666,0.0,56.803,696.809216456,3099.80894187,1.2217774846,266.597457764,2136.9389982,39.4323
58.6434899096,69,69,8.34414,0.914874,35.3603,2316.92769345,58.6286,2316.92769345,-60.1175,58.6438716635,31.3818080957,2959.09789932,0.0,58.6286,2847.20544068,2894.09297445,1.34427750843,246.638940178,2316.92769345,39.7926
60.819017719,70,70,6.68006,0.916385,35.5842,2176.36500155,60.8084,2176.36500155,-62.3006,60.8192464044,65.7030043335,3239.84776197,0.0,60.8084,3045.46584896,3174.55927451,1.29247751768,262.312189998,2176.36500155,40.1355
62.3222590634,71,71,8.80937,0.882357,35.8465,2068.20523236,62.3092,2068.20523236,-63.8364,62.3225832734,973.210715808,3581.75107986,0.0,62.3092,1174.72072125,2647.08901823,1.35118179218,278.388706743,2068.20523236,40.4012
64.8453879654,72,72,7.65676,0.917034,36.0462,2284.3260518,64.8294,2284.3260518,-66.3678,64.845847502,62.1113218309,3412.37498148,0.0,64.8294,3210.73794989,3331.82737191,1.33997867088,276.567198487,2284.3260518,40.6845
66.9242985165,73,73,6.78995,0.91287,36.2559,2139.78147449,66.9113,2139.78147449,-68.4513,66.924742072,47.5034173421,3386.23218572,0.0,66.9113,3200.43543231,3302.38644418,1.34224682558,269.768925993,2139.78147449,40.996
68.7379123437,74,74,7.52877,0.915814,36.4797,2044.75484731,68.723,2044.75484731,-70.2144,68.738195456,1105.54182214,3983.41364582,0.0,68.723,467.436065206,3369.53216248,1.34477779934,293.698322124,2044.75484731,41.3116
70.6446424827,75,75,7.50249,0.920309,36.7936,2285.32974679,70.6336,2285.32974679,-72.1531,70.6451685758,469.056457588,3887.24743335,0.0,70.6336,2284.35276932,3689.28859657,1.38325008673,318.893005609,2285.32974679,41.6246
72.5563688568,76,76,10.4016,0.912849,37.0454,2292.21782482,72.5382,2292.21782482,-74.1214,72.5565667455,978.966872432,3580.13578883,0.0,72.5382,478.200706156,2901.45740282,1.46830780784,258.71713381,2292.21782482,41.964
74.9487571696,77,77,9.54884,0.916943,37.2074,2155.04734254,74.9329,2155.04734254,-76.4913,74.9490104679,54.5464028232,3213.0562565,0.0,74.9329,3050.71511053,3124.98668847,1.45803926062,266.87629552,2155.04734254,42.3593
76.8793207794,78,78,10.3641,0.935137,37.4554,2354.00078996,76.8634,2354.00078996,-78.4978,76.8795405573,197.456989261,3710.48763811,0.0,76.8634,3157.83608727,3486.27620643,1.47335729137,296.271596339,2354.00078996,42.6803
79.5563407333,79,79,11.4624,0.916174,37.6399,2033.14390187,79.5415,2033.14390187,-81.2145,79.5567485905,51.6528669468,3610.21091907,0.0,79.5415,3414.45582188,3549.92850894,1.53342435306,292.700806021,2033.14390187,43.0181
81.2493810546,80,80,12.3163,0.947932,37.832,2473.67691455,81.2308,2473.67691455,-82.9117,81.2498016249,1403.1962147,3971.60889738,0.0,81.2308,347.229833784,2021.43883298,1.58233075996,241.989303106,2473.67691455,43.3518
83.2981872663,81,81,13.6567,0.920971,38.0179,2268.89052834,83.281,2268.89052834,-84.9484,83.2984993371,483.73100609,3716.95358444,0.0,83.281,2031.27726126,3476.60389294,1.58365668529,302.204815553,2268.89052834,43.6656
