AveragePolicySurr,StdReturn,Iteration,MaxReturn,AverageY,MaxEsReturn,AverageAction,AverageAbsY,Epoch,PolicyRegParamNorm,MinEsReturn,AverageReturn,AverageEsReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageAbsQ,AverageQ,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss
-7.35327,0.0,97,1000.0,6.69336165034,61.0,0.421591,6.69653339007,97,40.0722,3.0,1000.0,13.2533333333,99.9956828753,1000.0,13.542125223,6.71308,6.69284,54.976,0.204577847832,0.293513
-7.45601,0.0,98,1000.0,6.79135678027,113.0,0.472316,6.7945066453,98,40.2221,3.0,1000.0,15.765625,99.9956828753,1000.0,19.6538340626,6.80886,6.791,55.2064,0.18702747937,0.258202
-7.55324,0.0,99,1000.0,6.84718748302,124.0,0.547977,6.84998037576,99,40.3094,3.0,1000.0,15.625,99.9956828753,1000.0,20.3819006719,6.86559,6.84593,55.4042,0.203171035414,0.286777
-7.66785,0.0,100,1000.0,6.96257784071,114.0,0.432384,6.96506698075,100,40.361,3.0,1000.0,13.3733333333,99.9956828753,1000.0,18.0567795824,6.98223,6.96265,55.6535,0.199410288308,0.286068
-7.78324,0.0,101,1000.0,7.08301692047,114.0,0.564465,7.08745532405,101,40.4692,3.0,1000.0,13.8888888889,99.9956828753,1000.0,21.1991584972,7.10307,7.08202,55.9129,0.205001637183,0.298553
-7.84465,0.0,102,1000.0,7.1188215547,149.0,0.47412,7.12280401318,102,40.5806,3.0,1000.0,14.6029411765,99.9956828753,1000.0,21.5966634854,7.13857,7.11893,56.27,0.2104344533,0.333453
-7.94685,0.0,103,1000.0,7.24311639804,83.0,0.425797,7.24805999497,103,40.6849,3.0,1000.0,13.9166666667,99.9956828753,1000.0,15.9415163785,7.26346,7.24178,56.5005,0.205894957592,0.297963
-8.03203,0.0,104,1000.0,7.32472843322,86.0,0.604044,7.33015213602,104,40.8781,3.0,1000.0,15.8852459016,99.9956828753,1000.0,19.7493294019,7.34796,7.32488,56.8696,0.212575613893,0.324271
-8.07143,0.0,105,1000.0,7.36387135164,149.0,0.491903,7.36916278452,105,41.0363,3.0,1000.0,18.8545454545,99.9956828753,1000.0,23.5768902119,7.38811,7.36375,57.1189,0.204289092745,0.300616
-8.15884,0.0,106,1000.0,7.44842806153,95.0,0.464253,7.45420110901,106,41.1868,3.0,1000.0,23.880952381,99.9956828753,1000.0,23.2544950913,7.47104,7.44775,57.3716,0.217663866791,0.347331
-8.20827,0.0,107,1000.0,7.47632994925,167.0,0.388219,7.48238605894,107,41.2716,3.0,1000.0,16.9649122807,99.9956828753,1000.0,24.6270176213,7.50098,7.47539,57.5668,0.216288425572,0.341371
-8.26919,0.0,108,1000.0,7.54574570909,124.0,0.480982,7.55070928936,108,41.4268,3.0,1000.0,24.0487804878,99.9956828753,1000.0,29.3573036739,7.56599,7.54565,57.8162,0.197875093488,0.291425
-8.33827,0.0,109,1000.0,7.61526334152,103.0,0.593289,7.61950781066,109,41.4683,3.0,1000.0,16.2380952381,99.9956828753,1000.0,17.9131186172,7.6365,7.61447,58.0566,0.215616605244,0.343106
-8.37127,0.0,110,1000.0,7.65430222978,69.0,0.235084,7.65820950011,110,41.7623,3.0,1000.0,18.4444444444,99.9956828753,1000.0,17.0268488055,7.6748,7.65427,58.2785,0.209971652846,0.342943
-8.42085,0.0,111,1000.0,7.7228851021,57.0,0.286651,7.7275298951,111,41.8703,3.0,1000.0,20.12,99.9956828753,1000.0,15.8172563993,7.74321,7.72269,58.537,0.207601818769,0.325901
-8.49345,0.0,112,1000.0,7.78943584366,103.0,0.341501,7.79305084114,112,42.0824,3.0,1000.0,17.0,99.9956828753,1000.0,16.4296479979,7.81086,7.78907,58.7996,0.215395385007,0.362053
