AverageDiscountedReturn,AverageQLoss,StdEsReturn,AverageAbsQYDiff,AverageAbsY,AverageY,PolicyRegParamNorm,QFunRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,StdReturn,MaxReturn,AverageReturn,AverageAbsQ,Epoch,AverageQ,AverageEsReturn,AverageAction,MaxEsReturn,Iteration
120.424627986,7.20592,77.5859408443,1.13587136802,55.7212160455,55.7089755553,35.1815,44.1414,185.348770527,-57.8044,12.6181921804,3.58420215269,210.097514951,197.265795605,55.7471,46,55.7036,171.790307505,0.64125,236.934270868,46
116.605774857,5.83559,67.1076921565,1.09839144802,57.1755415361,57.165753104,35.391,44.7729,168.906985364,-59.2308,6.33853304125,9.89554042044,203.523876227,186.186368849,57.2031,47,57.1614,132.649688393,0.658146,201.119594611,47
122.225413743,7.63045,71.7289695894,1.19303569995,58.5955427382,58.5857499642,35.6115,45.3986,191.570147337,-60.6849,6.24006792945,3.1519185469,208.183127229,201.371340169,58.6255,48,58.5807,149.967380845,0.64362,218.593730033,48
107.284914278,7.81027,59.0447373519,1.18980411986,59.9719022715,59.9629813482,35.9404,46.0518,146.499755384,-62.0642,44.0064550212,8.85206688276,200.297696869,162.904050747,59.9965,49,59.9584,165.175490375,0.730386,247.13024862,49
110.853674981,7.03759,42.2593890245,1.17301820533,61.4692871453,61.4622199262,36.2817,46.6402,153.312403738,-63.5688,70.2251239634,14.7317280449,201.808953444,170.751803503,61.4946,50,61.4577,156.507859851,0.748931,223.597552329,50
117.651034291,7.85191,61.1749576012,1.21054441584,62.6597887467,62.653418402,36.5515,47.2017,161.291316902,-64.8425,7.14764531005,11.0346857921,211.88492712,188.458684712,62.6846,51,62.6482,144.209169373,0.666514,207.104220082,51
108.599401745,9.31175,61.1796615619,1.26446575802,63.9567378999,63.9512793496,36.9301,47.7827,151.430829747,-66.1504,24.6486941479,14.5966564532,203.642822301,165.598798325,63.9896,52,63.9467,127.651343002,0.775418,205.074873236,52
116.310104697,9.06439,59.7930375484,1.27319317106,65.5423413545,65.5384344688,37.238,48.357,160.430452254,-67.774,36.2617573123,6.5168251888,194.412728003,184.225822358,65.5666,53,65.5323,133.440099968,0.764724,206.678267282,53
117.17392104,8.41212,52.9395454364,1.25783483633,66.8271695185,66.82415215,37.4751,48.8784,174.321951976,-69.054,41.3745301246,2.88563832351,191.065402037,185.536488997,66.8571,54,66.8207,138.257175016,0.731396,199.709732824,54
117.760963813,10.3772,53.9420828448,1.3479077618,68.2350916431,68.2320647425,37.7909,49.4658,176.092517471,-70.4846,10.8823719223,3.3973149239,192.969667011,187.14929533,68.2638,55,68.2247,149.338485437,0.73226,208.278421059,55
116.668715537,9.47408,51.0785749728,1.32464139841,69.5411287276,69.5382741831,38.1084,49.965,174.321752527,-71.823,41.4725355191,3.16059990584,192.754447184,184.554297127,69.5698,56,69.5337,136.633005102,0.703241,200.84314732,56
117.278804824,12.4739,33.8332345374,1.43826853775,70.8325115228,70.8289252582,38.4049,50.4941,175.741965919,-73.1565,100.962834541,4.38431730761,194.152150692,185.861164749,70.8604,57,70.8226,166.923566217,0.748655,204.514461596,57
115.823937112,10.8942,60.1680140634,1.38541412026,72.0566805031,72.0540486491,38.6803,51.0198,176.48835098,-74.4196,4.91033356916,2.39638030356,189.672921267,182.486481054,72.0812,58,72.0482,139.185148673,0.709594,206.947858323,58
117.744372229,13.3866,58.9076037567,1.47318715925,73.2044557201,73.2010604322,38.9595,51.5696,180.828064514,-75.545,42.1445305954,3.42192595351,193.748763604,187.713621982,73.2341,59,73.1916,138.025810335,0.702046,201.181129715,59
118.071355428,10.6206,46.1921280498,1.39212758622,74.527542553,74.5242635239,39.2112,52.1234,180.122859219,-76.8354,44.2976732807,2.95990915591,193.146814461,187.854497089,74.5596,60,74.5183,172.189382023,0.715742,213.810181478,60
118.479193517,12.0575,47.2455985451,1.45418504257,75.6546313381,75.6502743103,39.4803,52.5232,177.073781099,-78.011,42.9883087549,4.13066969309,196.49462446,189.331256137,75.6899,61,75.6447,149.522044394,0.730167,205.901555151,61
