MaxEsReturn,AverageAbsQ,AverageReturn,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,AverageY,AverageEsReturn,MaxReturn,PolicyRegParamNorm,Epoch,StdEsReturn,AverageQ,AveragePolicySurr,Iteration,MinEsReturn,AverageAction,AverageAbsY,AverageDiscountedReturn,MinReturn
99.0,46.1429,1000.0,1.51499042615,0.0,84.6988,11.5283,46.0336106834,19.037037037,1000.0,39.7159,66,17.4376805319,46.0337,-51.2124,66,3.0,0.681772,46.057131422,99.9956828753,1000.0
64.0,46.964,1000.0,1.50262871607,0.0,85.5011,11.5608,46.8430727593,18.3148148148,1000.0,39.8256,67,15.4941136661,46.8463,-52.1547,67,3.0,0.562279,46.8693459858,99.9956828753,1000.0
144.0,47.8058,1000.0,1.50006573643,0.0,86.3632,12.0097,47.6926814762,22.0217391304,1000.0,40.0354,68,23.9904773956,47.696,-52.9997,68,3.0,0.834472,47.7179656881,99.9956828753,1000.0
83.0,48.6358,1000.0,1.50924566932,0.0,87.1075,12.0031,48.5192132982,20.6666666667,1000.0,40.1381,69,16.9414842587,48.52,-53.713,69,2.0,0.560949,48.5432192522,99.9956828753,1000.0
72.0,49.2859,1000.0,1.52380685066,0.0,87.8129,12.3806,49.166327407,18.1296296296,1000.0,40.2476,70,15.7304214541,49.1663,-54.4306,70,3.0,0.614019,49.1917961785,99.9956828753,1000.0
58.0,50.0613,1000.0,1.55067040013,0.0,88.4821,13.513,49.9380007579,16.1904761905,1000.0,40.3311,71,12.6200359002,49.943,-55.2935,71,3.0,0.355164,49.9703100293,99.9956828753,1000.0
67.0,50.6504,1000.0,1.57271432728,0.0,89.1364,13.2742,50.5182480014,18.2363636364,1000.0,40.4476,72,16.1301114648,50.5171,-55.9406,72,4.0,0.591264,50.5629644017,99.9956828753,1000.0
87.0,51.5145,1000.0,1.52506619035,0.0,89.8641,13.0465,51.3654416315,16.6140350877,1000.0,40.5462,73,16.6478009569,51.3688,-56.8035,73,3.0,0.521428,51.4264618099,99.9956828753,1000.0
96.0,52.2092,1000.0,1.62960078301,0.0,90.534,14.2102,52.059515013,19.3518518519,1000.0,40.6902,74,18.8071670809,52.0612,-57.5668,74,3.0,0.737175,52.1203619548,99.9956828753,1000.0
87.0,52.9896,1000.0,1.6637674621,0.0,91.2835,15.3185,52.8420604182,22.0888888889,1000.0,40.7811,75,17.7636610619,52.8453,-58.4432,75,5.0,0.812843,52.9015668674,99.9956828753,1000.0
56.0,53.8254,1000.0,1.58052944405,0.0,91.8511,13.6845,53.6817826089,14.6956521739,1000.0,40.9164,76,11.3435218668,53.6826,-59.3508,76,3.0,0.59192,53.7448092579,99.9956828753,1000.0
88.0,54.5679,1000.0,1.6844709085,0.0,92.5479,15.7749,54.4082023856,14.9393939394,1000.0,40.9933,77,14.3124006286,54.4097,-60.0802,77,3.0,0.467555,54.4578630435,99.9956828753,1000.0
116.0,55.3401,1000.0,1.70381376889,0.0,93.1994,15.7417,55.1956358359,22.8636363636,1000.0,41.1191,78,19.8729955068,55.1964,-60.968,78,3.0,0.684018,55.2498523515,99.9956828753,1000.0
73.0,56.0846,1000.0,1.66237293611,0.0,93.8217,15.4002,55.9228351668,30.78125,1000.0,41.272,79,18.3554051559,55.927,-61.6928,79,6.0,0.796567,55.9842352708,99.9956828753,1000.0
94.0,56.8548,914.454545455,1.66750417491,270.518479838,94.5826,15.561,56.7097249781,19.1886792453,1000.0,41.4256,80,15.4150827925,56.7078,-62.4499,80,3.0,0.7523,56.7629274816,94.9716800942,59.0
67.0,57.4262,1000.0,1.69172158894,0.0,95.3237,16.4093,57.270088671,20.0,1000.0,41.4882,81,15.0360111949,57.2743,-63.0978,81,4.0,0.495948,57.3230790196,99.9956828753,1000.0
61.0,58.2992,1000.0,1.72416388461,0.0,96.0349,16.6599,58.147147296,16.1904761905,1000.0,41.559,82,12.893774975,58.1499,-64.043,82,3.0,0.604527,58.1975341326,99.9956828753,1000.0
96.0,59.0532,1000.0,1.67276034775,0.0,96.6848,16.3216,58.9074423652,18.0178571429,1000.0,41.6783,83,16.919442611,58.9066,-64.77,83,3.0,0.834207,58.9569178005,99.9956828753,1000.0
74.0,59.6458,1000.0,1.77122099933,0.0,97.3163,17.7871,59.4857922138,19.6666666667,1000.0,41.7592,84,19.3285998262,59.4869,-65.5496,84,3.0,0.673547,59.5355929482,99.9956828753,1000.0
59.0,60.4918,1000.0,1.73625419007,0.0,98.0249,17.6355,60.334543699,17.5535714286,1000.0,41.8731,85,12.6461733948,60.3397,-66.3044,85,2.0,0.753423,60.3866899713,99.9956828753,1000.0
67.0,61.0434,1000.0,1.82642929587,0.0,98.6497,19.1341,60.883375756,15.84375,1000.0,41.9979,86,12.9774067493,60.885,-66.9872,86,4.0,0.63962,60.9409614904,99.9956828753,1000.0
93.0,61.8098,1000.0,1.72795819571,0.0,99.1476,17.7926,61.6482204997,15.515625,1000.0,42.0664,87,15.4130547219,61.6495,-67.717,87,3.0,0.525322,61.7003505472,99.9956828753,1000.0
75.0,62.3988,1000.0,1.77555088543,0.0,99.7074,19.7722,62.2388117537,17.1052631579,1000.0,42.1896,88,14.0308984976,62.2396,-68.2777,88,4.0,0.620481,62.2925366124,99.9956828753,1000.0
