AverageAction,Iteration,PolicyRegParamNorm,MinEsReturn,MaxEsReturn,AverageY,AverageQ,AverageQLoss,StdReturn,Epoch,AverageReturn,AverageAbsQYDiff,MaxReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,StdEsReturn,AverageAbsY
0.886417,69,29.9717,89.6879043681,95.0325116114,4.01573312185,4.01521,0.0680062,0.531208876478,69,93.6133344875,0.0899576567474,94.0927530941,47.4819,-4.08911,92.4906353175,93.6219044041,4.01687,44.5240450035,1.42635392937,4.01638629028
0.928837,70,30.181,90.4185691791,99.6617660241,4.09286161934,4.09248,0.0408034,0.57519520041,70,92.9387268159,0.0730349863227,93.8271950795,47.7847,-4.16952,91.9811196676,93.6779117529,4.09348,42.1805872592,2.52413412726,4.09315786271
0.967249,71,30.3455,90.397031298,95.1848878721,4.17811715801,4.17775,0.0438871,0.402433176091,71,92.9587096424,0.0759455128737,93.6254098536,48.0859,-4.261,92.2306848334,93.5311318491,4.17839,43.617246289,1.17280465985,4.17830697249
0.980985,72,30.4924,85.3233120181,94.4883439705,4.32968118098,4.3293,0.0441063,0.330510285882,72,92.6956577622,0.077171858652,93.0587857284,48.3905,-4.41326,92.0224364559,92.2128269254,4.3298,42.6496432225,2.80336922209,4.32991155243
0.971062,73,30.6092,86.6575151061,94.9067622715,4.40957060768,4.40933,0.040487,0.67889779238,73,92.4006792529,0.0784159297988,93.277000964,48.677,-4.49643,90.952408355,93.2211506792,4.40973,40.826179715,2.29268562959,4.40967177205
0.934199,74,30.7377,91.1490500515,95.2270236642,4.50238525945,4.50202,0.0460931,0.906741505834,74,92.2314769023,0.0827849106228,93.1652852989,49.0075,-4.59173,90.3328482021,93.9061807943,4.50233,38.7618829225,1.0453890828,4.50249682243
0.981037,75,30.9206,86.623944726,94.795896357,4.61431228022,4.61409,0.0440192,0.409332716716,75,92.3699652256,0.0793131157294,92.7451845601,49.3117,-4.70889,91.1312461858,93.2286302191,4.61426,40.9482357422,2.16403594386,4.61437893829
0.906956,76,31.036,87.4012497901,97.4813791663,4.74430152294,4.744,0.0389752,0.568931704588,76,92.4284267432,0.0716851965093,92.9482470992,49.6786,-4.84165,91.0745444432,93.402175647,4.74414,38.6611880434,2.7185364053,4.74434349463
0.982198,77,31.1526,85.746163241,96.1816182429,4.87042822221,4.86996,0.0420551,0.286847986527,77,93.0568258427,0.0816202813945,93.3658609547,49.947,-4.97014,92.3818617371,92.9223553535,4.87006,44.666712824,3.16237143591,4.87046765984
0.985146,78,31.2613,85.4151649308,99.6866273918,4.96279364244,4.96259,0.0263372,0.260660128646,78,92.8519830383,0.0674231151712,93.1287342016,50.2404,-5.06709,92.2081629021,93.0253264049,4.96262,43.6320371567,3.55706159107,4.96281473208
